    <meta name="viewport" content="width=device-width, initial-scale=0.9">
阿烈壁纸,#genre#
仅供测试,http://rihou.cc:555/mp4?id=lndjll.mp4

央卫咪咕,#genre#
CCTV-01咪咕,http://1.tvbox.daliansky.net/mgtv/608807420.m3u8
CCTV-02咪咕,http://1.tvbox.daliansky.net/mgtv/631780532.m3u8
CCTV-03咪咕,http://1.tvbox.daliansky.net/mgtv/624878271.m3u8
CCTV-04咪咕,http://1.tvbox.daliansky.net/mgtv/631780421.m3u8
CCTV-05咪咕,http://1.tvbox.daliansky.net/mgtv/641886683.m3u8
CCTV-5+咪咕,http://1.tvbox.daliansky.net/mgtv/641886773.m3u8
CCTV-06咪咕,http://1.tvbox.daliansky.net/mgtv/624878396.m3u8
CCTV-07咪咕,http://1.tvbox.daliansky.net/mgtv/673168121.m3u8
CCTV-08咪咕,http://1.tvbox.daliansky.net/mgtv/624878356.m3u8
CCTV-09咪咕,http://1.tvbox.daliansky.net/mgtv/673168140.m3u8
CCTV-10咪咕,http://1.tvbox.daliansky.net/mgtv/624878405.m3u8
CCTV-11咪咕,http://1.tvbox.daliansky.net/mgtv/667987558.m3u8
CCTV-12咪咕,http://1.tvbox.daliansky.net/mgtv/673168185.m3u8
CCTV-13咪咕,http://1.tvbox.daliansky.net/mgtv/608807423.m3u8
CCTV-14咪咕,http://1.tvbox.daliansky.net/mgtv/624878440.m3u8
CCTV-15咪咕,http://1.tvbox.daliansky.net/mgtv/673168223.m3u8
CCTV-16咪咕,http://1.tvbox.daliansky.net/nptv/cctv16.m3u8
CCTV-17咪咕,http://1.tvbox.daliansky.net/mgtv/673168256.m3u8
CCTV-4k咪咕,http://1.tvbox.daliansky.net/nptv/cctv4k.m3u8
CCTV-8k咪咕,http://1.tvbox.daliansky.net/nptv/cctv8k.m3u8
cct4欧洲咪咕,http://1.tvbox.daliansky.net/mgtv/608807419.m3u8
cct4美洲咪咕,http://1.tvbox.daliansky.net/mgtv/608807416.m3u8
CETV-01咪咕,http://1.tvbox.daliansky.net/mgtv/923287154.m3u8
CETV-02咪咕,http://1.tvbox.daliansky.net/mgtv/923287211.m3u8
CETV-04咪咕,http://1.tvbox.daliansky.net/mgtv/923287339.m3u8
动作电影咪咕,http://1.tvbox.daliansky.net/mgtv/644368714.m3u8
家庭影院咪咕,http://1.tvbox.daliansky.net/mgtv/644368373.m3u8
影迷电影咪咕,http://1.tvbox.daliansky.net/mgtv/952383261.m3u8
东方卫视咪咕,http://1.tvbox.daliansky.net/mgtv/651632648.m3u8
江西卫视咪咕,http://1.tvbox.daliansky.net/mgtv/783847495.m3u8
湖北卫视咪咕,http://1.tvbox.daliansky.net/mgtv/947472496.m3u8
陕西卫视咪咕,http://1.tvbox.daliansky.net/mgtv/738910838.m3u8
直播体育咪咕,http://1.tvbox.daliansky.net/mgtv/654102378.m3u8
CCTV-01咪咕,http://lobe.concordcityx.com:35455/mgtv/608807420.m3u8
CCTV-02咪咕,http://lobe.concordcityx.com:35455/mgtv/631780532.m3u8
CCTV-03咪咕,http://lobe.concordcityx.com:35455/mgtv/624878271.m3u8
CCTV-04咪咕,http://lobe.concordcityx.com:35455/mgtv/631780421.m3u8
CCTV-05咪咕,http://lobe.concordcityx.com:35455/mgtv/641886683.m3u8
CCTV-5+咪咕,http://lobe.concordcityx.com:35455/mgtv/641886773.m3u8
CCTV-06咪咕,http://lobe.concordcityx.com:35455/mgtv/624878396.m3u8
CCTV-07咪咕,http://lobe.concordcityx.com:35455/mgtv/673168121.m3u8
CCTV-08咪咕,http://lobe.concordcityx.com:35455/mgtv/624878356.m3u8
CCTV-09咪咕,http://lobe.concordcityx.com:35455/mgtv/673168140.m3u8
CCTV-10咪咕,http://lobe.concordcityx.com:35455/mgtv/624878405.m3u8
CCTV-11咪咕,http://lobe.concordcityx.com:35455/mgtv/667987558.m3u8
CCTV-12咪咕,http://lobe.concordcityx.com:35455/mgtv/673168185.m3u8
CCTV-13咪咕,http://lobe.concordcityx.com:35455/mgtv/608807423.m3u8
CCTV-14咪咕,http://lobe.concordcityx.com:35455/mgtv/624878440.m3u8
CCTV-15咪咕,http://lobe.concordcityx.com:35455/mgtv/673168223.m3u8
CCTV-16咪咕,http://lobe.concordcityx.com:35455/nptv/cctv16.m3u8
CCTV-17咪咕,http://lobe.concordcityx.com:35455/mgtv/673168256.m3u8
CCTV-4k咪咕,http://lobe.concordcityx.com:35455/nptv/cctv4k.m3u8
CCTV-8k咪咕,http://lobe.concordcityx.com:35455/nptv/cctv8k.m3u8
cct4欧洲咪咕,http://lobe.concordcityx.com:35455/mgtv/608807419.m3u8
cct4美洲咪咕,http://lobe.concordcityx.com:35455/mgtv/608807416.m3u8
CETV-01咪咕,http://lobe.concordcityx.com:35455/mgtv/923287154.m3u8
CETV-02咪咕,http://lobe.concordcityx.com:35455/mgtv/923287211.m3u8
CETV-04咪咕,http://lobe.concordcityx.com:35455/mgtv/923287339.m3u8
动作电影咪咕,http://lobe.concordcityx.com:35455/mgtv/644368714.m3u8
家庭影院咪咕,http://lobe.concordcityx.com:35455/mgtv/644368373.m3u8
影迷电影咪咕,http://lobe.concordcityx.com:35455/mgtv/952383261.m3u8
东方卫视咪咕,http://lobe.concordcityx.com:35455/mgtv/651632648.m3u8
江西卫视咪咕,http://lobe.concordcityx.com:35455/mgtv/783847495.m3u8
湖北卫视咪咕,http://lobe.concordcityx.com:35455/mgtv/947472496.m3u8
陕西卫视咪咕,http://lobe.concordcityx.com:35455/mgtv/738910838.m3u8
直播体育咪咕,http://lobe.concordcityx.com:35455/mgtv/654102378.m3u8
CCTV-01咪咕,http://114.103.187.33:35455/mgtv/608807420.m3u8
CCTV-02咪咕,http://114.103.187.33:35455/mgtv/631780532.m3u8
CCTV-03咪咕,http://114.103.187.33:35455/mgtv/624878271.m3u8
CCTV-04咪咕,http://114.103.187.33:35455/mgtv/631780421.m3u8
CCTV-05咪咕,http://114.103.187.33:35455/mgtv/641886683.m3u8
CCTV-5+咪咕,http://114.103.187.33:35455/mgtv/641886773.m3u8
CCTV-06咪咕,http://114.103.187.33:35455/mgtv/624878396.m3u8
CCTV-07咪咕,http://114.103.187.33:35455/mgtv/673168121.m3u8
CCTV-08咪咕,http://114.103.187.33:35455/mgtv/624878356.m3u8
CCTV-09咪咕,http://114.103.187.33:35455/mgtv/673168140.m3u8
CCTV-10咪咕,http://114.103.187.33:35455/mgtv/624878405.m3u8
CCTV-11咪咕,http://114.103.187.33:35455/mgtv/667987558.m3u8
CCTV-12咪咕,http://114.103.187.33:35455/mgtv/673168185.m3u8
CCTV-13咪咕,http://114.103.187.33:35455/mgtv/608807423.m3u8
CCTV-14咪咕,http://114.103.187.33:35455/mgtv/624878440.m3u8
CCTV-15咪咕,http://114.103.187.33:35455/mgtv/673168223.m3u8
CCTV-16咪咕,http://114.103.187.33:35455/nptv/cctv16.m3u8
CCTV-17咪咕,http://114.103.187.33:35455/mgtv/673168256.m3u8
CCTV-4k咪咕,http://114.103.187.33:35455/nptv/cctv4k.m3u8
CCTV-8k咪咕,http://114.103.187.33:35455/nptv/cctv8k.m3u8
cct4欧洲咪咕,http://114.103.187.33:35455/mgtv/608807419.m3u8
cct4美洲咪咕,http://114.103.187.33:35455/mgtv/608807416.m3u8
CETV-01咪咕,http://114.103.187.33:35455/mgtv/923287154.m3u8
CETV-02咪咕,http://114.103.187.33:35455/mgtv/923287211.m3u8
CETV-04咪咕,http://114.103.187.33:35455/mgtv/923287339.m3u8
动作电影咪咕,http://114.103.187.33:35455/mgtv/644368714.m3u8
家庭影院咪咕,http://114.103.187.33:35455/mgtv/644368373.m3u8
影迷电影咪咕,http://114.103.187.33:35455/mgtv/952383261.m3u8
东方卫视咪咕,http://114.103.187.33:35455/mgtv/651632648.m3u8
江西卫视咪咕,http://114.103.187.33:35455/mgtv/783847495.m3u8
湖北卫视咪咕,http://114.103.187.33:35455/mgtv/947472496.m3u8
陕西卫视咪咕,http://114.103.187.33:35455/mgtv/738910838.m3u8
直播体育咪咕,http://114.103.187.33:35455/mgtv/654102378.m3u8



MY,#genre#
南充综合,http://ncrmpull.cnncw.cn/live/8f7b908601931000dd6ee79a00000000/playlist.m3u8?wsSecret=371a8108a7826e6dd8a0d9fe5f90272c&wsTime=2019657600
南充科教,http://ncrmpull.cnncw.cn/live/8f7f8d3101931000ffbe3ba700000000/playlist.m3u8?wsSecret=0148edb88bca6b49e86cc6ef96fb3ac3&wsTime=2019657600
仪陇,https://live.yilongnews.com/live/ylzhpd.m3u8?auth_key=1741134122-0-0-fbf8d764c05b0a2547234f0f9f64e4b6
邻水,http://pgpull.lspuge.cn/live/7414eab70192100000f07f6e00000000/playlist.m3u8?wsSecret=c5783264bdce73bb146d16e12f78d120&wsTime=2019657600
西双版纳,http://m3u8channel.xsbnrtv.cn/nmip-media/channellive/channel106885/playlist.m3u8
丽江,https://hwapi.yntv.net/ew265l/ke88o9.m3u8
攀枝花公共,http://live.pzhkai.com/wlshtl/sd/live.m3u8
攀枝花综合,http://live.pzhkai.com/xwzhtl/sd/live.m3u8
达州新闻综合,http://tv.drs.dzxw.net/channellive/xwzhpd-dz1.flv
达州公共频道,http://tv.drs.dzxw.net/channellive/ggpd-dz2.flv
达州通川频道,http://tv.drs.dzxw.net/channellive/tcpd-dz3.flv
广元综合,https://m3u8.channel.dzsm.com/nmip-media/channellive/channel100999/playlist.m3u8
广元生活,https://m3u8.channel.dzsm.com/nmip-media/channellive/channel101257/playlist.m3u8
广安新闻综合,http://live1.gatv.com.cn:85/live/XWZH.m3u8
广安公共频道,http://live1.gatv.com.cn:85/live/GGPD_ggpdzm.m3u8
广安公共频道,http://live1.gatv.com.cn:85/live/GGPD.m3u8
岳池新闻综合,http://liveyc.cmc.yuechirmt.cn:80/live/yctv.m3u8?auth_key=1714112398-0-0-d9a6bd74623c01c1c2f9576fe51e8b7b
苏州1,https://live-auth.51kandianshi.com/szgd/csztv1.m3u8
苏州2,https://live-auth.51kandianshi.com/szgd/csztv2.m3u8
苏州3,https://live-auth.51kandianshi.com/szgd/csztv3.m3u8
苏州4,https://live-auth.51kandianshi.com/szgd/csztv4.m3u8
苏州5,https://live-auth.51kandianshi.com/szgd/csztv5.m3u8
康巴卫视高清,http://171.213.203.71:8888/udp/239.93.0.41:5140
泸州新闻综合,http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel106011/playlist.m3u8
泸州公共频道,http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel102221/playlist.m3u8
泸州科教频道,http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel103074/playlist.m3u8
凉山新闻综合,http://file.yizu.tv/nmip-media/channellive/channel106606/playlist.m3u8
凉山彝语频道,http://file.yizu.tv/nmip-media/channellive/channel107323/playlist.m3u8
自贡公共频道,http://110.189.153.160:1002/ggpd.flv
德阳新闻综合,http://scdytv.cn:1935/live/m_xwpd_livevideo/playlist.m3u8
德阳公共频道,http://scdytv.cn:1935/live/m_ggpd_livevideo/playlist.m3u8
甘孜综合频道,http://tv.drs.ganzitv.com:8100/channellive/gztv.flv
双流综合频道,http://171.221.250.130:18888/27e684978eb642eeb90ab815f6cc51bf/c41893de5e8645b3b43aef1640859b0d.m3u8
万源新闻综合,http://live.wanyuannews.com/wytv/hd/live.m3u8
南部新闻综合,http://pili-live-rtmp.148.i2863.com/i2863-148/live_148_811389.m3u8
