    <meta name="viewport" content="width=device-width, initial-scale=0.9">
﻿
凤凰卫视中文台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=2
凤凰卫视资讯台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=3
凤凰卫视香港台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=4
香港有线新闻台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=6
香港有线18台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=9
香港有线18台(备),http://103.82.54.40/proxy/cibn/qq群850045467.php?id=12
TVB无线新闻台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=16
TVB翡翠台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=20
华丽翡翠台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=21
TVB明珠台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=22
TVB Plus,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=23
TVB娱乐新闻台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=24
TVB星河,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=25
myTV SUPER 18台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=26
美亚电影台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=27
ViuTV,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=28
ViuTV6,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=29
NOW直播台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=30
NOW新闻台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=31
NOW财经台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=32
NOW SPORTS PRIME,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=33
HOY国际财经台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=36
HOY TV,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=37
HOY资讯台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=38
港台电视31,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=40
港台电视32,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=41
中天新闻台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=43
东森新闻台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=44
东森财经新闻台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=45
年代新闻台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=46
寰宇新闻台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=47
寰宇新闻台湾台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=48
台视新闻台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=49
中视新闻台,http://103.82.54.40/proxy/cibn/qq群850045467.php?id=50
