🌺重要公告🌸,#genre#
恒大歌舞精彩表演，配曲《甜蜜哥妹情》,https://vd3.bdstatic.com/mda-qh6ym2me7r9x46rc/sc/bd265_cae_visr_v6/1723076849441992601/mda-qh6ym2me7r9x46rc.mp4
恒大歌舞精彩表演，配曲《男情女爱》,https://vd3.bdstatic.com/mda-qhax6bq6684c861a/sc/bd265_cae_visr_v6/1723414774201853637/mda-qhax6bq6684c861a.mp4
恒大歌舞精彩表演，配曲《你是我的梦梦梦》,https://vd3.bdstatic.com/mda-qgvww0zwr1iibg46/sc/bd265_cae_visr_v6/1722377545892081700/mda-qgvww0zwr1iibg46.mp4
恒大歌舞精彩表演，配曲《妹妹的相思酒》,https://vd3.bdstatic.com/mda-qh0x7sid7qyctkd0/sc/bd265_cae_visr_v6/1722552871825229249/mda-qh0x7sid7qyctkd0.mp4
恒大歌舞精彩表演，配曲《远方的朋友我想你》,https://vd3.bdstatic.com/mda-qh1xqn06unmpaqyw/sc/bd265_cae_visr_v6/1722639477948453960/mda-qh1xqn06unmpaqyw.mp4
恒大歌舞精彩表演，配曲《自从那天遇见你》,https://vd3.bdstatic.com/mda-qh4y0wwtsc2t3icx/sc/bd265_cae_visr_v6/1723156377752547603/mda-qh4y0wwtsc2t3icx.mp4
恒大歌舞精彩表演，配曲《来生再去拥抱你》,https://vd3.bdstatic.com/mda-qh8x4nm6ruvtgmrf/sc/bd265_cae_visr_v6/1723249404270907904/mda-qh8x4nm6ruvtgmrf.mp4
《爱听情歌的人》,https://vd3.bdstatic.com/mda-qfvahgijk1z1n3bz/sc/bd265_cae_visr_v6/1720534511142482293/mda-qfvahgijk1z1n3bz.mp4
《不要走不要走》,https://vd3.bdstatic.com/mda-qgi1gyh9466q2nqj/sc/bd265_cae_visr_v6/1721603287935672973/mda-qgi1gyh9466q2nqj.mp4
💐🙏💐💐君赢天下,http://mywlkj.ddns.net:5212/f/a0Bix/%E5%BC%80%E6%9C%BA%E5%A3%B0%E6%98%8E.mp4
🎉重🎉永远免费,https://vd3.bdstatic.com/mda-pmtxtm19gnics7y0/sc/bd265_cae_roi_v6/1703848963097886468/mda-pmtxtm19gnics7y0.mp4
🎉要🎉免会员,https://vd3.bdstatic.com/mda-pmr08xak9uh2c8f8/sc/bd265_cae_roi_v6/1703799114073392432/mda-pmr08xak9uh2c8f8.mp4
🎉公🎉无限制,https://vd3.bdstatic.com/mda-qe0xefpwh9nuhqw5/sc/bd265_cae_visr_v6/1715785379750217260/mda-qe0xefpwh9nuhqw5.mp4
🎉告🎉无广告,https://vd3.bdstatic.com/mda-pmr08xak9uh2c8f8/sc/bd265_cae_roi_v6/1703799114073392432/mda-pmr08xak9uh2c8f8.mp4
🎉👇👀🎉禁止买卖,https://vd3.bdstatic.com/mda-qa42tyxnqakesi48/sc/bd265_cae_roi_v6/1704420849457423285/mda-qa42tyxnqakesi48.mp4
👉把家里路由器,https://txmov2.a.kwimgs.com/upic/2022/03/21/19/BMjAyMjAzMjExOTA2MjRfMjYyNzI4Mjc4MV83MDE2MTEwMjY1Ml8yXzM=_b_B977559109a6b2bec30b01e11d458d398.mp4
👉设置ipv6网络,https://vd3.bdstatic.com/mda-qcnhc9pcq3dhrreu/default/bd265_cae_roi_v6/1711197070934641369/mda-qcnhc9pcq3dhrreu.mp4
👉观看所有线路,https://vdse.bdstatic.com//fbbd25c517d1ba56b3ecbfb16c27d7e9.mp4
👉加群更精彩,https://vd3.bdstatic.com/mda-qcnh9c8zhf4fqew2/default/bd265_cae_roi_v6/1711196849718644210/mda-qcnh9c8zhf4fqew2.mp4

🌸👆🌸👉💐君赢天下,https://vd3.bdstatic.com/mda-mhr9c7q9xzgy1812/1080p/cae_h264/1630062648077583523/mda-mhr9c7q9xzgy1812.mp4
🌸IPV6👉移动,https://vd3.bdstatic.com/mda-nbn9ud3ukuw0mtsy/480p/h264_delogo/1645600453315520060/mda-nbn9ud3ukuw0mtsy.mp4
🌸网🌸👉iqv6,https://vd3.bdstatic.com/mda-qcid944hmwkr99wf/default/bd265_cae_roi_v6/1710841469003946466/mda-qcid944hmwkr99wf.mp4
🌸络🌸👉ipv6,https://vd4.bdstatic.com/mda-mkp3tpu9ghk2ufev/sc/cae_h264/1637733480141753790/mda-mkp3tpu9ghk2ufev.mp4
🌸观🌸👉ipv6,https://vd3.bdstatic.com/mda-pi20hnzdtvcip271/sc/bd265_cae_roi_v5/1693702726155152409/mda-pi20hnzdtvcip271.mp4
🌸看🌸👉ipv6,https://vd3.bdstatic.com/mda-qbi21qmg7wb8cn90/sc/bd265_cae_roi_v6/1708306921837782204/mda-qbi21qmg7wb8cn90.mp4
🌸所🌸👉ipv6,https://vd3.bdstatic.com/mda-qcp7115v9ma9vtni/default/bd265_cae_roi_v6/1711257703154341697/mda-qcp7115v9ma9vtni.mp4
🌸有🌸👉ipv6,https://vd3.bdstatic.com/mda-qcp6yyyvsj8yi2si/default/bd265_cae_roi_v6/1711256664127281250/mda-qcp6yyyvsj8yi2si.mp4
🌸节🌸👉3D电影,https://vd3.bdstatic.com/mda-kj0kfvyty9dk9nk0/v1-cae/sc/mda-kj0kfvyty9dk9nk0.mp4
🌸目🌸👉3D投影1,https://vd4.bdstatic.com/mda-ncuizu4wfrjswzxp/720p/h264_delogo/1648560283895563574/mda-ncuizu4wfrjswzxp.mp4
🌸🙏🌸👉3D投影2,https://vd4.bdstatic.com/mda-ncuiyrw7qj9x5w3z/720p/h264_delogo/1648560203494563586/mda-ncuiyrw7qj9x5w3z.mp4
👉加群更精彩,https://vd3.bdstatic.com/mda-qcnh9c8zhf4fqew2/default/bd265_cae_roi_v6/1711196849718644210/mda-qcnh9c8zhf4fqew2.mp4

🇨🇳央视频道,#genre#
CCTV1,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv1
CCTV1,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv1
CCTV2,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv2
CCTV3,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv3
CCTV4,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv4
CCTV5,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv5
CCTV5+,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv5p
CCTV6,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv6
CCTV7,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv7
CCTV8,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv8
CCTV9,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv9
CCTV10,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv10
CCTV11,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv11
CCTV12,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv12
CCTV13,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv13
CCTV14,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv14
CCTV15,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv15
CCTV16,http://www.erbao1981.top:8188/udp/239.76.246.98:1234
CCTV17,http://www.erbao1981.top:8188/udp/239.76.245.239:1234
CCTV-4k,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8


CCTV1,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv1hd265/57/20191230/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV2,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv2hd265/55/20200407/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV3,http://hlsbkmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
