测试频道,#genre#
祝愿蛇年大吉,http://rihou.cc:555/mp4?id=lndjllll.mp4
全年恭喜发财,http://rihou.cc:555/mp4?id=2025a.mp4
全粤音乐串烧,http://rihou.cc:555/mp4?id=2025b.mp4
一笑江湖,https://vd3.bdstatic.com/mda-pdrbhxpcn5ykbmvq/360p/h264/1682496744172478479/mda-pdrbhxpcn5ykbmvq.mp4?auth_key=1751803268-0-0-39c4cd1ed419d52e6611cf6d6de55d4e&bcevod_channel=searchbox_feed&pd=1&cr=0&cd=0&pt=4&logid=0068150683&vid=6095000335530420424#https://vd2.bdstatic.com/mda-pb14631emy5808f0/cae_h264/1675309114857562179/mda-pb14631emy5808f0.mp4?auth_key=1751803306-0-0-f0699f1736b8e6ad1281e172ee9754ac&bcevod_channel=searchbox_feed&pd=1&cr=0&cd=0&pt=4&logid=0106230071&vid=6016181578148765226#https://vd2.bdstatic.com/mda-remjqqnx8rg3pv86/hd/cae_h264/1747923962300428158/mda-remjqqnx8rg3pv86.mp4?auth_key=1751803335-0-0-d2c54d46539fe8f84c687e025a8ee895&bcevod_channel=searchbox_feed&pd=1&cr=1&cd=0&pt=4&logid=0135491966&vid=2839599185404877483&abtest=all
权恩妃,https://vd2.bdstatic.com/mda-rg66zw1mynjj4c5g/576p/h264/1751864289112355409/mda-rg66zw1mynjj4c5g.mp4?auth_key=1752067876-0-0-f96738658284dfd0b10000b717932944&bcevod_channel=searchbox_feed&pd=1&cr=1&cd=0&pt=4&logid=1876065434&vid=9085559743687682733&abtest=all#https://hls.qzkj.tech/videos5/86aa94e7a18454a304f8b87b7e10ec1b/86aa94e7a18454a304f8b87b7e10ec1b.m3u8?auth_key=1752069370-686e74fa045f7-0-20612bc85bbce59899902faa5b6ebbd6&v=3&time=0&via_bm=dx

超高清频,#genre#

深圳卫视4k,http://xxwx.yoesun.com/xxw/卫视4K.php?id=sz4k
深圳卫视4k,http://xxwx.yoesun.com/xxw/卫视4K.php?id=sz4k
深圳卫视4K,https://livepull-tcms.sztv.com.cn:443/live/sz4Kpgm.m3u8
深圳卫视4K,http://ikuai.haleeyo.cn:9003/udp/239.77.1.14:5146

广东卫视4K,http://183.30.201.207:10002/udp/239.77.0.27:5146
广东卫视4k,http://xxwx.yoesun.com/xxw/卫视4K.php?id=gd4k
广东卫视4K,http://ikuai.haleeyo.cn:9003/udp/239.77.0.27:5146
广东卫视4k,http://xxwx.yoesun.com/xxw/卫视4K.php?id=gd4k

苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u8
4K放大镜全网,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
4K时尚台,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8

稳定官方,#genre#

CHC影迷电影,http://106.53.99.30/tv/20250717.php?id=0020
CHC家庭影院,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00002028/index.m3u8
CHC影迷电影,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00002029/index.m3u8
CHC动作电影,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00002030/index.m3u8

CHC动作电影,http://222.241.204.210:8888/udp/239.76.252.243:9000
CHC家庭影院,http://222.241.204.210:8888/udp/239.76.252.241:9000
CHC影迷电影,http://222.241.204.210:8888/udp/239.76.252.242:9000
1905电影网,http://xxwx.yoesun.com/xxw/1905电影网.php?id=1905a
1905电影网,http://xxwx.yoesun.com/xxw/1905电影网.php?id=1905b

极速经典电影1,http://tc-tct.douyucdn2.cn/dyliveflv1/122402rK7MO9bXSq_2000.flv?wsAuth=8cea39337984fd3341cc9ec569502e4f&token=cpn-androidmpro-0-122402-0fcea45d2300cfa0ac75fafd8679bb53af10de8c33ae99d9&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p
极速经典电影2,http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K_2000.flv?wsAuth=2ccc7b4ba29208aaba62dae54cbbd68c&token=cpn-androidmpro-0-20415-b6774b3b3249db17fff84d73c7585c95e780dbccdb08e4bc&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p
极速经典电影3,http://tc-tct.douyucdn2.cn/dyliveflv1/85894rmovieChow_2000.flv?wsAuth=7d054e041804e80af8aa7e975e2d8573&token=cpn-androidmpro-0-85894-a3575d938a4aa309c687f5fb85a1009fc65cfbeeb2672310&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=pla

凤凰中文標清,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_fhzw.flv
凤凰资讯標清,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_fhzx.flv
凤凰香港標清,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_fhxg.flv
无线翡翠高清,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_jade.flv
无线翡翠高清,http://erp.giihgtidg.com:8080/live/jade01.m3u8
凤凰中文,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_fhzw.flv
凤凰资讯,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_fhzx.flv
凤凰香港,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_fhxg.flv
翡翠台,http://s1.an94tv.cfd/aktv/CH-0/AKTV.m3u8
無綫新聞台,http://s1.an94tv.cfd/aktv/CH-1/AKTV.m3u8
凤凰中文,https://live.sxrtv.com/iptv/fhzw.flv
凤凰资讯,https://live.sxrtv.com/iptv/fhzx.flv
凤凰香港,https://live.sxrtv.com/iptv/fhhk.flv
爆谷台,http://j.s.bkpcp.top/js/nowbgt
鳳凰中文,http://j.s.bkpcp.top/js/fhzw
鳳凰資訊,http://j.s.bkpcp.top/js/fhzx
鳳凰香港,http://j.s.bkpcp.top/js/fhxg
凤凰中文,https://live.sxrtv.com/iptv/fhzw.flv
凤凰资讯,https://live.sxrtv.com/iptv/fhzx.flv
凤凰香港,https://live.sxrtv.com/iptv/fhhk.flv
鳳凰衛視中文台,http://s1.an94tv.cfd/aktv/CH-3/AKTV.m3u8
鳳凰衛視資訊台,http://s1.an94tv.cfd/aktv/CH-4/AKTV.m3u8
鳳凰衛視香港台,http://s1.an94tv.cfd/aktv/CH-5/AKTV.m3u8


凤凰中文,http://www.520345.xyz:8188/rtp/239.69.2.20:11274
凤凰资讯,http://www.520345.xyz:8188/rtp/239.69.2.19:11268
凤凰香港,http://hxgcs.loli520.xyz/fhx/fhx66.php?id=hk
凤凰资讯,http://hxgcs.loli520.xyz/fhx/fhx66.php?id=info
凤凰中文,http://hxgcs.loli520.xyz/fhx/fhx66.php?id=cn
经典影视,http://huanqiuzhibo.cn/manifest/douyu.php?id=6091425
经典剧场,http://lxajh.top/tv/douyu.php?id=4246519


翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
明珠台,http://o12.1678520.xyz/hls/mzt/playlist.m3u8
无线新闻台,http://erp.giihgtidg.com:8080/live/wxxw01.m3u8
东森新闻,https://gdfire2.67890123.cn:8088/live/dsxw01.m3u8
中天新闻,https://gdfire2.67890123.cn:8088/live/ztxw01.m3u8
寰宇新闻台,https://gdfire2.67890123.cn:8088/live/hyxw01.m3u8
美亚电影,http://php.jdshipin.com/TVOD/iptv.php?id=meiya
八度空间,http://8.138.7.223/【公众号：榴芒电视】/8tv.m3u8
重温经典,http://cdn3.132.us.kg/live/cwjd/stream.m3u8
档干教育,http://12371wbndbd.a.bdydns.com/12371wbnd/dangyuanwang_2/index.m3u8
中国天气,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8


北京新闻,http://k.061899.xyz/m.php?id=bjxw
北京影视,http://k.061899.xyz/m.php?id=bjys
北京文艺,http://k.061899.xyz/m.php?id=bjwy
北京科教,http://k.061899.xyz/m.php?id=bjjs
北京生活,http://k.061899.xyz/m.php?id=bjsh
北京财经,http://k.061899.xyz/m.php?id=bjcj
北京休闲,http://k.061899.xyz/m.php?id=bjty
广东珠江,http://k.061899.xyz/m.php?id=gdzj
广东体育,http://k.061899.xyz/m.php?id=gdty
五星体育,http://k.061899.xyz/m.php?id=wxty
劲爆体育,http://k.061899.xyz/m.php?id=jbty
魅力足球,http://k.061899.xyz/m.php?id=mlzq
咪咕体育,http://k.061899.xyz/m.php?id=mgty

江苏卫视,http://8.138.7.223/tv/dl/jstv.php?id=jsws
浙江卫视,http://8.138.7.223/tv/zjws.m3u8
兵团卫视,http://8.138.7.223/tv/btws.m3u8
