电影台IPV4,#genre#


全球大片,http://wouu.net:9977/udp/239.93.0.105:5140
全球大片,http://www.pr666.site:4040/udp/239.255.30.196:8231$甘肃电信组播
全球大片,http://www.pr666.site:4040/udp/239.255.30.196:8231
凌儿影院,http://159.75.85.63:35455/douyu/1377142
劲爆电影,http://rt4.orangevip.top:8999/rtp/232.0.0.155:1234
华语影院,http://www.pr666.site:4040/udp/239.255.30.193:8231$甘肃电信组播
华语影院,http://www.pr666.site:4040/udp/239.255.30.193:8231
华语影院,http://wouu.net:9977/udp/239.93.0.138:5140
可乐影院,http://159.75.85.63:35455/douyu/20415
吃米滴虫,http://159.75.85.63:35455/douyu/263824#http://maomao.kandiantv.cn/douyu1.php?id=263824
吃米滴虫,http://159.75.85.63:35455/douyu/263824
吃米滴虫,http://159.75.85.63:35455/douyu/315457
峨眉电影,http://wouu.net:9977/udp/239.93.0.252:5140
峨眉电影,http://wouu.net:9977/udp/239.93.1.54:5140
峨眉电影,http://218.89.240.144:59901/tsfile/live/1011_1.m3u8
恐怖惊悚,http://159.75.85.63:35455/douyu/96577
星光影院,http://www.pr666.site:4040/udp/239.255.30.194:8231
星光视界,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
星爷影院,http://159.75.85.63:35455/douyu/508118
百事通谍战剧场,http://php.jdshipin.com:8880/bst.php?id=dzjc
神乐影院,http://159.75.85.63:35455/douyu/122402
经典电影,http://43.138.170.29:35455/yy/1450556636
经典电影,http://tc-tct.douyucdn2.cn/dyliveflv1a/85894rmovieChow_2000p.m3u8
绝版电影,https://live.metshop.top/yy/1454587259
萌小鬼片,http://159.75.85.63:35455/douyu/3928
谍战剧场,http://wouu.net:9977/udp/239.93.0.95:5140
谍战剧场,http://www.pr666.site:4040/udp/239.255.30.166:8231$甘肃电信组播
谍战剧场,http://php.jdshipin.com:8880/bst.php?id=dzjc8m/8000000
贝爷影厅,http://159.75.85.63:35455/douyu/252802#http://maomao.kandiantv.cn/douyu1.php?id=252802
贝爷影厅,http://159.75.85.63:35455/douyu/252802
邵氏影院,http://159.75.85.63:35455/douyu/4246519
重温经典,http://43.141.130.33/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225563/index.m3u8
重温经典,http://43.141.130.51/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225563/index.m3u8
重温经典,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000635
重温经典,http://mtw.so/5NPX0U
黑龙江影视,http://112.99.200.2:9901/tsfile/live/1000_1.m3u8?key=txiptv
山西影视,http://liveflash.sxrtv.com/live/sxfilm.m3u8?sub_m3u8=true&edge_slice=true
1905电影,http://xxw.me0.cn/1905dy.php?id=1905a
大吉大利代,https://pull.kktv8.com/livekktv/128600025.flv
恐怖惊悚?原,http://159.75.85.63:35455/douyu/96577
星光视界频道,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
番薯电视,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8?blog.ntnas.top
