提示,#genre#
免费分享,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=DKILzn&tk=cl177bPI6scY
不要打赏,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=kXqGW3&tk=cl177bPI6scY
香港,#genre#
TVB生活台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=PsJ6MV&tk=cl177bPI6scY
TVB星河(国),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=pPdLzr&tk=cl177bPI6scY
TVB功夫(国),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ZVhmiT&tk=cl177bPI6scY
Now爆谷台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=mm4WQk&tk=cl177bPI6scY
Now星影台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=BVb5zV&tk=cl177bPI6scY
Now华剧台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=bBEZGX&tk=cl177bPI6scY
Now剧集台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=MBp626&tk=cl177bPI6scY
Now紫金国际,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=u7CfA3&tk=cl177bPI6scY
HUB娱家台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Z53hFm&tk=cl177bPI6scY
HUB都会台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=uH43Jg&tk=cl177bPI6scY
戏说台湾,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ESnIX8&tk=cl177bPI6scY
CHC家庭影院,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=CPTSIQ&tk=cl177bPI6scY
CHC动作电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=G7WS4V&tk=cl177bPI6scY
CHC影迷电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=vaYttD&tk=cl177bPI6scY
凤凰卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=XUyHtd&tk=cl177bPI6scY
凤凰资讯,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=k5OBOx&tk=cl177bPI6scY
凤凰香港,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Nf55tz&tk=cl177bPI6scY
翡翠台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=eMS7vY&tk=cl177bPI6scY
翡翠台 backup,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=IqS2W1&tk=cl177bPI6scY
无线新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Hg9CUn&tk=cl177bPI6scY
TVB J 2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=a2oWzF&tk=cl177bPI6scY
明珠台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=y5F5qx&tk=cl177bPI6scY
HOY资讯台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=q3qwR6&tk=cl177bPI6scY
RHK 31,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=aYveFo&tk=cl177bPI6scY
VIUTV1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=3yROEy&tk=cl177bPI6scY
RHK 32,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=kdS9A8&tk=cl177bPI6scY
Viu6,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=GVYGUl&tk=cl177bPI6scY
大陆,#genre#
中国|CCTV-1 综合 HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=DoEA5f&tk=cl177bPI6scY
中国|CCTV-2 财经,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=3vr9OA&tk=cl177bPI6scY
中国|CCTV-3 综艺 HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=fSBPhG&tk=cl177bPI6scY
中国|CCTV-4 中文国际,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=HYHv0Y&tk=cl177bPI6scY
