斯玛特 央卫,#genre#
                         150.138.77.132:10037/xxw

CCTV1,http://150.138.77.132:10037/xxw/Smartv.php?id=cctv1
CCTV2,http://150.138.77.132:10037/xxw/Smartv.php?id=cctv2
CCTV3,http://150.138.77.132:10037/xxw/Smartv.php?id=cctv3
CCTV4,http://150.138.77.132:10037/xxw/Smartv.php?id=cctv4
CCTV4,http://150.138.77.132:10037/xxw/Smartv.php?id=Cctv4
CCTV5,http://150.138.77.132:10037/xxw/Smartv.php?id=cctv5
CCTV5+,http://150.138.77.132:10037/xxw/Smartv.php?id=cctv5plus
CCTV6,http://150.138.77.132:10037/xxw/Smartv.php?id=cctv6
CCTV7,http://150.138.77.132:10037/xxw/Smartv.php?id=cctv7
CCTV8,http://150.138.77.132:10037/xxw/Smartv.php?id=cctv8hd
CCTV9,http://150.138.77.132:10037/xxw/Smartv.php?id=cctv9hd
CCTV10,http://150.138.77.132:10037/xxw/Smartv.php?id=cctv10hd
CCTV11,http://150.138.77.132:10037/xxw/Smartv.php?id=cctv11
CCTV12,http://150.138.77.132:10037/xxw/Smartv.php?id=cctv12
CCTV13,http://150.138.77.132:10037/xxw/Smartv.php?id=cctv13
CCTV14,http://150.138.77.132:10037/xxw/Smartv.php?id=cctv14
CCTV15,http://150.138.77.132:10037/xxw/Smartv.php?id=cctv15
湖南卫视,http://150.138.77.132:10037/xxw/Smartv.php?id=hunan_twn
浙江卫视,http://150.138.77.132:10037/xxw/Smartv.php?id=zhejiang_twn
江苏卫视,http://150.138.77.132:10037/xxw/Smartv.php?id=jiangsu_twn
深圳卫视,http://150.138.77.132:10037/xxw/Smartv.php?id=shenzhen
东南卫视,http://150.138.77.132:10037/xxw/Smartv.php?id=fujian
南方卫视,http://150.138.77.132:10037/xxw/Smartv.php?id=nanfang_twn
广东卫视,http://150.138.77.132:10037/xxw/Smartv.php?id=guangdongweishi_twn
北京卫视,http://150.138.77.132:10037/xxw/Smartv.php?id=beijing
珠江,http://150.138.77.132:10037/xxw/Smartv.php?id=zhujiang
广西卫视,http://150.138.77.132:10037/xxw/Smartv.php?id=guangxi
湖北卫视,http://150.138.77.132:10037/xxw/Smartv.php?id=hubei
四川卫视,http://150.138.77.132:10037/xxw/Smartv.php?id=sichuan_twn
东方卫视,http://150.138.77.132:10037/xxw/Smartv.php?id=dongfangweishi_twn
中国国际·CGTN,http://150.138.77.132:10037/xxw/Smartv.php?id=CGTN

德国斯玛特,#genre#
TVB Magic,http://150.138.77.132:10037/xxw/Smartv.php?id=Tvbmagic
TVB Jade,http://150.138.77.132:10037/xxw/Smartv.php?id=Tvbjade
TVB Asia,http://150.138.77.132:10037/xxw/Smartv.php?id=Tvbasia
TVB Entertainment,http://150.138.77.132:10037/xxw/Smartv.php?id=Tvbentertainment
TVB Classic,http://150.138.77.132:10037/xxw/Smartv.php?id=Tvbclassic
TVBJ2,http://150.138.77.132:10037/xxw/Smartv.php?id=j2_twn
TVB星河,http://150.138.77.132:10037/xxw/Smartv.php?id=Xinhe
TVB珍珠,http://150.138.77.132:10037/xxw/Smartv.php?id=pearl_twn
