    <meta name="viewport" content="width=device-width, initial-scale=0.9">




阿烈🌸壁纸,#genre#

广东珠江频道,http://api.mytv666.top/api/hk.php?id=6162313131666165376133396363636237633834663162366130663635663031267469643d74762669643d39
广东体育,http://api.mytv666.top/api/hk.php?id=3635306561306164626438636438373731346432656366353839663866326232267469643d74762669643d3131
凤凰卫视中文台,http://api.mytv666.top/api/hk.php?id=3635353536383939393264346132646363626433646461373332353365633339267469643d74762669643d3230
凤凰卫视资讯台,http://api.mytv666.top/api/hk.php?id=3639313932626236616366636537633734323039313738383137613037633739267469643d74762669643d3231
凤凰卫视香港台,http://api.mytv666.top/api/hk.php?id=6366393933363838303835353235313030313837656130343336356238356364267469643d74762669643d3232
CCTV1,https://60.191.56.186:8888/hls/1/index.m3u8

CCTV2,https://60.191.56.186:8888/hls/2/index.m3u8

CCTV3,https://60.191.56.186:8888/hls/3/index.m3u8

CCTV4,http://www.liuliuball.cn:8888/udp/239.69.1.138:10466

CCTV5,https://60.191.56.186:8888/hls/5/index.m3u8

CCTV5+,https://60.191.56.186:8888/hls/15/index.m3u8

CCTV6,https://60.191.56.186:8888/hls/6/index.m3u8

CCTV7,https://60.191.56.186:8888/hls/7/index.m3u8

CCTV8,https://60.191.56.186:8888/hls/8/index.m3u8

CCTV9,https://60.191.56.186:8888/hls/9/index.m3u8

CCTV10,https://60.191.56.186:8888/hls/10/index.m3u8

CCTV11,http://www.liuliuball.cn:8888/udp/239.69.1.154:10560
CCTV12,https://60.191.56.186:8888/hls/12/index.m3u8

CCTV13,https://60.191.56.186:8888/hls/13/index.m3u8

CCTV14,http://www.liuliuball.cn:8888/udp/239.69.1.107:10280

CCTV15,https://60.191.56.186:8888/hls/14/index.m3u8

CCTV16,https://60.191.56.186:8888/hls/16/index.m3u8

游戏🌸频道,#genre#

穿越火线,http://tc-tct.douyucdn2.cn/dyliveflv1/605964rzzgGEOZHr.flv?wsAuth=43ef2d796067cbec9c238c73235a1005&token=cpn-androidmpro-0-605964-b9be22700076c085e82232beb0fbe7838e28994acafb3964&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play1
和平精英·手游,http://tc-tct.douyucdn2.cn/dyliveflv1/999rx47n2pp8pKD_2000.flv?wsAuth=6c429f39afed615e842e02ad1a9b1c6e&token=cpn-androidmpro-0-999-d32d75306aab2a7980ad37445844bcccf012d2bb110b5c33&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play1
梦幻西游·手游,http://tc-tct.douyucdn2.cn/dyliveflv1/9163712rMgvzHPS8.flv?wsAuth=08386df29327fb79ef1cf360dd01e99c&token=cpn-androidmpro-0-9163712-b202112df1a8ff8ce762e1d3561b3623df9da0ea0a74880e&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play1
