    <meta name="viewport" content="width=device-width, initial-scale=0.9">
台湾,#genre# 
中天新闻,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv009
寰宇新闻,https://www.judy.xx.kg/judy.php?id=litv-longturn14
东森新闻,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv152
tvbs新闻,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv072
三立新闻,https://www.judy.xx.kg/judy.php?id=4gtv-live089
三立新闻,https://www.judy.xx.kg/judy.php?id=iNEWS
非凡新闻,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv010
闽镜新闻,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv075
民视新闻,https://www.judy.xx.kg/judy.php?id=litv-ftv13
中视新闻,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv074
华视新闻,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv052
台视新闻,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv051
民视,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv002
民视,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv155
中视,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv040
华视,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv041
台视,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv066
寰宇,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv156
tvbs,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv073
民视台湾,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv001
民视第一,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv003
民视旅游,https://www.judy.xx.kg/judy.php?id=litv-ftv07
民视影剧,https://www.judy.xx.kg/judy.php?id=litv-ftv09
民视综艺,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv004
中视菁采,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv064
中视经典,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv080
台视财经,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv056
公视戏剧,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv042
国际财经,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv104
全球财经,https://www.judy.xx.kg/judy.php?id=4gtv-live060
东森财经,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv153
寰宇财经,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv158
cnbc财经,https://www.judy.xx.kg/judy.php?id=4gtv-live130
tvbs精采,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv067
tvbs欢乐,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv068
tvbs综艺,https://www.judy.xx.kg/judy.php?id=4gtv-live087
tvbs台剧,https://www.judy.xx.kg/judy.php?id=4gtv-live088
八大精彩,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv034
八大综艺,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv039
三立综合,https://www.judy.xx.kg/judy.php?id=4gtv-live207
爱达娱乐,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv070
靖洋戏剧,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv045
靖洋卡通,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv057
靖天卡通,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv044
靖天综合,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv046
靖天日本,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv047
靖天欢乐,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv054
靖天映画,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv055
靖天戏剧,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv058
靖天电影,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv061
靖天育乐,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv062
靖天国际,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv063
靖天资讯,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv065
龙华卡通,https://www.judy.xx.kg/judy.php?id=litv-longturn01
龙华日韩,https://www.judy.xx.kg/judy.php?id=litv-longturn11
龙华偶像,https://www.judy.xx.kg/judy.php?id=litv-longturn12
龙华电影,https://www.judy.xx.kg/judy.php?id=litv-longturn03
龙华洋片,https://www.judy.xx.kg/judy.php?id=litv-longturn02
龙华戏剧,https://www.judy.xx.kg/judy.php?id=litv-longturn18
龙华经典,https://www.judy.xx.kg/judy.php?id=litv-longturn21
国会频壹,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv084
国会频贰,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv085
好消息壹,https://www.judy.xx.kg/judy.php?id=litv-ftv16
好消息贰,https://www.judy.xx.kg/judy.php?id=litv-ftv17
大爱壹高,https://www.judy.xx.kg/judy.php?id=4gtv-live007
大爱贰高,https://www.judy.xx.kg/judy.php?id=4gtv-live106
人间卫视,https://www.judy.xx.kg/judy.php?id=4gtv-live008
原住民族,https://www.judy.xx.kg/judy.php?id=4gtv-live014
唐人亚太,https://www.judy.xx.kg/judy.php?id=4gtv-live050
智林体育,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv101
博斯魅力,https://www.judy.xx.kg/judy.php?id=litv-longturn04
博斯网球,https://www.judy.xx.kg/judy.php?id=litv-longturn09
博高球壹,https://www.judy.xx.kg/judy.php?id=litv-longturn05
博高球贰,https://www.judy.xx.kg/judy.php?id=litv-longturn06
博运动壹,https://www.judy.xx.kg/judy.php?id=litv-longturn07
博运动贰,https://www.judy.xx.kg/judy.php?id=litv-longturn08
博无限壹,https://www.judy.xx.kg/judy.php?id=litv-longturn10
博无限贰,https://www.judy.xx.kg/judy.php?id=litv-longturn13
阿里郎台,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv079
滚动人生,https://www.judy.xx.kg/judy.php?id=4gtv-live012
达文西台,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv018
猪哥亮厅,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv006
亚洲旅游,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv076
ELta旅游,https://www.judy.xx.kg/judy.php?id=4gtv-live120
美国之音,https://www.judy.xx.kg/judy.php?id=litv-ftv03
半岛新闻,https://www.judy.xx.kg/judy.php?id=litv-ftv10
非凡商业,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv048
第壹商业,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv109
影迷纪实,https://www.judy.xx.kg/judy.php?id=litv-ftv15
经典电影,https://www.judy.xx.kg/judy.php?id=4gtv-live021
经典卡通,https://www.judy.xx.kg/judy.php?id=4gtv-live022
精选动漫,https://www.judy.xx.kg/judy.php?id=4gtv-live024
戏剧壹台,https://www.judy.xx.kg/judy.php?id=4gtv-live010
古典音乐,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv059
客家电视,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv043
华仁纪实,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv013
时尚运动,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv014
空间居家,https://www.judy.xx.kg/judy.php?id=4gtv-live206
生活英语,https://www.judy.xx.kg/judy.php?id=litv-longturn20
互动英语,https://www.judy.xx.kg/judy.php?id=4gtv-live030
采昌影剧,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv049
数位电影,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv011
欧洲电影,https://www.judy.xx.kg/judy.php?id=4gtv-live157
Amc电影,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv017
CINEMA-,https://www.judy.xx.kg/judy.php?id=4gtv-live069
TRA体育,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv077
车迷体育,https://www.judy.xx.kg/judy.php?id=4gtv-live201
SMArt台,https://www.judy.xx.kg/judy.php?id=litv-longturn19
罪案侦查,https://www.judy.xx.kg/judy.php?id=4gtv-live027
霹雳布袋,https://www.judy.xx.kg/judy.php?id=4gtv-live145
金光布袋,https://www.judy.xx.kg/judy.php?id=4gtv-live144
nick动漫,https://www.judy.xx.kg/judy.php?id=4gtv-live032
nick少儿,https://www.judy.xx.kg/judy.php?id=4gtv-live105
