港湾区,#genre#
美亞電影台,http://bxtv.3a.ink/api.php?id=meiya
PopC,http://bxtv.3a.ink/api.php?id=popc
VIUTV,http://bxtv.3a.ink/api.php?id=viutv
千禧經典台,http://bxtv.3a.ink/api.php?id=qxjd
翡翠台,http://bxtv.3a.ink/api.php?id=fct
myTV SUPER 18台,http://bxtv.3a.ink/api.php?id=18
TVB Plus,http://bxtv.3a.ink/api.php?id=tvbp
明珠台,http://bxtv.3a.ink/api.php?id=mz
無線新聞台,http://bxtv.3a.ink/api.php?id=wxxw
鳳凰衛視中文台,http://bxtv.3a.ink/api.php?id=fhzw
鳳凰衛視資訊台,http://bxtv.3a.ink/api.php?id=fhzx
鳳凰衛視香港台,http://bxtv.3a.ink/api.php?id=fhhk
NOW新闻,http://bxtv.3a.ink/api.php?id=now
緯來體育,http://bxtv.3a.ink/api.php?id=wlty
中天新聞台,http://bxtv.3a.ink/api.php?id=ztxw
中天亞洲台,http://bxtv.3a.ink/api.php?id=ztyz
台視,http://bxtv.3a.ink/api.php?id=taishi
台視新聞台,http://bxtv.3a.ink/api.php?id=tsxw
中視,http://bxtv.3a.ink/api.php?id=zhongshi
中視新聞台,http://bxtv.3a.ink/api.php?id=zsxw
民視,http://bxtv.3a.ink/api.php?id=minshi
民視新聞台,http://bxtv.3a.ink/api.php?id=msxw
民視台灣台,http://bxtv.3a.ink/api.php?id=mstw
華視,http://bxtv.3a.ink/api.php?id=huashi
八大第一,http://bxtv.3a.ink/api.php?id=bddy
八大綜合,http://bxtv.3a.ink/api.php?id=bdzh
HBO,http://bxtv.3a.ink/api.php?id=hbo
寰宇新聞台,http://bxtv.3a.ink/api.php?id=hyxw
緯來電影,http://bxtv.3a.ink/api.php?id=wldy
東森電影,http://bxtv.3a.ink/api.php?id=dsdy
東森幼幼,http://bxtv.3a.ink/api.php?id=dsyy
台灣美亞電影,http://bxtv.3a.ink/api.php?id=twmeiya
TVBS,http://bxtv.3a.ink/api.php?id=tvbs
广东体育,http://bxtv.3a.ink/api.php?id=gdty
广东珠江,http://bxtv.3a.ink/api.php?id=gdzj
港弯台,#genre#
Now爆谷,http://push-rtmp-hs-spe-f5.douyincdn.com/live/xiangjiaoge1116163133.flv
Now星影,http://push-rtmp-hs-spe-f5.douyincdn.com/live/xiangjiaoge1f3s131fs3f1.flv
中天娱乐,http://push-rtmp-hs-spe-f5.douyincdn.com/live/167ztyl.flv
中天闻,http://push-rtmp-hs-spe-f5.douyincdn.com/live/167ztyz.flv
中天亚洲,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_ztyz.flv
中天综合,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_ztzh.flv
中天闻1,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_ztxw1.flv
翡翠台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_jade.flv
无线新闻,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_wxxw.flv
明珠台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_mz.flv
viuTV,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_viu.flv
viuTV6,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_viutv6.flv
tvbplus,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_j2.flv
