✈️TG频道@stymei1,#genre#
更新时间2025.8.7,https://alimov2.a.kwimgs.com/upic/2025/07/20/17/BMjAyNTA3MjAxNzQyNTNfNDI0MDI5NTBfMTY5OTk4NzA2MTAxXzFfMw==_b_Bd8e9829f65ea4b8962c69f768c0c35c3.mp4
TG频道@stymei1,https://alimov2.a.kwimgs.com/upic/2025/07/20/17/BMjAyNTA3MjAxNzQyNTNfNDI0MDI5NTBfMTY5OTk4NzA2MTAxXzFfMw==_b_Bd8e9829f65ea4b8962c69f768c0c35c3.mp4
https://t.me/stymei1,https://alimov2.a.kwimgs.com/upic/2025/07/20/17/BMjAyNTA3MjAxNzQyNTNfNDI0MDI5NTBfMTY5OTk4NzA2MTAxXzFfMw==_b_Bd8e9829f65ea4b8962c69f768c0c35c3.mp4



央视直播,#genre#
CCTV1,http://111.29.9.35:6610/000000001000/1000000001000018602/index.m3u8?channel-id=ystenlive&Contentid=1000000001000018602&livemode=1&stbId=3
CCTV1,http://p.ytelc.com/169l/_jy/mg25.php?id=cctv1
CCTV2,http://111.29.9.34:6610/000000001000/1000000001000012442/index.m3u8?channel-id=ystenlive&Contentid=1000000001000012442&livemode=1&stbId=3
CCTV2,http://p.ytelc.com/169l/_jy/mg25.php?id=cctv2
CCTV3,http://111.29.9.38:6610/000000001000/1000000001000011218/index.m3u8?channel-id=ystenlive&Contentid=1000000001000011218&livemode=1&stbId=3
CCTV3,http://148.135.93.213/live.php?id=CCTV3
CCTV3,http://p.ytelc.com/169l/_jy/mg25.php?id=cctv3
CCTV4,http://111.29.9.40:6610/000000001000/5000000005000030093/index.m3u8?channel-id=bestzb&Contentid=5000000005000030093&livemode=1&stbId=3
CCTV4,http://148.135.93.213/live.php?id=CCTV4
CCTV4,https://smart.pendy.dpdns.org/Smart.php?id=cctv4
CCTV4,http://p.ytelc.com/169l/_jy/mg25.php?id=cctv4
CCTV5,http://p.ytelc.com/169l/_jy/mg25.php?id=cctv5
CCTV5+,http://xg.52sw.top/play/kzb/play.php?id=cctv5p
CCTV5+,http://148.135.93.213/live.php?id=CCTV5p
CCTV6,http://p.ytelc.com/169l/_jy/mg25.php?id=cctv6
CCTV7,http://148.135.93.213/live.php?id=CCTV7
CCTV7,http://8.138.7.223/tv/cctv7.m3u8
CCTV7,http://live.junhao.mil.cn/rmt9502/3e6e7c5477314ec38f5e58e2a5c70024.m3u8?txSecret=57978fafb9c19880afa5c8687e8241d8&txTime=7A42BAFF
CCTV7,http://111.29.9.40:6610/000000001000/1000000001000017218/index.m3u8?channel-id=ystenlive&Contentid=1000000001000017218&livemode=1&stbId=3
CCTV7,http://p.ytelc.com/169l/_jy/mg25.php?id=cctv7
CCTV8,http://p.ytelc.com/169l/_jy/mg25.php?id=cctv8
CCTV9,http://148.135.93.213/live.php?id=CCTV9
CCTV9,http://111.43.126.240:9003/hls/22/index.m3u8
CCTV9,http://111.29.9.33:6610/000000001000/1000000001000028286/index.m3u8?channel-id=ystenlive&Contentid=1000000001000028286&livemode=1&stbId=3
CCTV9,http://p.ytelc.com/169l/_jy/mg25.php?id=cctv9
CCTV10,http://111.29.9.38:6610/000000001000/1000000001000023734/index.m3u8?channel-id=ystenlive&Contentid=1000000001000023734&livemode=1&stbId=3
CCTV10,http://p.ytelc.com/169l/_jy/mg25.php?id=cctv10
CCTV11,http://148.135.93.213/live.php?id=CCTV11
CCTV11,http://111.43.126.240:9003/hls/24/index.m3u8
CCTV11,http://111.29.9.37:6610/000000001000/1000000002000019789/index.m3u8?stbId=3&livemode=1&IASHttpSessionId=OTT
CCTV12,http://111.29.9.39:6610/000000001000/1000000001000032494/index.m3u8?channel-id=ystenlive&Contentid=1000000001000032494&livemode=1&stbId=3
CCTV13,http://148.135.93.213/live.php?id=CCTV13
CCTV13,http://111.43.126.240:9003/hls/26/index.m3u8
CCTV13,http://111.29.9.35:6610/000000001000/1000000002000021303/index.m3u8?channel-id=ystenlive&Contentid=1000000002000021303&livemode=1&stbId=3
CCTV13,http://p.ytelc.com/169l/_jy/mg25.php?id=cctv13
CCTV14,http://111.43.126.240:9003/hls/27/index.m3u8
CCTV14,http://111.29.9.36:6610/000000001000/5000000004000006673/index.m3u8?channel-id=bestzb&Contentid=5000000004000006673&livemode=1&stbId=3
CCTV14,http://p.ytelc.com/169l/_jy/mg25.php?id=cctv14
CCTV15,http://148.135.93.213/live.php?id=CCTV15
CCTV15,http://111.29.9.36:6610/000000001000/1000000002000008163/index.m3u8?channel-id=ystenlive&Contentid=1000000002000008163&livemode=1&stbId=3
CCTV15,http://111.43.126.240:9003/hls/28/index.m3u8
CCTV15,http://p.ytelc.com/169l/_jy/mg25.php?id=cctv15
CCTV16,http://111.43.126.240:9003/hls/29/index.m3u8
CCTV17,http://111.43.126.240:9003/hls/30/index.m3u8
CCTV兵器科技,http://www.lizhinas.top:1009/rtp/239.252.219.98:5140
CCTV世界地理,http://www.lizhinas.top:1009/rtp/239.252.219.93:5140
CCTV世界地理,http://111.61.236.247:9081/hls/62/index.m3u8
CCTV风云足球,http://3501776.xyz:35455/gaoma/cctv8k_36m.m3u8
CCTV风云足球,http://111.61.236.247:9081/hls/58/index.m3u8
CCTV风云足球,https://epg.pw/stream/ac8062ec9484078061d3bef507c15a423ac57ae4144e3fcc4b0a198dd420f911.m3u8
CCTV风云音乐,http://www.lizhinas.top:1009/rtp/239.252.219.87:5140
CCTV风云剧场,http://www.lizhinas.top:1009/rtp/239.252.219.89:5140
CCTV第一剧场,http://www.lizhinas.top:1009/rtp/239.252.219.86:5140
CCTV怀旧剧场,http://www.lizhinas.top:1009/rtp/239.252.219.86:5140
CCTV央视文化精品,http://www.lizhinas.top:1009/rtp/239.252.219.81:5140
CCTV女性时尚,http://www.lizhinas.top:1009/rtp/239.252.219.94:5140
CCTV女性时尚,http://111.61.236.247:9081/hls/59/index.m3u8
CCTV央视台球,http://www.lizhinas.top:1009/rtp/239.252.219.80:5140
CCTV高尔夫·网球,http://www.lizhinas.top:1009/rtp/239.252.219.95:5140
CCTV电视指南,http://www.lizhinas.top:1009/rtp/239.252.219.97:5140
CGTN,https://0472.org/hls/cgtn.m3u8
CGTN,https://news.cgtn.com/resource/live/english/cgtn-news.m3u8
