香港频道,#genre#
翡翠台,https://live.catvod.com/smart.php?id=jade_twn
翡翠台 backup,https://live.catvod.com/smart.php?id=Jade_xue
iNews 新闻台,https://live.catvod.com/smart.php?id=inews_twn
J 2,https://live.catvod.com/smart.php?id=j2_twn
珍珠台,https://live.catvod.com/smart.php?id=pearl_twn
凤凰香港,https://live.catvod.com/smart.php?id=hkphoenix_twn
HOY资讯台,https://live.catvod.com/smart.php?id=hoycaijing_twn
RHK 31,https://live.catvod.com/smart.php?id=rhk31_twn
VIUTV1,https://live.catvod.com/smart.php?id=viu1_twn
RHK 32,https://live.catvod.com/smart.php?id=rhk32_twn
凤凰卫视,https://live.catvod.com/smart.php?id=phoenixtv_hd
凤凰资讯,https://live.catvod.com/smart.php?id=phoenixinfo_hd
Viu6,https://live.catvod.com/smart.php?id=viusix_twn

央视频道,#genre#
CCTV-1 综合 HD,https://live.catvod.com/smart.php?id=cctv1
CCTV-2 财经,https://live.catvod.com/smart.php?id=cctv2
CCTV-3 综艺 HD,https://live.catvod.com/smart.php?id=cctv3
CCTV-4 中文国际,https://live.catvod.com/smart.php?id=cctv4
CCTV4 新闻台,https://live.catvod.com/smart.php?id=Cctv4
CCTV-5 体育频道,https://live.catvod.com/smart.php?id=cctv5
CCTV-5+ 体育赛事 HD,https://live.catvod.com/smart.php?id=cctv5plus
CCTV-6,https://live.catvod.com/smart.php?id=cctv6
CCTV-7 军事农业,https://live.catvod.com/smart.php?id=cctv7
CCTV-8 电视剧 HD,https://live.catvod.com/smart.php?id=cctv8hd
CCTV-9 记录 HD,https://live.catvod.com/smart.php?id=cctv9hd
CCTV-10 科教 HD,https://live.catvod.com/smart.php?id=cctv10hd
CCTV-11 戏曲,https://live.catvod.com/smart.php?id=cctv11
CCTV-12 社会与法,https://live.catvod.com/smart.php?id=cctv12
CCTV-13 新闻频道,https://live.catvod.com/smart.php?id=cctv13
CCTV-14 少儿,https://live.catvod.com/smart.php?id=cctv14
CCTV-15 音乐,https://live.catvod.com/smart.php?id=cctv15

卫视频道,#genre#
湖南卫视,https://live.catvod.com/smart.php?id=hunan_twn
浙江卫视,https://live.catvod.com/smart.php?id=zhejiang_twn
江苏卫视,https://live.catvod.com/smart.php?id=jiangsu_twn
深圳卫视,https://live.catvod.com/smart.php?id=shenzhen
福建东南卫视,https://live.catvod.com/smart.php?id=fujian
广东南方卫视,https://live.catvod.com/smart.php?id=nanfang_twn
广东卫视,https://live.catvod.com/smart.php?id=guangdongweishi_twn
北京卫视,https://live.catvod.com/smart.php?id=beijing
珠江台,https://live.catvod.com/smart.php?id=zhujiang
广西卫视,https://live.catvod.com/smart.php?id=guangxi
湖北卫视,https://live.catvod.com/smart.php?id=hubei
四川卫视,https://live.catvod.com/smart.php?id=sichuan_twn
东方卫视,https://live.catvod.com/smart.php?id=dongfangweishi_twn
CGTN,https://live.catvod.com/smart.php?id=CGTN

体育频道,#genre#
Astro Premier League 1,https://live.catvod.com/smart.php?id=go_assp1
Astro EPL 1 backup,https://live.catvod.com/smart.php?id=go_assp1x
Astro Premier League 2,https://live.catvod.com/smart.php?id=go_assp2
Astro Grandstand,https://live.catvod.com/smart.php?id=go_assp3
Astro Football,https://live.catvod.com/smart.php?id=go_assp4
Astro Sports Plus,https://live.catvod.com/smart.php?id=go_sportsplus
Astro Badminton 1,https://live.catvod.com/smart.php?id=go_badminton1
Astro Badminton 2,https://live.catvod.com/smart.php?id=go_badminton2
Astro W-Sports,https://live.catvod.com/smart.php?id=go_assp5
Supersports 1,https://live.catvod.com/smart.php?id=Assp1
Supersports 2,https://live.catvod.com/smart.php?id=Assp2
Supersports 3,https://live.catvod.com/smart.php?id=Assp3
Supersports 4,https://live.catvod.com/smart.php?id=Assp4
WWE,https://live.catvod.com/smart.php?id=Wwe
Fight Sports,https://live.catvod.com/smart.php?id=Fs
NBA TV,https://live.catvod.com/smart.php?id=Nba
Astro Cricket,https://live.catvod.com/smart.php?id=Acricket
Astro Golf,https://live.catvod.com/smart.php?id=Agolf
Tnt Sports 1,https://live.catvod.com/smart.php?id=6fac0aaead
TNT Sports 2,https://live.catvod.com/smart.php?id=d9a76a79cc
TNT Sports 3,https://live.catvod.com/smart.php?id=5fea4d73db
TNT Sports 4,https://live.catvod.com/smart.php?id=tntsport4
Sony Ten 1,https://live.catvod.com/smart.php?id=ten1_raj
Sony Ten 2,https://live.catvod.com/smart.php?id=ten2_raj
Sony Ten 3,https://live.catvod.com/smart.php?id=ten3_raj
SPOTV 1 HD,https://live.catvod.com/smart.php?id=go_spotv
SPO TV 2,https://live.catvod.com/smart.php?id=go_spotv2
Skysports F1,https://live.catvod.com/smart.php?id=tiankongf1
Skysports Cricket,https://live.catvod.com/smart.php?id=tiankongcricket
Skysports EPL,https://live.catvod.com/smart.php?id=tiankongepl
Skysports Main Event,https://live.catvod.com/smart.php?id=tiankongmain
Skysports News,https://live.catvod.com/smart.php?id=tiankongnews
Skysports Mix,https://live.catvod.com/smart.php?id=tiankongmix
爱尔达体育2台,https://live.catvod.com/smart.php?id=eltasport2_twn
爱尔达体育3台,https://live.catvod.com/smart.php?id=eltasport3_twn
Rugby Pass TV,https://live.catvod.com/smart.php?id=Rugbypasstv
RTM Sports HD,https://live.catvod.com/smart.php?id=Rtmsport
Arena,https://live.catvod.com/smart.php?id=Arena
Arena 2,https://live.catvod.com/smart.php?id=Arena2
BolaArena 1,https://live.catvod.com/smart.php?id=Bolaarena1
BolaArena 2,https://live.catvod.com/smart.php?id=Bolaarena2
Astro Beinsports 1,https://live.catvod.com/smart.php?id=Astrobein1
Astro Beinsports 2,https://live.catvod.com/smart.php?id=Astrobein2
Astro Beinsports 3,https://live.catvod.com/smart.php?id=Astrobein3

台湾频道,#genre#
TVBS News 新闻台,https://live.catvod.com/smart.php?id=tvbs_n
TVBS 欢乐台 （备份）,https://live.catvod.com/smart.php?id=tvbshuanle_twn
TVBS HD,https://live.catvod.com/smart.php?id=tvbs
