
37,#genre#
梨园,http://live.dxhmt.cn:9081/tv/11122-1.m3u8

61,#genre#
SET三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
番薯111,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
生命电视,http://61.216.67.119:1935/lifetv/lifetv.stream/manifest.m3u8
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8
番薯音乐,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
音乐欣赏1,http://61.221.215.25:8800/hls/49/index.m3u8
有线新闻,http://cm61-10-2-143.hkcable.com.hk/live_freedirect/freehd209_h.live/chunklist_w1949275579.m3u8
迪拜体育2,http://svs.itworkscdn.net/smc4sportslive/smc4.smil/playlist.m3u8
Red BullTV,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_6660.m3u8

122电信,#genre#
星空卫视,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
GOODTV好消息,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch1-2.m3u8
GOOD2TV,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch2-2.m3u8

港澳台php,#genre#
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw2
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk2
Plus综合频高,http://php.jdshipin.com/PLTV/iptv.php?id=tvbp
凤凰中文频高,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯频高,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰香港频高,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
有线综合频粤,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv2
有线综合频国,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
无线新闻频高,http://php.jdshipin.com/smt.php?id=inews_twn
无线翡翠频4k,http://php.jdshipin.com/TVOD/iptv.php?id=fct4
无线翡翠频高,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
无线翡翠频高,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
无线翡翠频标,http://php.jdshipin.com/smt.php?id=jade_twn
无线华丽频标,http://php.jdshipin.com/smt.php?id=Tvbjade
无线千禧频标,http://php.jdshipin.com/smt.php?id=Tvbclassic
天映频道频标,http://php.jdshipin.com/smt.php?id=Celestial
无线明珠粤高,http://php.jdshipin.com/TVOD/iptv.php?id=mzt2
无线明珠英标,http://php.jdshipin.com/TVOD/iptv.php?id=mzt
无线娱乐频标,http://php.jdshipin.com/smt.php?id=Tvbentertainment
美亚电影频高,http://php.jdshipin.com/TVOD/iptv.php?id=meiya
重温经典频高,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
澳视澳门频高,http://php.jdshipin.com/TVOD/iptv.php?id=asam
澳视卫星频高,http://php.jdshipin.com/TVOD/iptv.php?id=as
VIUTV粤频标,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
RTHK-31频高,http://php.jdshipin.com/TVOD/iptv.php?id=rthk31
无线新闻,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxw
无线新闻.备用,http://php.jdshipin.com/TVOD/iptv.php?id=wxxwt
无线新闻高特,http://php.jdshipin.com:8880/smt.php?id=inews_twn
无线翡翠斯特,http://php.jdshipin.com:8880/smt.php?id=jade_twn
千禧经典斯特,http://php.jdshipin.com:8880/smt.php?id=Tvbclassic
VIUTV英斯特,http://php.jdshipin.com:8880/smt.php?id=viusix_twn
美亚电影斯特,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
天映频道闽特,http://php.jdshipin.com:8880/smt.php?id=Celestial
Astr爱奇斯特,http://php.jdshipin.com:8880/smt.php?id=Qiyi
翡翠台北美版(TVB J1),http://php.jdshipin.com/TVOD/iptv.php?id=j1
TVB J1,http://php.jdshipin.com/TVOD/iptv.php?id=tvbj1
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=j2
无线翡翠频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
千禧经典频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbc
TVBJ1美频标,http://php.jdshipin.com/PLTV/iptv.php?id=tvbj1
凤凰中文频高,http://php.jdshipin.com/PLTV/iptv.php?id=fhzw
凤凰资讯频高,http://php.jdshipin.com/PLTV/iptv.php?id=fhzx
有线综合粤高,http://php.jdshipin.com/PLTV/iptv.php?id=hoytv2
有线综合国高,http://php.jdshipin.com/PLTV/iptv.php?id=hoytv
无线翡翠频高,http://php.jdshipin.com/PLTV/iptv.php?id=fct3
无线翡翠频高,http://php.jdshipin.com/PLTV/iptv.php?id=fct2
无线明珠粤高,http://php.jdshipin.com/PLTV/iptv.php?id=mzt2
无线明珠频标,http://php.jdshipin.com/PLTV/iptv.php?id=mzt
RTHK-31频高,http://php.jdshipin.com/PLTV/iptv.php?id=rthk31
澳门Mac频高,http://php.jdshipin.com/PLTV/iptv.php?id=as
澳视澳门频高,http://php.jdshipin.com/PLTV/iptv.php?id=asam
凤凰中文,http://php.jdshipin.com:8880/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com:8880/iptv.php?id=fhzx
凤凰香港,http://php.jdshipin.com:8880/iptv.php?id=fhhk
凤凰中文,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
凤凰香港,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk
TVB Plus,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbp
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct2
有线综合台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hoytv
RTHK-32频高,http://php.jdshipin.com/TVOD/iptv.php?id=rthk32
astro-QJ-频高,http://php.jdshipin.com/smt.php?id=Quanjia
astroAec频高,http://php.jdshipin.com/smt.php?id=AEC
TVBJ1美频高,http://php.jdshipin.com/PLTV/iptv.php?id=j1
凤凰香港频高,http://php.jdshipin.com/PLTV/iptv.php?id=fhhk
凤凰资讯斯特,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
无线娱乐斯特,http://php.jdshipin.com:8880/smt.php?id=Tvbentertainment
翡翠台,http://php.jdshipin.com:8880/iptv.php?id=fct2
翡翠台,http://php.jdshipin.com:8880/iptv.php?id=fct3
重温经典,http://php.jdshipin.com:8880/iptv.php?id=cwjd
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv2
TVB 星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe
华丽台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=huali
美亚电影,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
华丽翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=huali
