https://freetv.fun/test_channels_hong_kong_new.txt
#This file is automatically generated by https://freetv.fun and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


綜藝,#genre#
C+頻道,https://stream1.freetv.fun/mei-ya-c-plus-1.m3u8
C+頻道,https://stream1.freetv.fun/mech-plus-1.m3u8
C+頻道,https://stream1.freetv.fun/icc-plus-1.m3u8
C+頻道,https://stream1.freetv.fun/c-plus-3.m3u8
C+頻道,https://stream1.freetv.fun/xiang-gang-c-plus-1.m3u8
KIX[HK][geo-blocked],https://stream1.freetv.fun/kix--e-1.ctv
RTHK31,https://stream1.freetv.fun/rthk31-5.m3u8
RTHK31[geo-blocked],https://stream1.freetv.fun/rhk-31-1.ctv
RTHK31,https://stream1.freetv.fun/rthk31--r-1.m3u8
RTHK31,https://stream1.freetv.fun/rthk31--r-2.m3u8
TVB Plus,https://stream1.freetv.fun/atv-plus-1.m3u8
TVB Plus,https://stream1.freetv.fun/tvb-plus-9.ctv
TVB Plus,https://stream1.freetv.fun/ntv-plus-1.m3u8
TVB Plus[geo-blocked],https://stream1.freetv.fun/etv-plus-1.m3u8
TVB Plus,https://stream1.freetv.fun/tvb-plus-6.ctv
