http://be.is-best.net/i/8/5611948.txt
IPTV上海,#genre#
新闻综合,http://114.95.208.163:8888/udp/239.45.3.209:5140
东方卫视,http://114.95.208.163:8888/udp/239.45.3.146:5140
东方卫视,http://114.95.208.163:8888/udp/239.45.3.61:5140
东方卫视,http://114.95.208.163:8888/udp/239.45.1.127:5140
都市频道,http://114.95.208.163:8888/udp/239.45.3.236:5140
生活时尚,http://114.95.208.163:8888/udp/239.45.3.132:5140
五星体育,http://114.95.208.163:8888/udp/239.45.3.210:5140
都市剧场,http://114.95.208.163:8888/udp/239.45.3.136:5140
欢笑剧场,http://114.95.208.163:8888/udp/239.45.1.4:5140
欢笑剧场,http://114.95.208.163:8888/udp/239.45.3.196:5140
未知频道,http://114.95.208.163:8888/udp/239.45.1.22:5140
东方影视,http://114.95.208.163:8888/udp/239.45.3.237:5140
纪实人文,http://114.95.208.163:8888/udp/239.45.3.212:5140
金鹰纪实,http://114.95.208.163:8888/udp/239.45.1.45:5140
纪实科教,http://114.95.208.163:8888/udp/239.45.1.14:5140
乐游,http://114.95.208.163:8888/udp/239.45.3.135:5140
乐游,http://114.95.208.163:8888/udp/239.45.0.16:5140
第一财经,http://114.95.208.163:8888/udp/239.45.3.211:5140
东方财经,http://114.95.208.163:8888/udp/239.45.0.17:5140
法制天地,http://114.95.208.163:8888/udp/239.45.1.46:5140
上海教育,http://114.95.208.163:8888/udp/239.45.0.13:5140
茶频道,http://114.95.208.163:8888/udp/239.45.3.18:5140
快乐垂钓,http://114.95.208.163:8888/udp/239.45.3.12:5140
快乐垂钓,http://114.95.208.163:8888/udp/239.45.3.215:5140
游戏风云,http://114.95.208.163:8888/udp/239.45.3.131:5140
金鹰卡通,http://114.95.208.163:8888/udp/239.45.0.38:5140
金鹰卡通,http://114.95.208.163:8888/udp/239.45.3.233:5140
哈哈炫动,http://114.95.208.163:8888/udp/239.45.1.55:5140
动漫秀场,http://114.95.208.163:8888/udp/239.45.3.134:5140
