http://txt.kesug.com/users/HKTV.txt
HKTV,#genre#
美亚电影(台),http://pullsstx.peiyou.eaydu.com/live/hktv-mydy018.flv
龙祥电影(台),http://pullsstx.peiyou.eaydu.com/live/hktv-lstitw.flv
中天新闻,http://pullsstx.peiyou.eaydu.com/live/hktv-twztxwt018.flv
TVBSHD,http://pullsstx.peiyou.eaydu.com/live/hktv-twtvbst018.flv龙祥电影(粤),http://pullsstx.peiyou.eaydu.com/live/hktv-lstith.flv
Now爆谷台,http://pullsstx.peiyou.eaydu.com/live/hktv-nowbgt20250825.flv
Now星影台,http://pullsstx.peiyou.eaydu.com/live/hktv-nowxyt20250825.flv 


TVBPlus,http://pullsstx.peiyou.eaydu.com/live/O5YSEcBsq1SnvaRJZdrf2uC7Ub3lAtYhmtOhbZFhdCdSpkHMDe.flv
POPC,http://j.s.bkpcp.top/js/popc
POPC,http://live.urren.net/live/3bb073d8b5eb524a4148d8213a889c28.flv
POPC,https://fr-us7.jdiptv.cc/live/popc.m3u8
POPC,http://tl.061833.xyz/tl/popc
CM+,http://pullsstx.peiyou.eaydu.com/live/AIEsDlzGuBqUcVt1MbzxzddBzrxoP8pNBiNUgdbrfoYo5obb5B.flv
CM+,http://j.s.bkpcp.top/js/cmp
Now爆谷台,http://pullsstx.peiyou.eaydu.com/live/vhNli7a2uwqrSArlhBpDjs0wvaRJZVLkMnb9OJ2Hzj14qlP0TO.flv
Now爆谷台,http://j.s.bkpcp.top/js/nowbgt
Now星影台,http://pullsstx.peiyou.eaydu.com/live/eZ15T2tea8ztrRlszHaTVfz0EB9nqz8GhiBZHNyMW0vaRJZRZt.flv
Now星影台,http://j.s.bkpcp.top/js/nowxyt
中天新闻,http://pullsstx.peiyou.eaydu.com/live/KNxo2R9Kd0QWdsDuYnX84iZanamxeIGuZ1rGHgVlSPqkHm8y1E.flv
中天新闻,http://t.061899.xyz/tl/js/js.php?id=ztxwt
中天新闻,https://smart.pendy.dpdns.org/Smart.php?id=ctinews
中天新闻,http://5.44.249.130:5002/ts/8i2mwhruaecye9fa.ts
有线新闻台,http://t.061899.xyz/tl/js/js.php?id=xgyxxwt
有线新闻台,http://j.s.bkpcp.top/jj/hoy78
有线新闻台,https://smart.pendy.dpdns.org/Smart.php?id=hoycaijing_twn
有线新闻台,http://api.mg.itv888.cn:8080/hls/5e12ccd9191/index.m3u8
无线新闻台,http://pullsstx.peiyou.eaydu.com/live/iUJnBYKU9riuj2Jlibsdwb5m69FKfovaRJZgNC09xXfFvAn4GP.flv
无线新闻台,http://j.s.bkpcp.top/js/wxxw
无线新闻台,http://erp.giihgtidg.com:8080/live/wxxw01.m3u8
无线新闻台,https://edge.163189.xyz/163189/wxxw
Now新闻台,http://pullsstx.peiyou.eaydu.com/live/jZZ2hCFnEcClg2McuImLPcRzvaRJZaXDBKtltuWtYkNUFb7FPU.flv
Now新闻台,http://t.061899.xyz/tl/js/js.php?id=nowxwt
Now新闻台,http://cdn.163189.xyz/163189/now
Now华剧台,http://j.s.bkpcp.top/js/nowhjt1
Now剧集台,http://j.s.bkpcp.top/js/nowjjt
Now紫金国际,http://j.s.bkpcp.top/js/nowzjt
凤凰中文,http://j.s.bkpcp.top/js/fhzw
凤凰资讯,http://j.s.bkpcp.top/js/fhzx
凤凰香港,http://j.s.bkpcp.top/js/fhxg
无线翡翠,http://j.s.bkpcp.top/js/fct
无线翡翠,http://erp.giihgtidg.com:8080/live/jade01.m3u8
TVB生活台,http://j.s.bkpcp.top/js/tvbsht
无线星河,http://j.s.bkpcp.top/js/tvbxhpdg
无线星河,http://j.s.bkpcp.top/js/tvbxhpdy
无线星河,http://php.jdshipin.com/PLTV/iptv.php?id=xinghe
无线功夫,http://j.s.bkpcp.top/js/tvbgftg
无线功夫,http://j.s.bkpcp.top/js/tvbgfty
无线功夫,http://php.jdshipin.com/PLTV/iptv.php?id=yzwx
无线奖门人,http://pullsstx.peiyou.eaydu.com/live/3UgJSu0qpO6Lo4NDZTH6fZd4REiczddBzCOyWGz4dpo1TK5hoA.flv
无线-EYT,http://pullsstx.peiyou.eaydu.com/live/1TeWk9KiVaaCQIz0hyRbOypfYVeb9ymzddBzdn90w5xh8qk5Ei.flv
无线识食,http://pullsstx.peiyou.eaydu.com/live/ACED2KZMC1lQgbghCsizDNVhe2Y4JROw2sG4WddZsHeTzddBzw.flv
无线识叹,http://pullsstx.peiyou.eaydu.com/live/mfz6fBy5UBhh0Uw5w0pWpqBhzrSzddBznguz5Sl5MHZK5F7ilq.flv
无线金曲,http://pullsstx.peiyou.eaydu.com/live/JlVEmKxG9rR54EfzddBznwi2WW70HnV4HvczgYhSJ0qeoid9mu.flv
无线音乐,http://pullsstx.peiyou.eaydu.com/live/ZltDbv7suUwAznlrhXPzddBz1b34tIL22oomdt27JorDvZsrrN.flv
无线剧场,http://pullsstx.peiyou.eaydu.com/live/nn60fVVsEbF70onnNGeiMtQQWf4ie6atFgO1eCrzddBzyUoZMm.flv
无线煲剧,http://pullsstx.peiyou.eaydu.com/live/9PYK9r6gjk2oWazX5k8p6dTBwLBZqql5zddBzPHQ64LFHJommd.flv
无线话当年,http://pullsstx.peiyou.eaydu.com/live/9oOHRszddBzPOlMPza48dWVlh8rAF2kW7EpBvDl5CcgSQ4MNnU.flv
无线体育,http://pullsstx.peiyou.eaydu.com/live/lYgMKxc3137XSzLayPrZBD0vNzddBzw2gNtzQPJ6jZcQCJVSup.flv
天映频道,https://smart.pendy.dpdns.org/Smart.php?id=ctv18_twn
美亚电影,http://j.s.bkpcp.top/js/enmydy
美亚电影,https://fr-us7.jdiptv.cc/live/xgmydygy.m3u8
龙祥电影,http://j.s.bkpcp.top/jj/lxsd
龙祥电影,http://pullsstx.peiyou.eaydu.com/live/hktv-lstith.flv
HBO电影,http://j.s.bkpcp.top/jj/hbo
好莱电影,http://j.s.bkpcp.top/jj/hlwdyt
动作电影,http://m.061899.xyz/mg/dzdy
动作电影,http://eastscreen.tv/ooooo.php?id=chcdz
家庭影院,http://m.061899.xyz/mg/jtyy
家庭影院,http://eastscreen.tv/ooooo.php?id=chcjt
影迷电影,http://m.061899.xyz/mg/ymdy
影迷电影,http://eastscreen.tv/ooooo.php?id=chchd
凤凰电影,http://iot-mqqt.111yao.cn:8080/live/diyp_fhdy.m3u8
星空电影,http://iot-mqqt.111yao.cn:8080/live/diyp_starmovies.m3u8
星空音乐,http://iot-mqqt.111yao.cn:8080/live/diyp_channelv.m3u8
星空卫视,http://iot-mqqt.111yao.cn:8080/live/diyp_xingkong.m3u8
唐人街,https://ntd02.akamaized.net/HD-NY/tracks-v3a1/mono.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
私人影院,P2p://starvod.xyz:19806/74567d46c9a54cb8aab7bb35b7446cf2.ts
私人影院,http://play-aliyun.zego.im/live/2225ce86b84a0eb4a24f4fbeb74a00ba.flv


翡翠台,https://o11.163189.xyz/stream/tvb/fct/
明珠台,https://o11.163189.xyz/stream/tvb/mzt/
TVB PLUS,https://o11.163189.xyz/stream/tvb/tvbp/
黄金华剧台,https://o11.163189.xyz/stream/tvb/hjhjt/


TVBPlus,http://php.jdshipin.com/PLTV/iptv.php?id=tvbp
Plus,http://php.jdshipin.com/PLTV/iptv.php?id=j2
TVBJ1,http://php.jdshipin.com/PLTV/iptv.php?id=j1
TVBJ1,http://php.jdshipin.com/PLTV/iptv.php?id=tvbj1
凤凰中文,http://php.jdshipin.com/PLTV/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/PLTV/iptv.php?id=fhzx
凤凰香港,http://php.jdshipin.com/PLTV/iptv.php?id=fhhk
有线综合粤,http://php.jdshipin.com/PLTV/iptv.php?id=hoytv2
有线综合国,http://php.jdshipin.com/PLTV/iptv.php?id=hoytv
无线新闻,http://php.jdshipin.com/PLTV/iptv.php?id=wxxwt
翡翠4k,http://php.jdshipin.com/PLTV/iptv.php?id=fct4
无线翡翠,http://php.jdshipin.com/PLTV/iptv.php?id=fct3
无线翡翠,http://php.jdshipin.com/PLTV/iptv.php?id=fct2
无线翡翠,http://php.jdshipin.com/PLTV/iptv.php?id=fct
无线华丽,http://php.jdshipin.com/PLTV/iptv.php?id=huali
无线明珠,http://php.jdshipin.com/PLTV/iptv.php?id=mzt2
无线明珠,http://php.jdshipin.com/PLTV/iptv.php?id=mzt
无线娱乐,http://php.jdshipin.com/PLTV/iptv.php?id=tvbylxw
无线星河,http://php.jdshipin.com/PLTV/iptv.php?id=tvbxh
无线星河,http://php.jdshipin.com/PLTV/iptv.php?id=xinghe
无线功夫,http://php.jdshipin.com/PLTV/iptv.php?id=yzwx
无线千禧,http://php.jdshipin.com/PLTV/iptv.php?id=tvbc
美亚电影,http://php.jdshipin.com/PLTV/iptv.php?id=meiya
VIUTV粤,http://php.jdshipin.com/PLTV/iptv.php?id=viutv2
RTHK31,http://php.jdshipin.com/PLTV/iptv.php?id=rthk31
RTHK32,http://php.jdshipin.com/PLTV/iptv.php?id=rthk32
AstroRio,http://php.jdshipin.com/PLTV/iptv.php?id=aod
澳门Mac,http://php.jdshipin.com/PLTV/iptv.php?id=as
澳视澳门,http://php.jdshipin.com/PLTV/iptv.php?id=asam
重温经典,http://php.jdshipin.com/PLTV/iptv.php?id=cwjd
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
凤凰中文,http://php.jdshipin.com:8880/iptv.php?id=fhzw
凤凰中文,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
