http://tv.l5.ca/i/?T=强哥直播
💝强哥流行歌曲,#genre#
请你欣赏,http://txmov2.a.kwimgs.com/upic/2023/05/22/22/BMjAyMzA1MjIyMjMxNDlfMTcwNTk5OTU1MF8xMDM3MzY2Njc2MjVfMF8z_b_Bfe2fa462e55bfe17f2727739cb9d2628.mp4?tag=1-1699376203-std-1-hky8soz9pr-d1655d0a360858ee&clientCacheKey=3x79j8eqgecq6aq_b.mp4&tt=b&di=529d11df&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
私房写真,https://luong.utako.moe/pigoo/index.m3u8
法国时尚,https://fashs043.cloudycdn.services/scte/africa/playlist.m3u8
法国时尚4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
纯音乐,https://txmov2.a.kwimgs.com/upic/2024/04/03/00/BMjAyNDA0MDMwMDE0MjRfMTE1OTE4MDcwOV8xMjg4NDQ3NzY0MjRfMl8z_b_Bf84874748cbf99de029e403a4a8dacad.mp4?tag=1-1713156985-std-1-9xfggyqevt-668681c55e3dbd4a&clientCacheKey=3xp35ta6xk8qa72_b.mp4&tt=b&di=529d11df&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
埋在心底的爱,https://st.pgdjz.fun/%2Fzwmtv%2F2024%2F%E4%BD%95%E6%AC%A2%E6%B5%AA%20-%20%E5%9F%8B%E5%9C%A8%E5%BF%83%E5%BA%95%E7%9A%84%E7%88%B1%EF%BC%88%E8%BD%A6%E8%BD%BDMV%E6%AD%8C%E6%9B%B2%E8%A7%86%E9%A2%91%EF%BC%89.mp4
爱情着了火dj,https://txmov2.a.kwimgs.com/upic/2023/09/12/03/BMjAyMzA5MTIwMzI1NTZfMTE1OTE4MDcwOV8xMTI2MTIxNTMxMTJfMl8z_b_B82f905de58318254b14bacfaecf21e23.mp4?tag=1-1702523701-std-1-zaihaugqtw-795fc13eda22741a&clientCacheKey=3xr2je6ij2gbftg_b.mp4&tt=b&di=7cdee4c6&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
我的楼兰dj,https://txmov2.a.kwimgs.com/upic/2023/09/20/14/BMjAyMzA5MjAxNDQ2NDdfMTE1OTE4MDcwOV8xMTMxODQ5Mzk5MjVfMl8z_bF_B3de01c74c24dd40b9fe4c1777ce0bc18.mp4?tag=1-1702523400-std-1-dtzejnovx0-8e9fd97cac0257c7&clientCacheKey=3xxbnq3zsk2u499_bF.mp4&tt=bF&di=7cdee4c6&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
刀郎情人,https://txmov2.a.kwimgs.com/upic/2024/03/25/13/BMjAyNDAzMjUxMzEyNTNfMTE1OTE4MDcwOV8xMjgxNjk4NjUwMThfMl8z_b_B8f1475d089b0b217d2c53a41eed61221.mp4?tag=1-1713157284-std-1-5gah1sezhn-23a2aa6bb5be371f&clientCacheKey=3xpqbbbe3kj8v8s_b.mp4&tt=b&di=88cc45f&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
韩舞团,http://gcw.bdcdn.shoujiduoduo.com/201805/0748-641.mp4
摇太阳,https://st.pgdjz.fun/%2Fzwmtv%2F2024%2F%E6%B2%88%E4%BD%B3%E4%BE%9D%20-%20%E6%91%87%E5%A4%AA%E9%98%B3%EF%BC%88DJ%E7%89%88%E7%BB%8F%E5%85%B8%E6%AD%8C%E6%9B%B2%E5%A5%B3%E5%A3%B0%E8%B7%B3%E8%88%9E%E8%A7%86%E9%A2%91%EF%BC%89.mp4
别知己,https://vd3.bdstatic.com/mda-pjpmxj8nps7esymw/576p/h264/1698161340027041596/mda-pjpmxj8nps7esymw.mp4
极品抖奶DJ,https://vd3.bdstatic.com/mda-pm59vs35hc1xpf97/sc/cae_h264_mcsic/1701898696264891171/mda-pm59vs35hc1xpf97.mp4
💫几首歌,https://godmusic.bs2dl.yy.com/dHYwYzQ0NTViMjdjZjk0YzY2ODk5ZDU4MGM4MDVmNDVhOC00MzIzNDEwMDc=?Cf=cf.mp4
💫听一遍,https://godmusic.bs2dl.yy.com/dHZhMGJlZTQ3MjFjOTY0ZGNlYTJlMjdjYjUyZjY3OTg0MTE1ODc5OTM1NzY=?Cf=cf.mp4
💫从那首歌开始,https://godmusic.bs2dl.yy.com/dHY0NmM4N2RkZTIzMDk0Y2QwYThhYjk1ZDdmYmE4N2NmZi01NTMwMTI3MDE=?Cf=cf.mp4
你做了我梦里的人,https://vd3.bdstatic.com/mda-qk359hd9t9bqg7xh/720p/bd265_cae_visr_v7/1730780230457395345/mda-qk359hd9t9bqg7xh.mp4
我最思念的人你在哪里,https://vd3.bdstatic.com/mda-qim28nim6v2a8s3u/sc/bd265_cae_visr_v6/1726973341916478962/mda-qim28nim6v2a8s3u.mp4
爱听情歌的人,https://vd3.bdstatic.com/mda-qfvahgijk1z1n3bz/sc/bd265_cae_visr_v6/1720534511142482293/mda-qfvahgijk1z1n3bz.mp4
活在世上就要快乐,https://vd3.bdstatic.com/mda-qj76m9ss78ha1zud/sc/bd265_cae_visr_v6/1728469923364253968/mda-qj76m9ss78ha1zud.mp4
不要走不要走,https://vd3.bdstatic.com/mda-qgi1gyh9466q2nqj/sc/bd265_cae_visr_v6/1721603287935672973/mda-qgi1gyh9466q2nqj.mp4
彩虹的微笑,https://vd3.bdstatic.com/mda-padibrajpnmvbamf/sc/cae_h264/1673701311317842894/mda-padibrajpnmvbamf.mp4?pd=19&vt=1
好听歌曲1,https://vd3.bdstatic.com/mda-nau8s6nsyj96mffw/480p/h264_delogo/1643441061627872991/mda-nau8s6nsyj96mffw.mp4
好听歌曲2,https://vdse.bdstatic.com//b01518813ef433f63d7e17fd6bcbb5eb.mp4
DJ一生最爱的人就是你,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000cnhh1o7og65ukdntqoo0&ratio=720p&line=0
DJ红唇,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cotbhl3c77uasaumm520&ratio=720p&line=0
就算悲伤结局,https://vd2.bdstatic.com/mda-pkmzzraztcsjvngm/576p/h264/1700697797850956432/mda-pkmzzraztcsjvngm.mp4?v_from_s=hkapp-haokan-hbf&auth_key=1702291641-0-0-aa2a3debce9dfa2441cdef20aff944e3&bcevod_channel=searchbox_feed&pd=1&cr=1&cd=0&pt=4&logid=2841268261&vid=6164697042931955706&abtest=all
DJ要爱你就来,https://vd4.bdstatic.com/mda-keb0fy2xswb3fkm7/hd/mda-keb0fy2xswb3fkm7.mp4?auth_key=1702279012-0-0-247d754019ec2bbb6ee56221e3990824&bcevod_channel=searchbox_feed&pd=1&cr=1&cd=0&pt=4&logid=1012802986&vid=13384379351327064092&abtest=all
DJ思念成沙,https://vd4.bdstatic.com/mda-kf7wqu234b4z1zgd/hd/mda-kf7wqu234b4z1zgd.mp4?auth_key=1702215065-0-0-0b0f96142454d2a90927ac0920b20b03&bcevod_channel=searchbox_feed&pd=1&cr=1&cd=0&pt=4&logid=1865397115&vid=13991744511136778108&abtest=all
你为什么负我,https://vd2.bdstatic.com/mda-pjcd3zsfse72q7aa/hd/cae_h264/1697226696211862288/mda-pjcd3zsfse72q7aa.mp4?auth_key=1702278344-0-0-62a6a767dc6dc3af15a818e1718a2926&bcevod_channel=searchbox_feed&pd=1&cr=1&cd=0&pt=4&logid=0344462686&vid=8452283648800752469&abtest=all
DJ龙梅子飞,https://vd3.bdstatic.com/mda-kf9sk0gdz2hr1pxp/v1-cae/1080p/mda-kf9sk0gdz2hr1pxp.mp4
阿悠悠悠殇叹伤感版,https://vd2.bdstatic.com/mda-kf9ppmq489kh9cdf/v1-cae/1080p/mda-kf9ppmq489kh9cdf.mp4
甜歌DJ,https://vdse.bdstatic.com/8343b02f5e7465d4c5b07e54403438b8.mp4
DJ舞曲蒋雪儿淋过伤心的雨,https://vd2.bdstatic.com/mda-khsx2qar6fc2hukq/sc/mda-khsx2qar6fc2hukq.mp4
DJ说唱舞曲陈兴瑜男大当婚女大当嫁,https://vd3.bdstatic.com/mda-khsk8qaz76e12wa3/sc/mda-khsk8qaz76e12wa3.mp4
