http://go0.myartsonline.com//i/?T=4K 
 <meta name="viewport" content="width=device-width, initial-scale=0.9">
CCTV4K,http://112.19.88.97:8899/udp/239.11.0.62:5140
CCTV4K,http://112.19.88.97:8899/udp/239.11.0.61:5140
CCTV16 4K,http://112.19.88.97:8899/udp/239.10.0.187:5140
CCTV8K,http://112.19.88.97:8899/udp/239.10.0.134:5140
北京卫视4K,http://112.19.88.97:8899/udp/239.10.0.91:5140
北京卫视4K,http://112.19.88.97:8899/udp/239.10.0.92:5140
深圳卫视4K,http://112.19.88.97:8899/udp/239.10.0.93:5140
广东卫视4K,http://112.19.88.97:8899/udp/239.10.0.94:5140
四川卫视4K,http://112.19.88.97:8899/udp/239.11.0.43:5140
四川卫视4K,http://112.19.88.97:8899/udp/239.11.0.86:5140
湖南卫视4K,http://112.19.88.97:8899/udp/239.11.0.87:5140
江苏卫视4K,http://112.19.88.97:8899/udp/239.11.0.88:5140
浙江卫视4K,http://112.19.88.97:8899/udp/239.11.0.89:5140
东方卫视4K,http://112.19.88.97:8899/udp/239.11.0.90:5140
山东卫视4K,http://112.19.88.97:8899/udp/239.11.0.91:5140
