http://txt.gt.tc/users/HKTV.txt
港澳频道,#genre#
凤凰中文,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=tvUZNC&tk=OAqBIJ73tkHQ
凤凰资讯,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=L4wews&tk=OAqBIJ73tkHQ
凤凰香港,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=peh559&tk=OAqBIJ73tkHQ
星空卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=59IaIY&tk=OAqBIJ73tkHQ
TVB翡翠,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=2d6SMz&tk=OAqBIJ73tkHQ
TVB明珠,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=xZYRZj&tk=OAqBIJ73tkHQ
无线新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=qZAuaV&tk=OAqBIJ73tkHQ
TVBPLUS,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=U9dzJp&tk=OAqBIJ73tkHQ
NOW新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=7X59pC&tk=OAqBIJ73tkHQ
Now爆谷台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=wldXJf&tk=OAqBIJ73tkHQ
Now星影台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=dmPwcJ&tk=OAqBIJ73tkHQ
VIUTV,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=xgmhJZ&tk=OAqBIJ73tkHQ
PopC电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=DiEoTn&tk=OAqBIJ73tkHQ
TVB千禧经典,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=EOQUcg&tk=OAqBIJ73tkHQ
TVB1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=RLeWD3&tk=OAqBIJ73tkHQ
TVBJ1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=tyMTFW&tk=OAqBIJ73tkHQ
中天新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=owMkjz&tk=OAqBIJ73tkHQ
中天CTI+,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=neFEIS&tk=OAqBIJ73tkHQ
TVBS HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=QHZ7JZ&tk=OAqBIJ73tkHQ
寰宇新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=cd3T3U&tk=OAqBIJ73tkHQ
美亚电影(台湾),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=BW7HX0&tk=OAqBIJ73tkHQ
TVB生活台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=sm37ri&tk=OAqBIJ73tkHQ
TVB功夫(国),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=7YkKYm&tk=OAqBIJ73tkHQ
HUB如意台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=E1ItMd&tk=OAqBIJ73tkHQ
HUB娱家台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=eOGFEp&tk=OAqBIJ73tkHQ
HUB都会台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=3Jeidg&tk=OAqBIJ73tkHQ
中天新闻(备),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=FrbK27&tk=OAqBIJ73tkHQ
重温经典,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=H0pUbO&tk=OAqBIJ73tkHQ
八度空间,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=9E9tpZ&tk=OAqBIJ73tkHQ
综艺玩很大,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=bUyHVZ&tk=OAqBIJ73tkHQ
爱奇艺,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=BkXhbx&tk=OAqBIJ73tkHQ
TVBS台剧,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=7dZHlX&tk=OAqBIJ73tkHQ
纬来戏剧,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=6kAJ4B&tk=OAqBIJ73tkHQ
港台测试,#genre#
凤凰中文,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=XSI0Fg&tk=OAqBIJ73tkHQ
凤凰资讯,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=S2SfV3&tk=OAqBIJ73tkHQ
凤凰香港,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=zvyNx7&tk=OAqBIJ73tkHQ
TVB翡翠,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=YvBlVk&tk=OAqBIJ73tkHQ
TVB_PULS,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=YZ5TgG&tk=OAqBIJ73tkHQ
TVB无线新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=1BkHwn&tk=OAqBIJ73tkHQ
TVB明珠,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=vJHVX4&tk=OAqBIJ73tkHQ
Now新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=f2saww&tk=OAqBIJ73tkHQ
Now财经,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=3hoMOX&tk=OAqBIJ73tkHQ
Now财经,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=AJyQrw&tk=OAqBIJ73tkHQ
HOY76,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=U4qCwV&tk=OAqBIJ73tkHQ
HOY77,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=tYh5wR&tk=OAqBIJ73tkHQ
HOY78,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=gIChdg&tk=OAqBIJ73tkHQ
RHK31,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=kAXXz1&tk=OAqBIJ73tkHQ
RHK32,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=RDF6jR&tk=OAqBIJ73tkHQ
有线18,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=EbmEF7&tk=OAqBIJ73tkHQ
TVBS新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=5fhOsv&tk=OAqBIJ73tkHQ
中天新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=DNsUwa&tk=OAqBIJ73tkHQ
非凡新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=mCebvK&tk=OAqBIJ73tkHQ
寰宇新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=pRefwp&tk=OAqBIJ73tkHQ
华视新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=MXinL4&tk=OAqBIJ73tkHQ
民视新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ishdr1&tk=OAqBIJ73tkHQ
公视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=5KY4jI&tk=OAqBIJ73tkHQ
民视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=LFiJGb&tk=OAqBIJ73tkHQ
台视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=2p4lLk&tk=OAqBIJ73tkHQ
寰宇新闻台湾台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Hjai2d&tk=OAqBIJ73tkHQ
台视财经,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=prweAn&tk=OAqBIJ73tkHQ
中视经典,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=CCCnRC&tk=OAqBIJ73tkHQ
民视影剧,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=k5euFe&tk=OAqBIJ73tkHQ
民视旅游,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Zmxkne&tk=OAqBIJ73tkHQ
民视综艺,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=529Omj&tk=OAqBIJ73tkHQ
台视综合,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=QIGRWH&tk=OAqBIJ73tkHQ
华艺中文,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=qUSK3r&tk=OAqBIJ73tkHQ
东森超视34.5,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=bfCoFm&tk=OAqBIJ73tkHQ
东森美洲,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=T5KLTL&tk=OAqBIJ73tkHQ
东森中国,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=kIW4Ur&tk=OAqBIJ73tkHQ
东森超视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=uisqQT&tk=OAqBIJ73tkHQ
东森电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=e3Nb38&tk=OAqBIJ73tkHQ
