http://txt.gt.tc/users/XDTV.txt
XDTV,#genre#
TVBPlus,http://vallest.uk/livehttpplay?channel_id=30023
TVBPlus,http://vallest.uk/livehttpplay?channel_id=20122
凤凰中文,http://vallest.uk/livehttpplay?channel_id=30014
凤凰中文,http://vallest.uk/livehttpplay?channel_id=20065
凤凰资讯,http://vallest.uk/livehttpplay?channel_id=30015
凤凰资讯,http://vallest.uk/livehttpplay?channel_id=20066
凤凰香港,http://vallest.uk/livehttpplay?channel_id=20067
凤凰香港,http://vallest.uk/livehttpplay?channel_id=30016
有线综合台,http://vallest.uk/livehttpplay?channel_id=20152
无线新闻台,http://vallest.uk/livehttpplay?channel_id=30024
翡翠台,http://vallest.uk/livehttpplay?channel_id=20124
明珠台,http://vallest.uk/livehttpplay?channel_id=30026
明珠台,http://vallest.uk/livehttpplay?channel_id=20125
VIUTV,http://vallest.uk/livehttpplay?channel_id=30032
VIUTV,http://vallest.uk/livehttpplay?channel_id=20131
VIU6TV,http://vallest.uk/livehttpplay?channel_id=30033
VIU6TV,http://vallest.uk/livehttpplay?channel_id=20132
RTHK-31,http://vallest.uk/livehttpplay?channel_id=30066
RTHK-32,http://vallest.uk/livehttpplay?channel_id=30067
RTHK-32,http://vallest.uk/livehttpplay?channel_id=20203
RTHK-32,http://vallest.uk/livehttpplay?channel_id=30028












HK,#genre#



凤凰中文,http://bxtv.3a.ink/api.php?id=fhzw
凤凰资讯,http://bxtv.3a.ink/api.php?id=fhzx
凤凰香港,http://bxtv.3a.ink/api.php?id=fhhk
凤凰中文,http://api.mg.itv888.cn:8080/hls/2f80047f91e/index.m3u8
凤凰资讯,http://api.mg.itv888.cn:8080/hls/11ef1dc70d8/index.m3u8
凤凰香港,http://api.mg.itv888.cn:8080/hls/e9660dce9a6/index.m3u8
中天新闻,http://tlive24.uk/livehttpplay?channel_id=20163
中天新闻,http://bxtv.3a.ink/api.php?id=ztxw
有线新闻台,http://api.mg.itv888.cn:8080/hls/5e12ccd9191/index.m3u8
无线新闻台,http://api.mg.itv888.cn:8080/hls/e1bb5e8bc4f/index.m3u8
无线新闻台,http://bxtv.3a.ink/api.php?id=wxxw
Now新闻台,http://iptv.4666888.xyz/iptv2A.php?id=NOW新闻
Now新闻台,http://bxtv.3a.ink/api.php?id=now
Now新闻台,http://cdn.163189.xyz/163189/now
POPC,http://bxtv.3a.ink/api.php?id=popc
POPC,http://tl.061833.xyz/tl/popc
无线新闻台,http://tl.061833.xyz/tl/null-11
翡翠台,http://tl.061833.xyz/tl/null
明珠台,http://tl.061833.xyz/tl/null-12
无线娱乐台,http://tl.061833.xyz/tl/null-14
无线综合台,http://tl.061833.xyz/tl/null-3
无线戏曲台,http://tl.061833.xyz/tl/null-15
无线粤语片台,http://tl.061833.xyz/tl/null-10
无线亚剧台,http://tl.061833.xyz/tl/null-13 
