https://15280.kstore.space/奥台.txt

台奥🇨🇳公告,#genre#
维护Q群315674141,CCTV-1,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33
猪哥亮经典秀,http://pullpackage.alivecdn.com/live/607cedf47d052f534dea0915aa51ad90.flv



台湾是中国的,CCTV1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33

凤凰中文,http://pullpackage.alivecdn.com/live/gwS5kbEwNmWObygXxkddGlm43Yr0rZAqkFgLZRwPewJMVnfHy8.flv?%E4%BA%8C%E6%9C%8D

凤凰资讯,http://pullpackage.alivecdn.com/live/7KUcGQoK7Glm43K0vAuRVWGZSscrMD5x2eSGbg4y8YFVh6dd2S.flv?%E4%BA%8C%E6%9C%8D

凤凰香港,http://pullpackage.alivecdn.com/live/uEACKo2YT4ZTiHBMNM2g49d00j924NASwca4Glm436hsAvKE1L.flv?%E4%BA%8C%E6%9C%8D

寰宇新闻,http://pullpackage.alivecdn.com/live/3cDvCNnbfd2yBiEhqihpaWdiHXNv7HnTEMRGcac8hxFeC1F9j6.flv

东森新闻,http://pullpackage.alivecdn.com/live/IfhEdN30gjBbSbfd2ySSKGFHHl6JFBwhgtYpQxoGIKytCfl1hl.flv

中天新闻,http://pullpackage.alivecdn.com/live/ogVoQHdbfd2ydsH4o82zYFquhPEy4XWeWisjW2fHs4Oew26P63.flv

中天CTI+,http://pullpackage.alivecdn.com/live/bfd2yczrTFqK7nEAJybacKGcrnLdslNp5YcphockmQnscq2S1p.flv

TVBS新闻,http://pullpackage.alivecdn.com/live/AocNA7nvWaoTEOU1kWJnR67lprbfd2y0CHqgjYOaOYV5JSmoP2.flv

三立新闻,http://pullpackage.alivecdn.com/live/GDGMQBLKWMPhyKJYSPPR6dnb2lS3FvykpFuj8AZf19Mbfd2yjx.flv

三立iNEWS,http://pullpackage.alivecdn.com/live/s1MnZyvakgihRsIVdMDeWvkbf3Da2Krbfd2yT1fV3lo74wZSW0.flv

中视新闻,http://pullpackage.alivecdn.com/live/hNsy4N2Ykbfd2ywCSlOqFQ1aSenAhZLYUenP1IoaAltR3IXYOp.flv

台视新闻,http://pullpackage.alivecdn.com/live/ofFqVir8hEYxZDb6y677FJxn0xrbfd2yPfOT6XuHngNXajvBUY.flv

中天新闻,http://5.44.249.130:5002/ts/8i2mwhruaecye9fa.ts

东森新闻,http://pullpackage.alivecdn.com/live/Q6dIFsHxR2r9pqtq3qj8UT4oiUNO4ShbiuR7tArX4srbittNex.flv
私人影院频道,P2p://starvod.xyz:19806/74567d46c9a54cb8aab7bb35b7446cf2.ts
私人影院频道,http://play-aliyun.zego.im/live/2225ce86b84a0eb4a24f4fbeb74a00ba.flv
唐人卫视频道,https://ntd02.akamaized.net/HD-NY/tracks-v3a1/mono.m3u8
亚太卫视频道,https://php.946985.xyz/4gtv.php?ch=4gtv-live050
Now爆谷频道,http://live.xmqkx.com/live/vhNli7a2uwqrSArlhBpDjs0w6UZDdVLkMnb9OJ2Hzj14qlP0TO.flv
Now爆谷频道,http://t.061899.xyz/tl/js/api.php?id=nowbgt
Now爆谷频道,http://iptv.4666888.xyz/iptv.php?id=20087
Now星影频道,http://t.061899.xyz/tl/js/api.php?id=nowbgxyt
Now星影频道,http://iptv.4666888.xyz/iptv.php?id=20086
pₒₚc电影频道,http://j.s.bkpcp.top/js/popc
Plus综合频道,http://live.xmqkx.com/live/7J22AJV6h8f24jkmoa5ahSzuCYjE5fVpCYYMEt9bfd2yHn4XG7.flv
Plus综合频道,http://t.061899.xyz/tl/js/js.php?id=tvbplus
中天新闻频道,http://live.xmqkx.com/live/ogVoQHdbfd2ydsH4o82zYFquhPEy4XWeWisjW2fHs4Oew26P63.flv
中天新闻频道,http://t.061899.xyz/tl/js/api.php?id=ztxw
中天新闻加道,http://live.xmqkx.com/live/bfd2yczrTFqK7nEAJybacKGcrnLdslNp5YcphockmQnscq2S1p.flv
中天新闻加道,http://t.061899.xyz/tl/js/api.php?id=2ctiztt
有线新闻频道,http://live.xmqkx.com/live/hUCrfw4QYQ0jnzNzBOyknEou8NKNbPM30NZ4zz6UZDd05KeGhG.flv
有线新闻频道,http://t.061899.xyz/tl/js/api.php?id=78hoy
有线新闻频道,http://api.mg.itv888.cn:8080/hls/5e12ccd9191/index.m3u8
无线新闻频道,https://live3.jiatianxiazhuangshi.com/live/iUJnBYKU9riuj2Jlibsdwb5m69FKfo6UZDdgNC09xXfFvAn4GP.flv
无线新闻频道,http://t.061899.xyz/tl/js/api.php?id=tvbwxxwt
无线新闻频道,http://api.mg.itv888.cn:8080/hls/e1bb5e8bc4f/index.m3u8
Now新闻频道,http://cdn.163189.xyz/163189/now
Now新闻频道,http://iptv.4666888.xyz/iptv.php?id=20082
Now财经频道,http://iptv.4666888.xyz/iptv.php?id=20085
凤凰中文频高,http://j.s.bkpcp.top/js/fhzw
凤凰中文频高,http://api.mg.itv888.cn:8080/hls/2f80047f91e/index.m3u8
凤凰资讯频高,http://j.s.bkpcp.top/js/fhzx
凤凰资讯频高,http://api.mg.itv888.cn:8080/hls/11ef1dc70d8/index.m3u8
凤凰香港频高,http://j.s.bkpcp.top/js/fhxg
凤凰香港频高,http://api.mg.itv888.cn:8080/hls/e9660dce9a6/index.m3u8
无线翡翠频高,http://j.s.bkpcp.top/js/fct
无线翡翠频高,http://api.mg.itv888.cn:8080/hls/4bb8922027c/index.m3u8
无线华丽频标,http://api.mg.itv888.cn:8080/hls/ac8b06eb0c8/index.m3u8
无线生活频道,http://j.s.bkpcp.top/js/tvbsht
无线星河国标,http://live.xmqkx.com/live/uQ6GAaRJTHxr6UZDduthoagPy0FHuv5avbHvBZcOr5HvXfRxPV.flv
无线星河国标,http://j.s.bkpcp.top/js/tvbxhpdg
无线星河粤标,http://live.xmqkx.com/live/8uNQ46jkBZiwc55OHDKkzFYcxx6FXq94pv6UZDdsZsjzJtTCVU.flv
无线星河粤标,http://j.s.bkpcp.top/js/tvbxhpdy
无线功夫国标,http://live.xmqkx.com/live/chNDM1y6UZDdfbemYe3QFaC10n2vqBePUyvCKs7NLnIKhl7lKu.flv
无线功夫国标,http://j.s.bkpcp.top/js/tvbgftg
无线功夫粤标,http://live.xmqkx.com/live/YpGP7rsFENzvY6UZDdaKuCFTBnIH0fRmVUak5AfbG3XLFwTEPv.flv
无线功夫粤标,http://j.s.bkpcp.top/js/tvbgfty
天映频道粤标,https://pixman.mytvsuper.com.mp/Smart.php?id=ctv18_twn
