https://www.pantxt.top/f/vxquA/mjyy.txt
创建于
2024-08-11 
04:04:37
正式版修改于
2024/10/30 
15:25:49

友情提示,#genre#
本软件永久免费,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAgk5nV4gUo5KyapQI.mp4
请勿用于商业用途,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAglpvV4gUo0pn7iAQ.mp4

资源来源于网络,https://txmov2.a.kwimgs.com/upic/2025/03/28/16/BMjAyNTAzMjgxNjIxNTRfMTc0MzEwMDgzNl8xNjAyOTgxMzgzMDNfMl8z_b_Baa3b766e2d0ca44c26014ad95f02774f.mp4
仅用于学习研究,http://8.138.7.223/tv/bjws4k.m3u8
请尽快删除,http://101.200.77.82:35455/douyin/208823316033
3.0版本,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8

野草,https://vd2.bdstatic.com/mda-mmkfweauph7ju2rr/sc/cae_h264_delogo/1643229088196056141/mda-mmkfweauph7ju2rr.mp4
↓,http://em.21dtv.com/songs/60143733.mkv
199A,https://vd2.bdstatic.com/mda-nccytxs33wk5c0z6/sc/cae_h264_delogo/1647213382954115936/mda-nccytxs33wk5c0z6.mp4
↑,http://em.21dtv.com/songs/60033420.mkv
口令,https://txmov2.a.kwimgs.com/bs3/video-hls/5218546229898501298_hlsb.m3u8
音乐1,https://alimov2.a.kwimgs.com/bs3/video-hls/5235716146021095291_hlsb.m3u8
音乐2,https://alimov2.a.kwimgs.com/bs3/video-hls/5219953585972849434_hlsb.m3u8
音乐3,https://alimov2.a.kwimgs.com/upic/2024/08/25/15/BMjAyNDA4MjUxNTI2NDRfMjM0Mjg1Nzg4Ml8xNDE4MjQ0Mzk3ODFfMV8z_b_Ba26462c4abc25793f355d402ec31aa53.mp4
音乐4,https://alimov2.a.kwimgs.com/bs3/video-hls/5196028176063679545_hlsb.m3u8
音乐5↓,https://k0u7cya6ye8y93z.djvod.ndcimgs.com/bs3/video-hls/5201657701396339381_hlsb.m3u8
音乐6,http://mobi.kuwo.cn/tmevideo/tme1257697.mp4
音乐7,http://em.21dtv.com/songs/100005552.mkv
音乐8,http://em.21dtv.com/songs/720/100014229.mkv
请勿付款购买,http://mobi.kuwo.cn/tmevideo/tme1257648.mp4
不值得,http://mobi.kuwo.cn/tmevideo/tme1257695.mp4
我不搞违规内容,http://mobi.kuwo.cn/tmevideo/tme1257678.mp4
没兴趣,http://mobi.kuwo.cn/tmevideo/tme12155588.mp4
38度6,https://alimov2.a.kwimgs.com/upic/2023/11/16/13/BMjAyMzExMTYxMzExNDJfMzM5Njk4MTMyNl8xMTcyNzU3MDE3NTZfMF8z_b_B6e340974a0d46c08d1013ff23c7f6b17.mp4
羞答答的玫瑰,https://alimov2.a.kwimgs.com/upic/2023/07/28/11/BMjAyMzA3MjgxMTQ3MDRfMzM5Njk4MTMyNl8xMDkwNjczMTE5NDlfMF8z_b_B8423a7dac79a1e58599a94e4226e7987.mp4?clientCacheKey=3xyfhpvzhi825f4_b.mp4&tt=b&di=75b3b1ea&bp=10000
阿衣莫,http://mobi.kuwo.cn/tmevideo/tme7020227.mp4
逃之夭夭,http://mobi.kuwo.cn/tmevideo/tme12155598.mp4
作酒,http://mobi.kuwo.cn/tmevideo/tme16186338.mp4
盗将行花粥马雨阳,http://em.21dtv.com/songs/720/100043274.mkv
樱花草Sweety,http://em.21dtv.com/songs/100005856.mkv
↑ 

兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
4K超高清,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.249:8001
淘电影,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.250:8001
淘剧场,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.95:8001
淘娱乐,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.100:8001
淘Baby,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.238:8001


以下测试专用,↓

1905电影,http://xxwx.yoesun.com/xxw/1905电影网.php?id=1905
印度宝莱坞,https://d35j504z0x2vu2.cloudfront.net/v1/manifest/0bc8e8376bd8417a1b6761138aa41c26c7309312/bollywood-hd/57b4525e-813d-488e-b6c8-cb899803bcec/0.m3u8

半岛电视台,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
澳六图库,https://vdm6-hw.nbgdsygs.com/live/h6-2.flv
CGTN,https://0472.org/hls/cgtn.m3u8
CGTN纪录,https://0472.org/hls/cgtnd.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8

一号影厅,http://tc-tct.douyucdn2.cn/dyliveflv1/122402rK7MO9bXSq_2000.flv?wsAuth=8cea39337984fd3341cc9ec569502e4f&token=cpn-androidmpro-0-122402-0fcea45d2300cfa0ac75fafd8679bb53af10de8c33ae99d9&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p
二号影厅,http://tc-tct.douyucdn2.cn/dyliveflv1/85894rmovieChow_2000.flv?wsAuth=7d054e041804e80af8aa7e975e2d8573&token=cpn-androidmpro-0-85894-a3575d938a4aa309c687f5fb85a1009fc65cfbeeb2672310&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=pla
极速经典电影1,http://tc-tct.douyucdn2.cn/dyliveflv1/122402rK7MO9bXSq_2000.flv?wsAuth=8cea39337984fd3341cc9ec569502e4f&token=cpn-androidmpro-0-122402-0fcea45d2300cfa0ac75fafd8679bb53af10de8c33ae99d9&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p
极速经典电影2,http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K_2000.flv?wsAuth=2ccc7b4ba29208aaba62dae54cbbd68c&token=cpn-androidmpro-0-20415-b6774b3b3249db17fff84d73c7585c95e780dbccdb08e4bc&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p
极速经典电影3,http://tc-tct.douyucdn2.cn/dyliveflv1/85894rmovieChow_2000.flv?wsAuth=7d054e041804e80af8aa7e975e2d8573&token=cpn-androidmpro-0-85894-a3575d938a4aa309c687f5fb85a1009fc65cfbeeb2672310&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=pla

B站JJ斗地主,http://dns.yiandrive.com:15907/bilibili/22021983
此版本为,https://alimov2.a.kwimgs.com/bs3/video-hls/5235153238597092513_hlsb.m3u8
测试,https://alimov2.a.kwimgs.com/bs3/video-hls/5193494942660669688_hlsb.m3u8
收集音乐,https://alimov2.a.kwimgs.com/bs3/video-hls/5247538139332352941_hlsb.m3u8
专用,https://oo.haiqu.vip:2266/hls/spsj/2024/11/28/14745/playlist.m3u8
不定时更新,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000cu52vrnog65hk7oo3ni0&ratio=720p&line=0
更新↓,https://vd3.bdstatic.com/mda-pcp5fx5bfrctx9pu/sc/cae_h264/1679635523924099179/mda-pcp5fx5bfrctx9pu.mp4
