http://ok.zoho.to//i/?T=%E5%A4%AE%E5%8D%AB%E7%94%B5%E8%A7%86%E6%96%87%E4%BB%B6
中央卫视,#genre#
CCTV1,http://110.181.237.121:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信2
CCTV1,http://222.90.155.221:7286/rtp/239.112.205.59:5140$陕西cip1
CCTV1,http://27.17.150.156:9100/rtp/239.254.96.96:8550$湖北sxcp
CCTV1,http://60.163.104.27:9999/rtp/233.50.200.99:5140$浙江电信fofa
CCTV1,http://61.173.162.19:5000/rtp/239.45.3.145:5140$上海电信fofa
CCTV2,http://110.181.234.221:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信7
CCTV2,http://125.126.137.189:9999/rtp/233.50.200.100:5140$浙江电信fofa
CCTV2,http://222.90.155.221:7286/rtp/239.112.205.78:5140$陕西cip1
CCTV2,http://116.237.139.191:8888/rtp/239.45.0.1:5140$上海电信fofa
CCTV2,http://27.19.146.199:2701/rtp/239.69.1.102:10250$湖北sxcp
CCTV3,http://110.181.235.130:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信5
CCTV3,http://60.163.104.27:9999/rtp/233.50.200.107:5140$浙江电信fofa
CCTV3,http://27.19.146.199:2701/rtp/239.69.1.122:10370$湖北sxcp
CCTV3,http://222.90.155.221:7286/rtp/239.112.205.221:5140$陕西cip1
CCTV3,http://61.173.162.19:5000/rtp/239.45.1.68:5140$上海电信fofa
CCTV4,http://222.90.155.221:7286/rtp/239.112.205.202:5140$陕西cip1
CCTV4,http://27.19.146.199:2701/rtp/239.69.1.138:10466$湖北sxcp
CCTV4,http://61.173.162.19:5000/rtp/239.45.0.2:5140$上海电信fofa
CCTV4,http://58.48.105.149:4022/rtp/239.69.1.138:10466$湖北cphp1
CCTV4,http://183.144.84.5:8888/rtp/233.50.200.101:5140$浙江电信fofa
CCTV5,http://125.126.137.189:9999/rtp/233.50.200.108:5140$浙江电信fofa
CCTV5,http://58.48.105.149:4022/rtp/239.69.1.13:9718$湖北cphp1
CCTV5,http://222.90.155.221:7286/rtp/239.112.205.222:5140$陕西cip1
CCTV5,http://58.35.103.119:3333/rtp/239.45.1.69:5140$上海电信fofa
CCTV5,http://27.19.146.199:2701/rtp/239.69.1.123:10376$湖北sxcp
CCTV5+,http://110.181.239.23:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信8
CCTV5+,http://125.107.250.38:5522/rtp/233.50.201.220:5140$浙江电信fofa
CCTV5+,http://222.90.155.221:7286/rtp/239.111.205.13:5140$陕西cip1
CCTV5+,http://116.237.139.191:8888/rtp/239.45.0.34:5140$上海电信fofa
CCTV5+,http://58.48.105.149:4022/rtp/239.254.96.234:9484$湖北cphp1
CCTV6,http://110.181.235.130:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信5
CCTV6,http://222.90.155.221:7286/rtp/239.112.205.223:5140$陕西cip1
CCTV6,http://27.19.146.199:2701/rtp/239.69.1.124:10382$湖北sxcp
CCTV6,http://61.173.162.19:5000/rtp/239.45.1.70:5140$上海电信fofa
CCTV6,http://58.48.105.149:4022/rtp/239.69.1.124:10382$湖北cphp1
CCTV7,http://110.181.237.121:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信2
CCTV7,http://36.24.65.178:8888/rtp/233.50.200.102:5140$浙江电信fofa
CCTV7,http://222.90.155.221:7286/rtp/239.112.205.83:5140$陕西cip1
CCTV7,http://116.237.139.191:8888/rtp/239.45.3.56:5140$上海电信fofa
CCTV7,http://27.19.146.199:2701/rtp/239.69.1.103:10256$湖北sxcp
CCTV8,http://115.197.131.63:8888/rtp/233.50.200.110:5140$浙江电信fofa
CCTV8,http://222.90.155.221:7286/rtp/239.112.205.224:5140$陕西cip1
CCTV8,http://61.173.162.19:5000/rtp/239.45.1.71:5140$上海电信fofa
CCTV8,http://27.19.146.199:2701/rtp/239.69.1.125:10388$湖北sxcp
CCTV8,http://58.48.105.149:4022/rtp/239.69.1.125:10388$湖北cphp1
CCTV9,http://110.181.239.23:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信8
