https://cloud.7so.top/f/Y6JVsA/%E4%B8%9C%E6%96%B9HD%20%282%29.txt

台奥🇨🇳公告,#genre#
CCTV-1,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33

台湾是中国的,CCTV1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
9.3阅兵直播,http://jackgao.top:35455/bilibili/8178490
9.3阅兵直播1,http://jackgao.top:35455/douyin/870887192950
9.3阅兵直播2,http://jackgao.top:35455/bilibili/22142427
9.3阅兵直播3,http://jackgao.top:35455/douyin/456815963645

私人影院频道,P2p://starvod.xyz:19806/74567d46c9a54cb8aab7bb35b7446cf2.ts
私人影院频道,http://play-aliyun.zego.im/live/2225ce86b84a0eb4a24f4fbeb74a00ba.flv
唐人卫视频道,https://ntd02.akamaized.net/HD-NY/tracks-v3a1/mono.m3u8
亚太卫视频道,https://php.946985.xyz/4gtv.php?ch=4gtv-live050
Now爆谷频道,http://live.xmqkx.com/live/vhNli7a2uwqrSArlhBpDjs0w6UZDdVLkMnb9OJ2Hzj14qlP0TO.flv
Now爆谷频道,http://t.061899.xyz/tl/js/api.php?id=nowbgt
Now爆谷频道,http://iptv.4666888.xyz/iptv.php?id=20087
Now星影频道,http://t.061899.xyz/tl/js/api.php?id=nowbgxyt
Now星影频道,http://iptv.4666888.xyz/iptv.php?id=20086
pₒₚc电影频道,http://j.s.bkpcp.top/js/popc
Plus综合频道,http://live.xmqkx.com/live/7J22AJV6h8f24jkmoa5ahSzuCYjE5fVpCYYMEt9bfd2yHn4XG7.flv
Plus综合频道,http://t.061899.xyz/tl/js/js.php?id=tvbplus
中天新闻频道,http://live.xmqkx.com/live/ogVoQHdbfd2ydsH4o82zYFquhPEy4XWeWisjW2fHs4Oew26P63.flv
中天新闻频道,http://t.061899.xyz/tl/js/api.php?id=ztxw
中天新闻加道,http://live.xmqkx.com/live/bfd2yczrTFqK7nEAJybacKGcrnLdslNp5YcphockmQnscq2S1p.flv
中天新闻加道,http://t.061899.xyz/tl/js/api.php?id=2ctiztt
有线新闻频道,http://live.xmqkx.com/live/hUCrfw4QYQ0jnzNzBOyknEou8NKNbPM30NZ4zz6UZDd05KeGhG.flv
有线新闻频道,http://t.061899.xyz/tl/js/api.php?id=78hoy
有线新闻频道,http://api.mg.itv888.cn:8080/hls/5e12ccd9191/index.m3u8
无线新闻频道,https://live3.jiatianxiazhuangshi.com/live/iUJnBYKU9riuj2Jlibsdwb5m69FKfo6UZDdgNC09xXfFvAn4GP.flv
无线新闻频道,http://t.061899.xyz/tl/js/api.php?id=tvbwxxwt
无线新闻频道,http://api.mg.itv888.cn:8080/hls/e1bb5e8bc4f/index.m3u8
Now新闻频道,http://cdn.163189.xyz/163189/now
Now新闻频道,http://iptv.4666888.xyz/iptv.php?id=20082
Now财经频道,http://iptv.4666888.xyz/iptv.php?id=20085
凤凰中文频高,http://j.s.bkpcp.top/js/fhzw
凤凰中文频高,http://api.mg.itv888.cn:8080/hls/2f80047f91e/index.m3u8
凤凰资讯频高,http://j.s.bkpcp.top/js/fhzx
凤凰资讯频高,http://api.mg.itv888.cn:8080/hls/11ef1dc70d8/index.m3u8
凤凰香港频高,http://j.s.bkpcp.top/js/fhxg
凤凰香港频高,http://api.mg.itv888.cn:8080/hls/e9660dce9a6/index.m3u8
无线翡翠频高,http://j.s.bkpcp.top/js/fct
无线翡翠频高,http://api.mg.itv888.cn:8080/hls/4bb8922027c/index.m3u8
无线华丽频标,http://api.mg.itv888.cn:8080/hls/ac8b06eb0c8/index.m3u8
无线生活频道,http://j.s.bkpcp.top/js/tvbsht
无线星河国标,http://live.xmqkx.com/live/uQ6GAaRJTHxr6UZDduthoagPy0FHuv5avbHvBZcOr5HvXfRxPV.flv
