http://www.52top.com.cn:678/migu_video/interface.txt
央视,#genre#
CCTV1综合,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/600/index.m3u8?msisdn=20250917090234633f141e103b49ed9f54b33fb799b981&mdspid=&spid=699004&netType=0&sid=2201057821&pid=2028597139&timestamp=20250917090234&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=123.119.84.37&SecurityKey=20250917090234&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=ZQ-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=1d9908d54bd46b1bc6eb357fb2d823df&ddCalcu=f1ddv39a29y80ad82db5f47b5d34b6eb61cb&sv=10004&ct=android
CCTV2财经,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv2hd/600/index.m3u8?msisdn=2025091709023588a82bab87eb4852a717b8dba61f77ca&mdspid=&spid=699004&netType=0&sid=5500346945&pid=2028597139&timestamp=20250917090235&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=631780532&ParentNodeID=-99&assertID=5500346945&client_ip=123.119.84.37&SecurityKey=20250917090235&promotionId=&mvid=5101064231&mcid=500020&playurlVersion=ZQ-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=5a56d199e7ec19dfe426398bad8a87a5&ddCalcu=55aav75a86zada81d9a9be879e3c61294def&sv=10004&ct=android
CCTV3综艺,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv3hd/1000/index.m3u8?msisdn=20250917090235986a348ef6be4b60beb6c895c611de6a&mdspid=&spid=699004&netType=0&sid=5500212864&pid=2028597139&timestamp=20250917090235&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=123.119.84.37&SecurityKey=20250917090235&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=ZQ-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=05bb1eadecef8b939523926247ef90ab&ddCalcu=b0a5v0ba9baf1aee7a4d2e6c2e9f382b5993&sv=10004&ct=android
CCTV4中文国际,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv4hd/600/index.m3u8?msisdn=20250917090235dd9ce2462e0447b591d929f032976fe2&mdspid=&spid=699004&netType=0&sid=5500346947&pid=2028597139&timestamp=20250917090235&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=123.119.84.37&SecurityKey=20250917090235&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=ZQ-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=4d4ba94d45659a1a4c9aca85f26586ed&ddCalcu=d4edv64a8by5aa6924fd5485a6c5a99ac14a&sv=10004&ct=android
CCTV5体育,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv5hdnew/600/index.m3u8?msisdn=202509170902359097dce50a364416ac9de571a9f3bcbc&mdspid=&spid=699004&netType=0&sid=5500516171&pid=2028597139&timestamp=20250917090235&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=641886683&ParentNodeID=-99&assertID=5500516171&client_ip=123.119.84.37&SecurityKey=20250917090235&promotionId=&mvid=5102048712&mcid=500020&playurlVersion=ZQ-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=67146561f80f1a8b3834fd2c756607a0&ddCalcu=06a7v71a04w66a655671cf28d0ff413a883b&sv=10004&ct=android
CCTV5+体育赛事,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv5plusnew/600/index.m3u8?msisdn=20250917090235cea465a2b9454f7889ac3052e68c5958&mdspid=&spid=699004&netType=0&sid=5500516288&pid=2028597139&timestamp=20250917090235&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=641886773&ParentNodeID=-99&assertID=5500516288&client_ip=123.119.84.37&SecurityKey=20250917090235&promotionId=&mvid=5102048803&mcid=500020&playurlVersion=ZQ-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=55a043898f334a8149f97030647c0838&ddCalcu=8535v8aa00xc4a734869083f037394fa9841&sv=10004&ct=android
CCTV6电影,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv6hd/1000/index.m3u8?msisdn=20250917090236dfde2cab95b54b62a59d0b51fd168cde&mdspid=&spid=699004&netType=0&sid=5500212872&pid=2028597139&timestamp=20250917090236&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=624878396&ParentNodeID=-99&assertID=5500212872&client_ip=123.119.84.37&SecurityKey=20250917090236&promotionId=&mvid=5100001694&mcid=500020&playurlVersion=ZQ-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=4d3592a830ba8b92f5218c17d8ffe14f&ddCalcu=f44dv13ae5bf9af28ad87310cb8a182b59f2&sv=10004&ct=android
CCTV7国防军事,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv7hd/50/index.m3u8?msisdn=20250917090236195ba6a98c594ce0bba01f88ceb982b5&mdspid=&spid=699004&netType=0&sid=5501083622&pid=2028597139&timestamp=20250917090236&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=673168121&ParentNodeID=-99&assertID=5501083622&client_ip=123.119.84.37&SecurityKey=20250917090236&promotionId=&mvid=5102910278&mcid=500020&playurlVersion=ZQ-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=a475466b59c1f5a7fd79f5528a677e98&ddCalcu=8a94ve7a75d74a66a68b25595cf19f75daf7&sv=10004&ct=android
CCTV8电视剧,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv8hd/1000/index.m3u8?msisdn=20250917090236cd5dbc60281b47949ab4672b63125b8b&mdspid=&spid=699004&netType=0&sid=5500212868&pid=2028597139&timestamp=20250917090236&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=624878356&ParentNodeID=-99&assertID=5500212868&client_ip=123.119.84.37&SecurityKey=20250917090236&promotionId=&mvid=5100001695&mcid=500020&playurlVersion=ZQ-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=3fdaf36421f40a0e8dfe84f7b5e1d043&ddCalcu=334fv0dadab1fae356b472f14f84e0fad08e&sv=10004&ct=android
CCTV9纪录,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv9hd/50/index.m3u8?msisdn=20250917090236cb62cfa6e177461eb369979c05583359&mdspid=&spid=699004&netType=0&sid=5501083624&pid=2028597139&timestamp=20250917090236&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=673168140&ParentNodeID=-99&assertID=5501083624&client_ip=123.119.84.37&SecurityKey=20250917090236&promotionId=&mvid=5102910384&mcid=500020&playurlVersion=ZQ-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=141742a298fc9b5bbc275ecd34e018cf&ddCalcu=f1c4v81a17d04ae24a32d9c8ef5c792bc5bb&sv=10004&ct=android
