http://txt.gt.tc/users/CNTV.txt

央卫1线,#genre#
CCTV-1,http://kkk.888.3116598.xyz/api.php?n=tttt&id=pKOAxw&tk=tVegbWUIbUiV
CCTV-2,http://kkk.888.3116598.xyz/api.php?n=tttt&id=MIo08N&tk=tVegbWUIbUiV
CCTV-3,http://kkk.888.3116598.xyz/api.php?n=tttt&id=Ti5j35&tk=tVegbWUIbUiV
CCTV-4,http://kkk.888.3116598.xyz/api.php?n=tttt&id=45U7WU&tk=tVegbWUIbUiV
CCTV-5,http://kkk.888.3116598.xyz/api.php?n=tttt&id=See70O&tk=tVegbWUIbUiV
CCTV-5+,http://kkk.888.3116598.xyz/api.php?n=tttt&id=8Vf1PL&tk=tVegbWUIbUiV
CCTV-6,http://kkk.888.3116598.xyz/api.php?n=tttt&id=VKC0W5&tk=tVegbWUIbUiV
CCTV-7,http://kkk.888.3116598.xyz/api.php?n=tttt&id=2JkCe9&tk=tVegbWUIbUiV
CCTV-8,http://kkk.888.3116598.xyz/api.php?n=tttt&id=GMfCgL&tk=tVegbWUIbUiV
CCTV-9,http://kkk.888.3116598.xyz/api.php?n=tttt&id=JY3DXN&tk=tVegbWUIbUiV
CCTV-10,http://kkk.888.3116598.xyz/api.php?n=tttt&id=uyLlaj&tk=tVegbWUIbUiV
CCTV-11,http://kkk.888.3116598.xyz/api.php?n=tttt&id=6eKJl7&tk=tVegbWUIbUiV
CCTV-12,http://kkk.888.3116598.xyz/api.php?n=tttt&id=2CPOAU&tk=tVegbWUIbUiV
CCTV-13,http://kkk.888.3116598.xyz/api.php?n=tttt&id=SsWHq9&tk=tVegbWUIbUiV
CCTV-14,http://kkk.888.3116598.xyz/api.php?n=tttt&id=j9yAyX&tk=tVegbWUIbUiV
CCTV-15,http://kkk.888.3116598.xyz/api.php?n=tttt&id=yi02aq&tk=tVegbWUIbUiV
CCTV-16,http://kkk.888.3116598.xyz/api.php?n=tttt&id=OPIVQv&tk=tVegbWUIbUiV
CCTV-17,http://kkk.888.3116598.xyz/api.php?n=tttt&id=sEwbdO&tk=tVegbWUIbUiV
CCTV4-欧洲,http://kkk.888.3116598.xyz/api.php?n=tttt&id=l4KZZJ&tk=tVegbWUIbUiV
CCTV4-美洲,http://kkk.888.3116598.xyz/api.php?n=tttt&id=aYP9gS&tk=tVegbWUIbUiV
CGTN,http://kkk.888.3116598.xyz/api.php?n=tttt&id=faGpkL&tk=tVegbWUIbUiV
CGTN-记录,http://kkk.888.3116598.xyz/api.php?n=tttt&id=N3dHKg&tk=tVegbWUIbUiV
CGTN-阿拉伯语,http://kkk.888.3116598.xyz/api.php?n=tttt&id=W1KpEk&tk=tVegbWUIbUiV
CGTN-西班牙语,http://kkk.888.3116598.xyz/api.php?n=tttt&id=V9TppS&tk=tVegbWUIbUiV
