
https://d.kstore.dev/download/14687/%E5%85%8D%E8%B4%B9%E5%88%86%E4%BA%AB.txt



央视频道,#genre#



CCTV1,http://go.bkpcp.top/mg/cctv1
CCTV2,http://go.bkpcp.top/mg/cctv2
CCTV3,http://go.bkpcp.top/mg/cctv3
CCTV4,http://go.bkpcp.top/mg/cctv4
CCTV5,http://go.bkpcp.top/mg/cctv5
CCTV5+,http://go.bkpcp.top/mg/cctv5p
CCTV6,http://go.bkpcp.top/mg/cctv6
CCTV7,http://go.bkpcp.top/mg/cctv7
CCTV8,http://go.bkpcp.top/mg/cctv8
CCTV9,http://go.bkpcp.top/mg/cctv9
CCTV10,http://go.bkpcp.top/mg/cctv10
CCTV11,http://go.bkpcp.top/mg/cctv11
CCTV12,http://go.bkpcp.top/mg/cctv12
CCTV13,http://go.bkpcp.top/mg/cctv13
CCTV14,http://go.bkpcp.top/mg/cctv14
CCTV15,http://go.bkpcp.top/mg/cctv15
CCTV16,http://go.bkpcp.top/mg/cctv16
CCTV17,http://go.bkpcp.top/mg/cctv17
cct4欧洲,http://go.bkpcp.top/mg/cctv4o
cct4美洲,http://go.bkpcp.top/mg/cctv4m
CGTN-西,http://go.bkpcp.top/mg/cgtne
CGTN-阿,http://go.bkpcp.top/mg/cgtna
CGTN-法,http://go.bkpcp.top/mg/cgtnf


卫视频道,#genre#




北京卫视,http://go.bkpcp.top/mg/bjws
东方卫视,http://go.bkpcp.top/mg/dfws
浙江卫视,http://go.bkpcp.top/mg/zjws
江苏卫视,http://go.bkpcp.top/mg/jsws
湖南卫视,http://go.bkpcp.top/mg/hunws
广东卫视,http://go.bkpcp.top/mg/gdws

山东卫视,http://go.bkpcp.top/mg/sdws
河南卫视,http://go.bkpcp.top/mg/hnws
江西卫视,http://go.bkpcp.top/mg/jxws
湖北卫视,http://go.bkpcp.top/mg/hubws
海南卫视,http://go.bkpcp.top/mg/hinws
陕西卫视,http://go.bkpcp.top/mg/sxws
兵团卫视,http://go.bkpcp.top/mg/btws
黑龙江视,http://go.bkpcp.top/mg/hljws





央卫备用,#genre#

CCTV1,http://103.79.187.196/zd/wytv.php?id=CCTV1&pid=1

CCTV2,http://103.79.187.196/zd/wytv.php?id=CCTV2&pid=1

CCTV3,http://103.79.187.196/zd/wytv.php?id=CCTV3&pid=1

CCTV4,http://103.79.187.196/zd/wytv.php?id=CCTV4&pid=1

CCTV4美洲,http://103.79.187.196/zd/wytv.php?id=CCTV4m&pid=1

CCTV4欧洲,http://103.79.187.196/zd/wytv.php?id=CCTV4o&pid=1

CCTV5,http://103.79.187.196/zd/wytv.php?id=CCTV5&pid=1

CCTV5+,http://103.79.187.196/zd/wytv.php?id=CCTV5p&pid=1

CCTV6,http://103.79.187.196/zd/wytv.php?id=CCTV6&pid=1

CCTV7,http://103.79.187.196/zd/wytv.php?id=CCTV7&pid=1

CCTV8,http://103.79.187.196/zd/wytv.php?id=CCTV8&pid=1

CCTV9,http://103.79.187.196/zd/wytv.php?id=CCTV9&pid=1

CCTV10,http://103.79.187.196/zd/wytv.php?id=CCTV10&pid=1

