#This file is automatically generated by https://freetv.fun and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Entertainment,#genre#
[BD]al rayyan,https://stream1.freetv.fun/al-rayyan-2.m3u8
[VGA]makkah tv,https://stream1.freetv.fun/makkah-tv-1.m3u8
Generic,#genre#
[HD]al kass 3,https://stream1.freetv.fun/al-kass-3-1.m3u8
[HD]qatar tv,https://stream1.freetv.fun/qatar-tv-1.m3u8
[HD]qatar tv 2,https://stream1.freetv.fun/qatar-tv-2-2.m3u8
[BD]avar tv,https://stream1.freetv.fun/avar-tv-1.m3u8
[HD]qatar tv,https://stream1.freetv.fun/qatar-tv-2.m3u8
[HD]qatar tv,https://stream1.freetv.fun/qatar-tv-3.m3u8
Movies,#genre#
[HD]bein movies 1 *e[geo-blocked],https://stream1.freetv.fun/bein-movies-1--e-1.ctv
News,#genre#
[BD]al jazeera,https://stream1.freetv.fun/al-jazeera-7.m3u8
[BD]al jazeera,https://stream1.freetv.fun/al-jazeera-4.m3u8
[BD]al jazeera english,https://stream1.freetv.fun/al-jazeera-english-8.m3u8
[BD]al jazeera news,https://stream1.freetv.fun/al-jazeera-news-1.m3u8
[BD]al jazeera news,https://stream1.freetv.fun/al-jazeera-news-4.m3u8
[BD]al jazeera balkans,https://stream1.freetv.fun/al-jazeera-balkans-1.m3u8
[BD]al jazeera arabic,https://stream1.freetv.fun/al-jazeera-arabic-2.m3u8
[BD]al jazeera balkans,https://stream1.freetv.fun/al-jazeera-balkans-2.m3u8
[SD]al jazeera arabic,https://stream1.freetv.fun/al-jazeera-arabic-3.m3u8
[SD]al jazeera english,https://stream1.freetv.fun/al-jazeera-english-6.m3u8
[VGA]aljazeera,https://stream1.freetv.fun/aljazeera-7.m3u8
[BD]al jazeera,https://stream1.freetv.fun/al-jazeera-3.m3u8
[BD]al jazeera,https://stream1.freetv.fun/al-jazeera-5.ctv
[BD]al jazeera العربية,https://stream1.freetv.fun/al-jazeera-l-rby-1.m3u8
[BD]al jazeera,https://stream1.freetv.fun/al-jazeera-6.m3u8
[BD]al jazeera balkans,https://stream1.freetv.fun/al-jazeera-balkans-3.m3u8
[BD]al jazeera news,https://stream1.freetv.fun/al-jazeera-news-3.m3u8
[BD]al jazeera,https://stream1.freetv.fun/al-jazeera-10.m3u8
[BD]al jazeera ᴴᴰ english,https://stream1.freetv.fun/al-jazeera-hd-english-1.m3u8
[BD]al jazeera mubasher,https://stream1.freetv.fun/al-jazeera-mubasher-3.m3u8
[BD]al jazeera mubasher 2,https://stream1.freetv.fun/al-jazeera-mubasher-2-1.m3u8
[BD]al jazeera mubasher,https://stream1.freetv.fun/al-jazeera-mubasher-4.m3u8
[BD]al jazeera mubasher broadcast 2,https://stream1.freetv.fun/al-jazeera-mubasher-broadcast-2-1.m3u8
[SD]al jazeera mubasher,https://stream1.freetv.fun/al-jazeera-mubasher-2.m3u8
[BD]al jazeera mubasher,https://stream1.freetv.fun/al-jazeera-mubasher-1.m3u8
[BD]al jazeera mubasher,https://stream1.freetv.fun/al-jazeera-mubasher-5.m3u8
[BD]al jazeera mubasher 2,https://stream1.freetv.fun/al-jazeera-mubasher-2-2.m3u8
[BD]al jazeera mubasher 24,https://stream1.freetv.fun/al-jazeera-mubasher-24-1.m3u8
[BD]al jazeera mubasher 24,https://stream1.freetv.fun/al-jazeera-mubasher-24-2.m3u8
[HD]bbc news arabia,https://stream1.freetv.fun/bbc-news-arabia-1.m3u8
[HD]bbc news arabia,https://stream1.freetv.fun/bbc-news-arabia-2.m3u8
Sports,#genre#
[BD]alkass shoof[geo-blocked],https://stream1.freetv.fun/alkass-shoof-1.m3u8
