#This file is automatically generated by https://freetv.fun and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Entertainment,#genre#
[HD]tv asahi,https://stream1.freetv.fun/tv-asahi-1.m3u8
Generic,#genre#
[SD]bs asahi,https://stream1.freetv.fun/bs-asahi-2.m3u8
[SD]bs fuji,https://stream1.freetv.fun/bs-fuji-3.m3u8
[HD]bs tbs,https://stream1.freetv.fun/bs-tbs-3.m3u8
[HD]fuji tv,https://stream1.freetv.fun/fuji-tv-3.m3u8
[HD]mbs,https://stream1.freetv.fun/mbs-1.m3u8
[HD]nhk bs,https://stream1.freetv.fun/nhk-bs-1.m3u8
[HD]nhk world,https://stream1.freetv.fun/nhk-world-9.m3u8
[HD]nhk world,https://stream1.freetv.fun/nhk-world-7.m3u8
[BD]nhk world *s[geo-blocked],https://stream1.freetv.fun/nhk-world--s-1.m3u8
[HD]nhk japan ᴴᴰ,https://stream1.freetv.fun/nhk-japan-hd-1.m3u8
[HD]ช่อง nippon tv,https://stream1.freetv.fun/ch-ng-nippon-tv-1.m3u8
[HD]tbs[geo-blocked],https://stream1.freetv.fun/tbs-6.m3u8
[BD]tokyo mx1,https://stream1.freetv.fun/tokyo-mx1-5.m3u8
[BD]bs tv tokyo,https://stream1.freetv.fun/bs-tv-tokyo-3.m3u8
[HD]bs tv tokyo,https://stream1.freetv.fun/bs-tv-tokyo-2.m3u8
[HD]tv tokyo,https://stream1.freetv.fun/tv-tokyo-1.m3u8
[HD]wowow live,https://stream1.freetv.fun/wowow-live-2.m3u8
[HD]wowow prime[geo-blocked],https://stream1.freetv.fun/wowow-prime-1.ctv
[HD]wowow prime,https://stream1.freetv.fun/wowow-prime-3.m3u8
Kids,#genre#
[BD]animax,https://stream1.freetv.fun/animax-6.m3u8
[HD]boom anime,https://stream1.freetv.fun/boom-anime-2.m3u8
Movies,#genre#
[HD]family gekijyo,https://stream1.freetv.fun/family-gekijyo-2.m3u8
[HD]newflix,https://stream1.freetv.fun/newflix-1.m3u8
[HD]degrassi the next generation[geo-blocked],https://stream1.freetv.fun/degrassi-the-next-generation-1.m3u8
[HD]wowow cinema,https://stream1.freetv.fun/wowow-cinema-1.m3u8
[HD]dtv,https://stream1.freetv.fun/dtv-3.m3u8
[HD]dtv,https://stream1.freetv.fun/dtv-1.m3u8
[VGA]哆啦a梦[geo-blocked],https://stream1.freetv.fun/chi-la-ameng-2.ctv
News,#genre#
[HD]ann news,https://stream1.freetv.fun/ann-news-1.m3u8
[BD]bs11,https://stream1.freetv.fun/bs11-1.m3u8
[HD]kanshi tv,https://stream1.freetv.fun/kanshi-tv-1.m3u8
[VGA]kanizsa tv,https://stream1.freetv.fun/kanizsa-tv-1.m3u8
[HD]kansai tv,https://stream1.freetv.fun/kansai-tv-1.m3u8
[BD]nhk bs4k,https://stream1.freetv.fun/nhk-bs4k-1.m3u8
[BD]news world,https://stream1.freetv.fun/news-world-1.m3u8
[HD]tokyo mx2,https://stream1.freetv.fun/tokyo-mx2-2.m3u8
Other,#genre#
[BD]cgntv japan,https://stream1.freetv.fun/cgntv-japan-1.m3u8
[BD]cgntv japan,https://stream1.freetv.fun/cgntv-japan-2.m3u8
[BD]shop channel,https://stream1.freetv.fun/shop-channel-2.m3u8
[BD]ช่อง jupiter shop channel,https://stream1.freetv.fun/ch-ng-jupiter-shop-channel-1.m3u8
[VGA]alawla tv,https://stream1.freetv.fun/alawla-tv-1.m3u8
[VGA]alawla tv,https://stream1.freetv.fun/alawla-tv-2.m3u8
[VGA]lnktv education,https://stream1.freetv.fun/lnktv-education-1.m3u8
[VGA]ช่อง qvc japan,https://stream1.freetv.fun/ch-ng-qvc-japan-1.m3u8
Sports,#genre#
[HD]gaora sports,https://stream1.freetv.fun/gaora-sports-4.m3u8
[HD]lol! network,https://stream1.freetv.fun/lol--network-1.m3u8
[HD]lol! network,https://stream1.freetv.fun/lol--network-5.m3u8
[VGA]network 10,https://stream1.freetv.fun/network-10-1.m3u8
[HD]unifi sports 1,https://stream1.freetv.fun/unifi-sports-1-1.m3u8
[HD]ert sports 1,https://stream1.freetv.fun/ert-sports-1-1.ctv
[HD]jsport 2,https://stream1.freetv.fun/jsport-2-2.m3u8
[HD]jsport 3,https://stream1.freetv.fun/jsport-3-1.m3u8
[HD]ert sports 4,https://stream1.freetv.fun/ert-sports-4-1.ctv
[BD]ert sports 4,https://stream1.freetv.fun/ert-sports-4-2.m3u8
[HD]jsport 4,https://stream1.freetv.fun/jsport-4-1.m3u8
[HD]fighting tv samurai,https://stream1.freetv.fun/fighting-tv-samurai-1.m3u8
