https://15280.kstore.space/%E5%A5%A5%E5%8F%B0.txt

凡人❤️公告,#genre#
维护Q群315674141,http://122.189.103.25:8010/rtp/228.0.0.235:6108$湖北sxup
长按收藏频道,http://122.189.103.25:8010/rtp/228.0.0.235:6108$湖北sxup
●综艺_荒野求生,http://116.230.254.173:8004/huya/21059578
●综艺_荒野求生,http://39.108.209.49:2999/huya/21059578
●综艺_荒野求生,http://47.96.156.159:517/huya/21059578
●综艺_荒野求生,http://59.153.164.107:6868/huya/21059578
●综艺_荒野求生,http://61.150.115.189:7777/huya/21059578
第一剧场,http://58.48.105.171:4022/rtp/239.69.1.74:10084$湖北cphp1
第一剧场,http://121.60.56.116:10001/rtp/239.69.1.74:10084$湖北sxcp
第一剧场,http://27.19.146.200:2701/rtp/239.69.1.74:10084$湖北sxcp
第一剧场,http://106.116.126.186:4022/rtp/239.254.201.218:7258$河北sxcp
第一剧场,http://121.29.141.88:4022/rtp/239.253.93.138:6428$河北uphp3
第一剧场,http://101.25.231.134:8001/rtp/239.253.93.138:6428$河北sxup
第一剧场,http://121.29.111.252:8888/rtp/239.253.93.138:6428$河北uphp1
第一剧场,http://113.95.140.106:4022/rtp/239.253.43.15:5146$广东cip1
第一剧场,http://113.83.248.144:4200/rtp/239.253.43.15:5146$广东cphp6
第一剧场,http://101.19.11.168:4000/rtp/239.253.93.138:6428$河北uphp3
第一剧场,http://121.34.150.149:8225/rtp/239.253.43.15:5146$广东sxcp
第一剧场,http://111.226.210.6:10010/rtp/239.254.201.218:7258$河北cip1
第一剧场,http://121.29.169.55:8888/rtp/239.253.93.138:6428$河北uip1
第一剧场,http://180.127.35.105:4022/rtp/239.49.8.94:8000$江苏sxcp
第一剧场,http://111.120.8.205:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0$贵阳电信
风云剧场,http://113.83.248.144:4200/rtp/239.253.43.16:5146$广东cphp6
风云剧场,http://121.29.141.88:4022/rtp/239.253.93.251:6429$河北uphp3
风云剧场,http://121.29.169.55:8888/rtp/239.253.93.251:6429$河北uip1
风云剧场,http://111.226.210.6:10010/rtp/239.254.201.219:7257$河北cip1
风云剧场,http://106.116.126.186:4022/rtp/239.254.201.219:7257$河北sxcp
风云剧场,http://101.25.231.134:8001/rtp/239.253.93.251:6429$河北sxup
风云剧场,http://101.19.11.168:4000/rtp/239.253.93.251:6429$河北uphp3
风云剧场,http://121.29.111.252:8888/rtp/239.253.93.251:6429$河北uphp1
风云剧场,http://113.95.140.106:4022/rtp/239.253.43.16:5146$广东cip1
风云剧场,http://121.34.150.149:8225/rtp/239.253.43.16:5146$广东sxcp
风云剧场,http://118.79.19.251:6001/rtp/226.0.2.227:9728$山西uphp14
风云剧场,http://183.188.28.243:6000/rtp/226.0.2.227:9728$山西联通fofa
风云剧场,http://121.33.112.168:54321/rtp/239.253.43.16:5146$广东电信fofa
风云剧场,http://180.105.65.225:9981/rtp/239.49.8.89:8000$江苏新cphp8
风云剧场,http://117.86.191.199:8889/rtp/239.49.8.89:8000$江苏新cphp4
风云剧场,http://111.120.8.205:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0$贵阳电信
风云足球,http://122.189.103.25:8010/rtp/228.0.0.236:6108$湖北sxup
风云足球,http://27.19.146.200:2701/rtp/239.69.1.81:10126$湖北sxcp
风云足球,http://121.60.56.116:10001/rtp/239.69.1.81:10126$湖北sxcp
风云足球,http://58.48.105.171:4022/rtp/239.69.1.81:10126$湖北cphp1
风云足球,http://121.29.111.252:8888/rtp/239.253.93.254:6432$河北uphp1
风云足球,http://101.25.231.134:8001/rtp/239.253.93.254:6432$河北sxup
风云足球,http://106.116.126.186:4022/rtp/239.254.201.222:7251$河北sxcp
风云足球,http://113.83.248.144:4200/rtp/239.253.43.14:5146$广东cphp6
风云足球,http://121.29.169.55:8888/rtp/239.253.93.254:6432$河北uip1
风云足球,http://121.29.141.88:4022/rtp/239.253.93.254:6432$河北uphp3
风云足球,http://121.34.150.149:8225/rtp/239.253.43.14:5146$广东sxcp
风云足球,http://101.19.11.168:4000/rtp/239.253.93.254:6432$河北uphp3
风云足球,http://113.95.140.106:4022/rtp/239.253.43.14:5146$广东cip1
风云足球,http://111.226.210.6:10010/rtp/239.254.201.222:7251$河北cip1
风云足球,http://219.140.5.23:8888/rtp/239.69.1.81:10126$湖北fofa
风云足球,http://111.120.8.205:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0$贵阳电信
风云音乐,http://113.95.140.106:4022/rtp/239.253.43.29:5146$广东cip1
风云音乐,http://106.116.126.186:4022/rtp/239.254.201.221:7259$河北sxcp
风云音乐,http://121.29.169.55:8888/rtp/239.253.93.253:6431$河北uip1
风云音乐,http://113.83.248.144:4200/rtp/239.253.43.29:5146$广东cphp6
风云音乐,http://111.226.210.6:10010/rtp/239.254.201.221:7259$河北cip1
风云音乐,http://121.34.150.149:8225/rtp/239.253.43.29:5146$广东sxcp
风云音乐,http://121.29.111.252:8888/rtp/239.253.93.253:6431$河北uphp1
风云音乐,http://121.29.141.88:4022/rtp/239.253.93.253:6431$河北uphp3
风云音乐,http://101.25.231.134:8001/rtp/239.253.93.253:6431$河北sxup
风云音乐,http://101.19.11.168:4000/rtp/239.253.93.253:6431$河北uphp3
风云音乐,http://183.161.57.97:55555/rtp/238.1.79.64:4648$安徽sxcp
风云音乐,http://36.56.113.243:4022/rtp/238.1.79.64:4648$安徽sxcp
风云音乐,http://121.226.22.124:55555/rtp/239.49.8.92:8000$江苏新cphp3
风云音乐,http://180.105.65.225:9981/rtp/239.49.8.92:8000$江苏新cphp8
风云音乐,http://61.134.250.76:8002/rtp/226.0.2.220:9672$山西联通fofa
风云音乐,http://111.120.8.205:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0$贵阳电信
高尔夫网球,http://27.19.146.200:2701/rtp/239.69.1.83:10138$湖北sxcp
高尔夫网球,http://58.48.105.171:4022/rtp/239.69.1.83:10138$湖北cphp1
高尔夫网球,http://121.60.56.116:10001/rtp/239.69.1.83:10138$湖北sxcp
高尔夫网球,http://101.19.11.168:4000/rtp/239.253.93.122:6465$河北uphp3
高尔夫网球,http://121.34.150.149:8225/rtp/239.253.43.12:5146$广东sxcp
高尔夫网球,http://121.29.141.88:4022/rtp/239.253.93.122:6465$河北uphp3
高尔夫网球,http://111.226.210.6:10010/rtp/239.254.201.223:7252$河北cip1
高尔夫网球,http://113.95.140.106:4022/rtp/239.253.43.12:5146$广东cip1
高尔夫网球,http://106.116.126.186:4022/rtp/239.254.201.223:7252$河北sxcp
高尔夫网球,http://113.83.248.144:4200/rtp/239.253.43.12:5146$广东cphp6
高尔夫网球,http://101.25.231.134:8001/rtp/239.253.93.122:6465$河北sxup
高尔夫网球,http://121.29.169.55:8888/rtp/239.253.93.122:6465$河北uip1
高尔夫网球,http://121.29.111.252:8888/rtp/239.253.93.122:6465$河北uphp1
高尔夫网球,http://183.161.57.97:55555/rtp/238.1.79.58:4600$安徽sxcp
高尔夫网球,http://121.233.135.76:4022/rtp/239.49.8.86:8000$江苏新cphp6
高尔夫网球,http://111.120.8.205:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0$贵阳电信
凤凰卫视中文台,http://116.77.33.98:44330/tsfile/live/1011_1.m3u8?key=txiptv&playlive=0&authid=0$深圳天威







❤️新港奥台1,#genre#

Plus综合频限,http://t.061899.xyz/tl/js/api.php?id=tvbplus
pₒₚc电影频限,http://t.061899.xyz/tl/js/api.php?id=popc
Now爆谷频限,http://t.061899.xyz/tl/js/api.php?id=nowbgt
Now星影频限,http://t.061899.xyz/tl/js/api.php?id=nowbgxyt
中天新闻频限,http://t.061899.xyz/tl/js/api.php?id=ztxw
中天新闻加限,http://t.061899.xyz/tl/js/api.php?id=2ctiztt
有线新闻频限,http://t.061899.xyz/tl/js/api.php?id=78hoy
有线新闻频限,http://t.061899.xyz/tl/js/api.php?id=78hoy1
无线新闻频限,http://t.061899.xyz/tl/js/api.php?id=tvbwxxwt
Now新闻频限,http://t.061899.xyz/tl/js/api.php?id=nowxwt
凤凰中文频限,http://t.061899.xyz/tl/js/api.php?id=fhzwt
凤凰资讯频限,http://t.061899.xyz/tl/js/api.php?id=fhzxt
凤凰香港频限,http://t.061899.xyz/tl/js/api.php?id=fhxgt
无线翡翠频限,http://t.061899.xyz/tl/js/api.php?id=fct
无线明珠频限,http://t.061899.xyz/tl/js/api.php?id=tvbmzt
无线娱乐频限,http://t.061899.xyz/tl/js/api.php?id=tvbylxw
无线生活频限,http://t.061899.xyz/tl/js/api.php?id=tvbsht
无线星河国限,http://t.061899.xyz/tl/js/api.php?id=tvbxhpdg
无线星河粤限,http://t.061899.xyz/tl/js/api.php?id=tvbxhpdy
无线功夫国限,http://t.061899.xyz/tl/js/api.php?id=tvbgfty
无线功夫粤限,http://t.061899.xyz/tl/js/api.php?id=tvbgftg
无线千禧频限,http://t.061899.xyz/tl/js/api.php?id=tvbqxjd
无线经典频限,http://t.061899.xyz/tl/js/api.php?id=mytvqxjdt
无线综合频限,http://t.061899.xyz/tl/js/api.php?id=tvbsuperfree
无线亚综频限,http://t.061899.xyz/tl/js/api.php?id=yzzhylt
无线亚剧频限,http://t.061899.xyz/tl/js/api.php?id=yzjt
无线华剧频限,http://t.061899.xyz/tl/js/api.php?id=hyjt
无线戏曲频限,http://t.061899.xyz/tl/js/api.php?id=xqt
无线粤片频限,http://t.061899.xyz/tl/js/api.php?id=yypt
无线少儿频限,http://t.061899.xyz/tl/js/api.php?id=handsup
有线综合频限,http://t.061899.xyz/tl/js/api.php?id=77hoy
有线综合频限,http://t.061899.xyz/tl/js/api.php?id=77hoy1
有线赛讯频限,http://t.061899.xyz/tl/js/api.php?id=76hoy
有线赛讯频限,http://t.061899.xyz/tl/js/api.php?id=76hoy1
有线赛马频限,http://t.061899.xyz/tl/js/api.php?id=18hkct
无线赛马频限,http://t.061899.xyz/tl/js/api.php?id=18cpm
88台赛马频限,http://t.061899.xyz/tl/js/api.php?id=88pmt
28aI赛马频限,http://t.061899.xyz/tl/js/api.php?id=28aizhsm
黄金翡翠频限,http://t.061899.xyz/tl/js/api.php?id=hjfct
黄金华剧频限,http://t.061899.xyz/tl/js/api.php?id=hjhjt
Now华剧频限,http://t.061899.xyz/tl/js/api.php?id=nowhjt
Now剧集频限,http://t.061899.xyz/tl/js/api.php?id=nowjjt
Now紫金频限,http://t.061899.xyz/tl/js/api.php?id=nowjellizjgj
Now直播频限,http://t.061899.xyz/tl/js/api.php?id=nowzbt
Now财经频限,http://t.061899.xyz/tl/js/api.php?id=nowcjt
VIUTV-粤频限,http://t.061899.xyz/tl/js/api.php?id=viutv
VIUTV-英频限,http://t.061899.xyz/tl/js/api.php?id=6viutv
RTHK-31频限,http://t.061899.xyz/tl/js/api.php?id=31rthk
RTHK-32频限,http://t.061899.xyz/tl/js/api.php?id=32rthk
HUB娱家频限,http://t.061899.xyz/tl/js/api.php?id=yjt
HUB都会频限,http://t.061899.xyz/tl/js/api.php?id=dht
Ftv1时代频限,http://t.061899.xyz/tl/js/api.php?id=1xsd
Ftv2时代频限,http://t.061899.xyz/tl/js/api.php?id=2xsd
城市电视频限,http://t.061899.xyz/tl/js/api.php?id=csds
天映经典频限,http://t.061899.xyz/tl/js/api.php?id=tyjd
美亚电影国限,http://t.061899.xyz/tl/js/api.php?id=mydyy
美亚电影粤限,http://t.061899.xyz/tl/js/api.php?id=mydyg
中国电影频限,http://t.061899.xyz/tl/js/api.php?id=zgdypd
mytv直播-2限,http://t.061899.xyz/tl/js/api.php?id=2mysuperzbzqt
mytv直播-3限,http://t.061899.xyz/tl/js/api.php?id=3mysuperzbzqt
mytv直播-4限,http://t.061899.xyz/tl/js/api.php?id=4mysuperzbzqt
mytv直播-5限,http://t.061899.xyz/tl/js/api.php?id=5mysuperzbzqt
mytv直播-6限,http://t.061899.xyz/tl/js/api.php?id=6mysuperzbzqt

❤️新港澳台2,#genre#


中天新闻频限,http://t.061899.xyz/tl/js/api.php?id=ztxw
中天新闻加限,http://t.061899.xyz/tl/js/api.php?id=2ctiztt
寰宇新闻频限,http://t.061899.xyz/tl/js/api.php?id=hyxw
东森新闻频限,http://t.061899.xyz/tl/js/api.php?id=dsxw
tvbs新闻频限,http://t.061899.xyz/tl/js/api.php?id=tvbsxwt
公视新闻频限,http://t.061899.xyz/tl/js/api.php?id=gsxww
中视新闻频限,http://t.061899.xyz/tl/js/api.php?id=zsxw
公视闽南频限,http://t.061899.xyz/tl/js/api.php?id=gs
中视闽南频限,http://t.061899.xyz/tl/js/api.php?id=zs
寰宇闽南频限,http://t.061899.xyz/tl/js/api.php?id=hyxwtw
tvbs闽南频限,http://t.061899.xyz/tl/js/api.php?id=tvbshd
霹雳闽南频限,http://t.061899.xyz/tl/js/api.php?id=pltwt
公视戏剧频限,http://t.061899.xyz/tl/js/api.php?id=gsxj
民视第一频限,http://t.061899.xyz/tl/js/api.php?id=msdyt
民视闽语频限,http://t.061899.xyz/tl/js/api.php?id=mstwt
民视影剧频限,http://t.061899.xyz/tl/js/api.php?id=msyjt
民视旅游频限,http://t.061899.xyz/tl/js/api.php?id=mslyt
民视综艺频限,http://t.061899.xyz/tl/js/api.php?id=mszyt
中视经典频限,http://t.061899.xyz/tl/js/api.php?id=zsjd
中视菁采频限,http://t.061899.xyz/tl/js/api.php?id=zsjc
中天综合频限,http://t.061899.xyz/tl/js/api.php?id=ztzh
中天娱乐频限,http://t.061899.xyz/tl/js/api.php?id=ztyl
台视综合频限,http://t.061899.xyz/tl/js/api.php?id=tszh
台视财经频限,http://t.061899.xyz/tl/js/api.php?id=tscj
寰宇财经频限,http://t.061899.xyz/tl/js/api.php?id=hycj
八大第一频限,http://t.061899.xyz/tl/js/api.php?id=bddyt
