https://live.tv.darwinchow.com/sub/02RzWQriTE3jE01zZXNlrNeHDTH1cT/txt
央视,#genre#
CCTV-1综合,https://live.tv.darwinchow.com/channel/cctv1?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
CCTV-2财经,https://live.tv.darwinchow.com/channel/cctv2?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
CCTV-3综艺,https://live.tv.darwinchow.com/channel/cctv3?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
CCTV-4中文国际,https://live.tv.darwinchow.com/channel/cctv4?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
CCTV-5体育,https://live.tv.darwinchow.com/channel/cctv5?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
CCTV-5+体育赛事,https://live.tv.darwinchow.com/channel/cctv5p?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
CCTV-6电影,https://live.tv.darwinchow.com/channel/cctv6?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
CCTV-7国防军事,https://live.tv.darwinchow.com/channel/cctv7?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
CCTV-8电视剧,https://live.tv.darwinchow.com/channel/cctv8?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
CCTV-9纪录,https://live.tv.darwinchow.com/channel/cctv9?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
CCTV-10科教,https://live.tv.darwinchow.com/channel/cctv10?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
CCTV-11戏曲,https://live.tv.darwinchow.com/channel/cctv11?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
CCTV-12社会与法,https://live.tv.darwinchow.com/channel/cctv12?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
CCTV-13新闻,https://live.tv.darwinchow.com/channel/cctv13?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
CCTV-14少儿,https://live.tv.darwinchow.com/channel/cctv14?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
CCTV-15音乐,https://live.tv.darwinchow.com/channel/cctv15?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
CCTV-16奥林匹克,https://live.tv.darwinchow.com/channel/cctv16?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
CCTV-16奥林匹克4K,https://live.tv.darwinchow.com/channel/cctv164k?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
CCTV-17农业农村,https://live.tv.darwinchow.com/channel/cctv17?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
