全剧集,#genre#
虎帅,https://v4.xingchongwang.com/yyv4/202410/07/kPsPiEAXS915/video/index.m3u8
诡事,https://p.b8bf.com/video/qimenguishilu/全集/index.m3u8
神尊,https://v6.bxgbnet.com/yyv6/202410/08/h92yEBxQ8S12/video/index.m3u8
龙(全),https://v9.bxgbnet.com/yyv9/202405/10/KWaAqWr47D18/video/index.m3u8
君帝,https://v11.yuglf.com/202405/07/qumSVDzkc23/video/index.m3u8
帝,https://c1.rrcdnbf3.com/video/jueshidijun/全集/index.m3u8
凉王(1-20),https://v3.xingchongwang.com/yyv3/202312/25/sudEqqfNn92/video/index.m3u8
凉王(21-40),https://v3.xingchongwang.com/yyv3/202312/25/umEqMEs8YW2/video/index.m3u8
凉王(41-60),https://v3.xingchongwang.com/yyv3/202312/25/bTUcUfPbyF2/video/index.m3u8
凉王(61-80),https://v3.xingchongwang.com/yyv3/202312/25/Rew5RhBBzk2/video/index.m3u8
夜王,https://v3.bxgbnet.com/yyv3/202406/04/j9sQXTcXgP2/video/index.m3u8
离王,https://v4.bxgbnet.com/yyv4/202406/03/qUSxsy82fj4/video/index.m3u8
邪物典当铺,https://v13.fentvoss.com/yyv13/202508/12/xtgWyidxeF20/video/index.m3u8
养老院当院长,https://v2.xingchongwang.com/yyv2/202412/16/3aj2nS75zr21/video/index.m3u8
圣君,https://v3.gggread.com/wjv3/202405/07/2qgmxU0cTr75/video/index.m3u8
剔骨还父,https://v2.yuglf.com/202412/16/i9Nh0q0pnt23/video/2000k_1080/hls/index.m3u8
仙帝护妻,https://vd4.bdstatic.com/mda-rfdjpxa92jv3eap2/576p/h264/1749911290342653178/mda-rfdjpxa92jv3eap2.mp4
逆仙,https://vd3.bdstatic.com/mda-rf9ish8cn2nhevyc/576p/h264/1749561712728710599/mda-rf9ish8cn2nhevyc.mp4
雀,https://m.82mao.com/em3u8/bfzym3u8/quehou%E5%85%A8.m3u8
中餐,https://v14.fentvoss.com/yyv14/202507/26/GZEBuKtDk621/video/index.m3u8
总裁,https://v10.bxgbnet.com/yyv10/202404/22/MrafY5aBw715/video/index.m3u8
唐门,https://v10.bxgbnet.com/sdv10/202404/17/4RpkwR4DM015/video/index.m3u8
七日之期,#genre#
七1,https://dj3.yingxi.cc/duanju/0701tj/22311-%E5%8C%BB%E5%A6%83%E5%A4%A9%E4%B8%8B%EF%BC%8875%E9%9B%86%EF%BC%89%E7%9F%B3%E4%BD%B3%EF%BC%86%E8%AF%97%E8%B6%8A%E8%B6%8A/1.mp4
七2,https://dj3.yingxi.cc/duanju/0701tj/22311-%E5%8C%BB%E5%A6%83%E5%A4%A9%E4%B8%8B%EF%BC%8875%E9%9B%86%EF%BC%89%E7%9F%B3%E4%BD%B3%EF%BC%86%E8%AF%97%E8%B6%8A%E8%B6%8A/2.mp4
七3,https://dj3.yingxi.cc/duanju/0701tj/22311-%E5%8C%BB%E5%A6%83%E5%A4%A9%E4%B8%8B%EF%BC%8875%E9%9B%86%EF%BC%89%E7%9F%B3%E4%BD%B3%EF%BC%86%E8%AF%97%E8%B6%8A%E8%B6%8A/3.mp4
七4,https://dj3.yingxi.cc/duanju/0701tj/22311-%E5%8C%BB%E5%A6%83%E5%A4%A9%E4%B8%8B%EF%BC%8875%E9%9B%86%EF%BC%89%E7%9F%B3%E4%BD%B3%EF%BC%86%E8%AF%97%E8%B6%8A%E8%B6%8A/4.mp4
七5,https://dj3.yingxi.cc/duanju/0701tj/22311-%E5%8C%BB%E5%A6%83%E5%A4%A9%E4%B8%8B%EF%BC%8875%E9%9B%86%EF%BC%89%E7%9F%B3%E4%BD%B3%EF%BC%86%E8%AF%97%E8%B6%8A%E8%B6%8A/5.mp4
七6,https://dj3.yingxi.cc/duanju/0701tj/22311-%E5%8C%BB%E5%A6%83%E5%A4%A9%E4%B8%8B%EF%BC%8875%E9%9B%86%EF%BC%89%E7%9F%B3%E4%BD%B3%EF%BC%86%E8%AF%97%E8%B6%8A%E8%B6%8A/6.mp4
七7,https://dj3.yingxi.cc/duanju/0701tj/22311-%E5%8C%BB%E5%A6%83%E5%A4%A9%E4%B8%8B%EF%BC%8875%E9%9B%86%EF%BC%89%E7%9F%B3%E4%BD%B3%EF%BC%86%E8%AF%97%E8%B6%8A%E8%B6%8A/7.mp4
七8,https://dj3.yingxi.cc/duanju/0701tj/22311-%E5%8C%BB%E5%A6%83%E5%A4%A9%E4%B8%8B%EF%BC%8875%E9%9B%86%EF%BC%89%E7%9F%B3%E4%BD%B3%EF%BC%86%E8%AF%97%E8%B6%8A%E8%B6%8A/8.mp4
七9,https://dj3.yingxi.cc/duanju/0701tj/22311-%E5%8C%BB%E5%A6%83%E5%A4%A9%E4%B8%8B%EF%BC%8875%E9%9B%86%EF%BC%89%E7%9F%B3%E4%BD%B3%EF%BC%86%E8%AF%97%E8%B6%8A%E8%B6%8A/9.mp4
七10,https://dj3.yingxi.cc/duanju/0701tj/22311-%E5%8C%BB%E5%A6%83%E5%A4%A9%E4%B8%8B%EF%BC%8875%E9%9B%86%EF%BC%89%E7%9F%B3%E4%BD%B3%EF%BC%86%E8%AF%97%E8%B6%8A%E8%B6%8A/10.mp4
七11,https://dj3.yingxi.cc/duanju/0701tj/22311-%E5%8C%BB%E5%A6%83%E5%A4%A9%E4%B8%8B%EF%BC%8875%E9%9B%86%EF%BC%89%E7%9F%B3%E4%BD%B3%EF%BC%86%E8%AF%97%E8%B6%8A%E8%B6%8A/11.mp4
七12,https://dj3.yingxi.cc/duanju/0701tj/22311-%E5%8C%BB%E5%A6%83%E5%A4%A9%E4%B8%8B%EF%BC%8875%E9%9B%86%EF%BC%89%E7%9F%B3%E4%BD%B3%EF%BC%86%E8%AF%97%E8%B6%8A%E8%B6%8A/12.mp4
七13,https://dj3.yingxi.cc/duanju/0701tj/22311-%E5%8C%BB%E5%A6%83%E5%A4%A9%E4%B8%8B%EF%BC%8875%E9%9B%86%EF%BC%89%E7%9F%B3%E4%BD%B3%EF%BC%86%E8%AF%97%E8%B6%8A%E8%B6%8A/13.mp4
七14,https://dj3.yingxi.cc/duanju/0701tj/22311-%E5%8C%BB%E5%A6%83%E5%A4%A9%E4%B8%8B%EF%BC%8875%E9%9B%86%EF%BC%89%E7%9F%B3%E4%BD%B3%EF%BC%86%E8%AF%97%E8%B6%8A%E8%B6%8A/14.mp4
七15,https://dj3.yingxi.cc/duanju/0701tj/22311-%E5%8C%BB%E5%A6%83%E5%A4%A9%E4%B8%8B%EF%BC%8875%E9%9B%86%EF%BC%89%E7%9F%B3%E4%BD%B3%EF%BC%86%E8%AF%97%E8%B6%8A%E8%B6%8A/15.mp4
七16,https://dj3.yingxi.cc/duanju/0701tj/22311-%E5%8C%BB%E5%A6%83%E5%A4%A9%E4%B8%8B%EF%BC%8875%E9%9B%86%EF%BC%89%E7%9F%B3%E4%BD%B3%EF%BC%86%E8%AF%97%E8%B6%8A%E8%B6%8A/16.mp4
七17,https://dj3.yingxi.cc/duanju/0701tj/22311-%E5%8C%BB%E5%A6%83%E5%A4%A9%E4%B8%8B%EF%BC%8875%E9%9B%86%EF%BC%89%E7%9F%B3%E4%BD%B3%EF%BC%86%E8%AF%97%E8%B6%8A%E8%B6%8A/17.mp4
七18,https://dj3.yingxi.cc/duanju/0701tj/22311-%E5%8C%BB%E5%A6%83%E5%A4%A9%E4%B8%8B%EF%BC%8875%E9%9B%86%EF%BC%89%E7%9F%B3%E4%BD%B3%EF%BC%86%E8%AF%97%E8%B6%8A%E8%B6%8A/18.mp4
七19,https://dj3.yingxi.cc/duanju/0701tj/22311-%E5%8C%BB%E5%A6%83%E5%A4%A9%E4%B8%8B%EF%BC%8875%E9%9B%86%EF%BC%89%E7%9F%B3%E4%BD%B3%EF%BC%86%E8%AF%97%E8%B6%8A%E8%B6%8A/19.mp4
七20,https://dj3.yingxi.cc/duanju/0701tj/22311-%E5%8C%BB%E5%A6%83%E5%A4%A9%E4%B8%8B%EF%BC%8875%E9%9B%86%EF%BC%89%E7%9F%B3%E4%BD%B3%EF%BC%86%E8%AF%97%E8%B6%8A%E8%B6%8A/20.mp4
七21,https://dj3.yingxi.cc/duanju/0701tj/22311-%E5%8C%BB%E5%A6%83%E5%A4%A9%E4%B8%8B%EF%BC%8875%E9%9B%86%EF%BC%89%E7%9F%B3%E4%BD%B3%EF%BC%86%E8%AF%97%E8%B6%8A%E8%B6%8A/21.mp4
七22,https://dj3.yingxi.cc/duanju/0701tj/22311-%E5%8C%BB%E5%A6%83%E5%A4%A9%E4%B8%8B%EF%BC%8875%E9%9B%86%EF%BC%89%E7%9F%B3%E4%BD%B3%EF%BC%86%E8%AF%97%E8%B6%8A%E8%B6%8A/22.mp4
