http://tv.l5.ca/i/?T=星途观影818
星途观影,#genre#
泡沫橘颂整理,http://em.21dtv.com/songs/60143060.mkv
追梦人个人自用,http://em.21dtv.com/songs/60138281.mkv
QQ948813861,荷塘月色色,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_1565837&response=res&format=mp4&type=convert_url

央视频道,#genre#

CCTV1,http://223.109.75.19:8000/057754/index.m3u8
CCTV2,http://223.109.75.19:8000/061465/index.m3u8
CCTV3,http://223.109.75.19:8000/830965/index.m3u8
CCTV4,http://223.109.75.19:8000/143097/index.m3u8
CCTV5,http://223.109.75.19:8000/930480/index.m3u8
CCTV5+,http://223.109.75.19:8000/470540/index.m3u8
CCTV6,http://223.109.75.19:8000/520737/index.m3u8
CCTV7,http://223.109.75.19:8000/649185/index.m3u8
CCTV8,http://223.109.75.19:8000/235836/index.m3u8
CCTV9,http://223.109.75.19:8000/827648/index.m3u8
CCTV10,http://223.109.75.19:8000/502378/index.m3u8
CCTV11,http://223.109.75.19:8000/554982/index.m3u8
CCTV12,http://223.109.75.19:8000/422642/index.m3u8
CCTV13,http://223.109.75.19:8000/593087/index.m3u8
CCTV14,http://223.109.75.19:8000/271607/index.m3u8
CCTV15,http://223.109.75.19:8000/399438/index.m3u8
CCTV16,http://223.109.75.19:8000/246232/index.m3u8
CCTV17,http://223.109.75.19:8000/299438/index.m3u8

卫视频道,#genre#
河北卫视,http://223.109.75.19:8000/419638/index.m3u8
北京卫视,http://223.109.75.19:8000/184577/index.m3u8
天津卫视,http://223.109.75.19:8000/025564/index.m3u8
东方卫视,http://223.109.75.19:8000/060184/index.m3u8
重庆卫视,http://223.109.75.19:8000/645035/index.m3u8
湖南卫视,http://115.52.127.45:880/CH017.m3u8
浙江卫视,http://223.109.75.19:8000/925335/index.m3u8
江苏卫视,http://223.109.75.19:8000/207246/index.m3u8
山东卫视,http://223.109.75.19:8000/067624/index.m3u8
河南卫视,http://223.109.75.19:8000/330711/index.m3u8
吉林卫视,http://223.109.75.19:8000/897356/index.m3u8
辽宁卫视,http://223.109.75.19:8000/734558/index.m3u8
黑龙江卫视,http://223.109.75.19:8000/159311/index.m3u8
安徽卫视,http://223.109.75.19:8000/761325/index.m3u8
四川卫视,http://223.109.75.19:8000/940076/index.m3u8
深圳卫视,http://223.109.75.19:8000/671133/index.m3u8
东南卫视,http://223.109.75.19:8000/035961/index.m3u8
湖北卫视,http://223.109.75.19:8000/778621/index.m3u8
甘肃卫视,http://223.109.75.19:8000/537964/index.m3u8
贵州卫视,http://223.109.75.19:8000/742800/index.m3u8
江西卫视,http://223.109.75.19:8000/871086/index.m3u8
广东卫视,http://xxwx.yoesun.com/xxw/卫视4K.php?id=gd4k
广西卫视,http://223.109.75.19:8000/973044/index.m3u8
云南卫视,http://223.109.75.19:8000/637208/index.m3u8
陕西卫视,http://42.225.117.174:11199/tsfile/live/0136_1.m3u8
山西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=sxiws
海南卫视,http://223.109.75.19:8000/892740/index.m3u8
青海卫视,http://223.109.75.19:8000/784090/index.m3u8
新疆卫视,http://42.225.117.174:11199/tsfile/live/0110_1.m3u8
新疆卫视,http://223.109.75.19:8000/337572/index.m3u8
内蒙古卫视,http://49.235.65.250:600/neimeng/neimeng.php?id=nmws
西藏卫视,http://49.235.65.250:600/xizang/xizang.php?id=xzws

河北卫视,https://mursor.ottiptv.cc/bst/hbwshd4m@4000000.m3u8
北京卫视,https://mursor.ottiptv.cc/bst/bjwshd@4000000.m3u8
天津卫视,https://mursor.ottiptv.cc/bst/tjwshd@4000000.m3u8
东方卫视,https://mursor.ottiptv.cc/bst/hddfws@4000000.m3u8
重庆卫视,https://mursor.ottiptv.cc/bst/cqwshd4m@4000000.m3u8
湖南卫视,https://mursor.ottiptv.cc/bst/hnwshd@4000000.m3u8
浙江卫视,https://mursor.ottiptv.cc/bst/zjwshd@4000000.m3u8
江苏卫视,https://mursor.ottiptv.cc/bst/jswshd@4000000.m3u8
山东卫视,https://mursor.ottiptv.cc/bst/sdwshd@4000000.m3u8
河南卫视,https://mursor.ottiptv.cc/bst/henwshd4m@4000000.m3u8
吉林卫视,https://mursor.ottiptv.cc/bst/jlwshd4m@4000000.m3u8
辽宁卫视,https://mursor.ottiptv.cc/bst/lnwshd@4000000.m3u8
黑龙江卫视,https://mursor.ottiptv.cc/bst/hljwshd@4000000.m3u8
安徽卫视,https://mursor.ottiptv.cc/bst/ahwshd@4000000.m3u8
四川卫视,https://mursor.ottiptv.cc/bst/scwshd4m@4000000.m3u8
深圳卫视,https://mursor.ottiptv.cc/bst/szwshd@4000000.m3u8
东南卫视,https://mursor.ottiptv.cc/bst/dnwshd@4000000.m3u8
湖北卫视,https://mursor.ottiptv.cc/bst/hbwshd@4000000.m3u8
甘肃卫视,https://mursor.ottiptv.cc/bst/gswshd4m@4000000.m3u8
贵州卫视,https://mursor.ottiptv.cc/bst/gzwshd4m@4000000.m3u8
