    <meta name="viewport" content="width=device-width, initial-scale=0.9">
港台,#genre# 
TVBPlus,http://cdn.101.qzz.io/live/tvbp/stream.m3u8
TVBPlus,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_j2.flv
POPC,https://fr-us7.jdiptv.cc/live/popc.m3u8
POPC,http://tl.061833.xyz/tl/popc
TVB生活台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=wNXx2B&tk=GoV31YZtt4BW
TVB星河台(国),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=4Xr6fz&tk=GoV31YZtt4BW
TVB功夫台(国),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=duNSyt&tk=GoV31YZtt4BW
Now星影台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=rXbwty&tk=GoV31YZtt4BW
Now爆谷台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=oNY9gh&tk=GoV31YZtt4BW
黄金华剧台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=owdLSH&tk=GoV31YZtt4BW
港版美亚(国),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=2lJD8w&tk=GoV31YZtt4BW
港版美亚(粤),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=kZBxQK&tk=GoV31YZtt4BW
PopC电影台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=6G8aNE&tk=GoV31YZtt4BW
天映经典,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=h0hIYB&tk=GoV31YZtt4BW
年代much,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=YFhenu&tk=GoV31YZtt4BW
美亚电影(台),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=dnHpSG&tk=GoV31YZtt4BW
Now新闻台,http://cdn.101.qzz.io/live/now/stream.m3u8
中天新闻,http://push-rtmp-hs-spe-f5.douyincdn.com/live/KNxQhC5Pd0QWdsDuYnX84iZanamxeIGuZ1rGHgVlSPqkHm8y1E.flv
中天新闻,https://haoyunlai.serv00.net/Smartv-1.php?id=ctinews
中天新闻,https://gdfire2.67890123.cn:8088/live/ztxw201.m3u8
有线新闻台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_hoy78.flv
有线新闻台,https://haoyunlai.serv00.net/Smartv-1.php?id=hoycaijing_twn
无线新闻台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_wxxw.flv
无线新闻台,http://erp.giihgtidg.com:8080/live/wxxw01.m3u8
翡翠台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_jade.flv
翡翠台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/xiangjiaoge15131132145.flv
翡翠台,http://erp.giihgtidg.com:8080/live/jade01.m3u8
明珠台,http://cdn.101.qzz.io/live/mzt/stream.m3u8
有线综合,http://cdn.101.qzz.io/live/hoy/stream.m3u8
有线综合,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_hoy77.flv
有线综合,http://push-rtmp-hs-spe-f5.douyincdn.com/live/xiangjiaogehoy77511.flv
寰宇新闻台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/XNkGn6bw9KKiK2y0RcgHRVke7yQhC5PkQ4hkeRMVJUGHhzCm45.flv
民视第一,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_msdy.flv
民视,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_mstw.flv
东森超视,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_dscs.flv
东森综合,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_dszh.flv
中天亚洲,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_ztyz.flv
中天综合,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_ztzh.flv
八大第一,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_bddy.flv
八大综合,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_bdzh.flv
