    <meta name="viewport" content="width=device-width, initial-scale=0.9">
华文电影,#genre#
美亚电影台,http://t.061899.xyz/tl/js/tw.php?id=mydyyy
CCM,http://t.061899.xyz/tl/168.php?id=tyjd
天映频道,http://t.061899.xyz/tl/168.php?id=typd
POPC,https://fr-us7.jdiptv.cc/live/popc.m3u8
粤语片,http://lxajh.top/tv/douyu.php?id=1226741
爆谷台,http://j.s.bkpcp.top/js/nowbgt
星影台,http://j.s.bkpcp.top/js/nowxyt
极限电影台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/hktv-jstv.flv
TW_169169,#genre#
极限,http://live.urren.net:80/live/6a4814b30902b345400f42b24caa4179.flv
happy,http://live.urren.net:80/live/aa979aaf165824a668b5ca779f1253c5.flv
香蕉,http://live.urren.net:80/live/e970e32dc71872e97db4bd2b6d91eeba.flv
惊艳,http://live.urren.net:80/live/6bd51d389bc5ed3fd460bb316156a936.flv
潘朵拉,http://live.urren.net:80/live/21dc2da2c62171e65c9ec87f83993694.flv
彩虹电影,http://live.urren.net:80/live/69c70e830fb9e5e2b6a59481365ea41c.flv
K频道,http://live.urren.net:80/live/c07e7399f939f4d44ee0c4ff57e8d7f4.flv
E频道,http://live.urren.net:80/live/c135e0e7ccf978fd32bfde2e1848929c.flv
松视3,http://live.urren.net:80/live/5335f2c40b0343938fa20894386034a2.flv
松视1,http://live.urren.net:80/live/1b2bc1962ccfb96d0eb5a162ad800a5b.flv
pigo,http://163.181.88.169:80/live.jnjyapp.cn/live/70b6dcb5e3f29256fe259998ea49c74c.flv
bxtv,#genre#
myTV SUPER 18台,http://bxtv.3a.ink/api.php?id=18
TVB Plus,http://bxtv.3a.ink/api.php?id=tvbp
明珠台,http://bxtv.3a.ink/api.php?id=mz
無線新聞台,http://bxtv.3a.ink/api.php?id=wxxw
美亞電影台,http://bxtv.3a.ink/api.php?id=meiya
PopC,http://bxtv.3a.ink/api.php?id=popc
VIUTV,http://bxtv.3a.ink/api.php?id=viutv
千禧經典台,http://bxtv.3a.ink/api.php?id=qxjd
翡翠台,http://bxtv.3a.ink/api.php?id=fct
鳳凰衛視中文台,http://bxtv.3a.ink/api.php?id=fhzw
鳳凰衛視資訊台,http://bxtv.3a.ink/api.php?id=fhzx
鳳凰衛視香港台,http://bxtv.3a.ink/api.php?id=fhhk
NOW新闻,http://bxtv.3a.ink/api.php?id=now
緯來體育,http://bxtv.3a.ink/api.php?id=wlty
中天新聞台,http://bxtv.3a.ink/api.php?id=ztxw
中天亞洲台,http://bxtv.3a.ink/api.php?id=ztyz
台視,http://bxtv.3a.ink/api.php?id=taishi
台視新聞台,http://bxtv.3a.ink/api.php?id=tsxw
中視,http://bxtv.3a.ink/api.php?id=zhongshi
中視新聞台,http://bxtv.3a.ink/api.php?id=zsxw
民視,http://bxtv.3a.ink/api.php?id=minshi
民視新聞台,http://bxtv.3a.ink/api.php?id=msxw
民視台灣台,http://bxtv.3a.ink/api.php?id=mstw
華視,http://bxtv.3a.ink/api.php?id=huashi
八大第一,http://bxtv.3a.ink/api.php?id=bddy
八大綜合,http://bxtv.3a.ink/api.php?id=bdzh
HBO,http://bxtv.3a.ink/api.php?id=hbo
寰宇新聞台,http://bxtv.3a.ink/api.php?id=hyxw
緯來電影,http://bxtv.3a.ink/api.php?id=wldy
東森電影,http://bxtv.3a.ink/api.php?id=dsdy
東森幼幼,http://bxtv.3a.ink/api.php?id=dsyy
台灣美亞電影,http://bxtv.3a.ink/api.php?id=twmeiya
TVBS,http://bxtv.3a.ink/api.php?id=tvbs
广东体育,http://bxtv.3a.ink/api.php?id=gdty
广东珠江,http://bxtv.3a.ink/api.php?id=gdzj
