    <meta name="viewport" content="width=device-width, initial-scale=0.9">



🇭🇰阿烈,#genre#
香港|翡翠台,http://weixin.qq.home.kg/smtv.php?id=jade_twn
香港|翡翠台 backup,http://weixin.qq.home.kg/smtv.php?id=Jade_xue
香港|iNews 新闻台,http://weixin.qq.home.kg/smtv.php?id=inews_twn
香港|J 2,http://weixin.qq.home.kg/smtv.php?id=j2_twn
香港|珍珠台,http://weixin.qq.home.kg/smtv.php?id=pearl_twn
香港|凤凰香港,http://weixin.qq.home.kg/smtv.php?id=hkphoenix_twn
香港|HOY资讯台,http://weixin.qq.home.kg/smtv.php?id=hoycaijing_twn
香港|RHK 31,http://weixin.qq.home.kg/smtv.php?id=rhk31_twn
香港|VIUTV1,http://weixin.qq.home.kg/smtv.php?id=viu1_twn
香港|RHK 32,http://weixin.qq.home.kg/smtv.php?id=rhk32_twn
香港|凤凰卫视,http://weixin.qq.home.kg/smtv.php?id=phoenixtv_hd
香港|凤凰资讯,http://weixin.qq.home.kg/smtv.php?id=phoenixinfo_hd
香港|Viu6,http://weixin.qq.home.kg/smtv.php?id=viusix_twn
🇨🇳央视,#genre#
中国|CCTV-1 综合 HD,http://weixin.qq.home.kg/smtv.php?id=cctv1
中国|CCTV-2 财经,http://weixin.qq.home.kg/smtv.php?id=cctv2
中国|CCTV-3 综艺 HD,http://weixin.qq.home.kg/smtv.php?id=cctv3
中国|CCTV-4 中文国际,http://weixin.qq.home.kg/smtv.php?id=cctv4
中国|CCTV4 新闻台,http://weixin.qq.home.kg/smtv.php?id=Cctv4
中国|CCTV-7 军事农业,http://weixin.qq.home.kg/smtv.php?id=cctv7
中国|CCTV-8 电视剧 HD,http://weixin.qq.home.kg/smtv.php?id=cctv8hd
中国|CCTV-9 记录 HD,http://weixin.qq.home.kg/smtv.php?id=cctv9hd
中国|CCTV-10 科教 HD,http://weixin.qq.home.kg/smtv.php?id=cctv10hd
中国|CCTV-11 戏曲,http://weixin.qq.home.kg/smtv.php?id=cctv11
中国|CCTV-12 社会与法,http://weixin.qq.home.kg/smtv.php?id=cctv12
中国|CCTV-13 新闻频道,http://weixin.qq.home.kg/smtv.php?id=cctv13
中国|CCTV-14 少儿,http://weixin.qq.home.kg/smtv.php?id=cctv14
中国|CCTV-6,http://weixin.qq.home.kg/smtv.php?id=cctv6
中国|CCTV-15 音乐,http://weixin.qq.home.kg/smtv.php?id=cctv15
🇨🇳卫视,#genre#
中国|湖南卫视,http://weixin.qq.home.kg/smtv.php?id=hunan_twn
中国|浙江卫视,http://weixin.qq.home.kg/smtv.php?id=zhejiang_twn
中国|江苏卫视,http://weixin.qq.home.kg/smtv.php?id=jiangsu_twn
中国|深圳卫视,http://weixin.qq.home.kg/smtv.php?id=shenzhen
中国|福建东南卫视,http://weixin.qq.home.kg/smtv.php?id=fujian
中国|广东南方卫视,http://weixin.qq.home.kg/smtv.php?id=nanfang_twn
中国|广东卫视,http://weixin.qq.home.kg/smtv.php?id=guangdongweishi_twn
中国|北京卫视,http://weixin.qq.home.kg/smtv.php?id=beijing
中国|珠江台,http://weixin.qq.home.kg/smtv.php?id=zhujiang
