    <meta name="viewport" content="width=device-width, initial-scale=0.9">
极速频道,#genre#
有线新闻台,http://api.mytv666.top/api/hk.php?id=6361643536323038326566646537653763653734396561333762376462636366267469643d77696e74763132332669643d36
有线18台,http://api.mytv666.top/api/hk.php?id=3335313238613561343466633763316531653463633665636663303964353666267469643d77696e74763132332669643d39
无线新闻台,http://api.mytv666.top/api/hk.php?id=6264343831353330323337393639393931616235303439316135313462356130267469643d77696e74763132332669643d3136
翡翠台,http://api.mytv666.top/api/hk.php?id=3262653732393564383135306138663636396562333131366461316635356432267469643d77696e74763132332669643d3230
华丽翡翠台,http://api.mytv666.top/api/hk.php?id=3466653736646563313831666664323931643265643337393439363936313866267469643d77696e74763132332669643d3231
TVBPlus,http://api.mytv666.top/api/hk.php?id=3639623039646236316664356637656639306231623831633232376366353164267469643d77696e74763132332669643d3233
娱乐新闻台,http://api.mytv666.top/api/hk.php?id=3466626233666436653838353264326461326635633732323366653761633437267469643d77696e74763132332669643d3234
美亚电影台,http://api.mytv666.top/api/hk.php?id=3734346339316538643237306264336264613563663264306232363539656232267469643d77696e74763132332669643d3237
ViuTV,http://api.mytv666.top/api/hk.php?id=6339393931646134323065303937343235303966313764373332346133353265267469643d77696e74763132332669643d3238
ViuTV6,http://api.mytv666.top/api/hk.php?id=3331653464373833613333613463386134633164386334653838356561653135267469643d77696e74763132332669643d3239
NOW直播台,http://api.mytv666.top/api/hk.php?id=3763373566376465616263356362313264316538373738396430313363656137267469643d77696e74763132332669643d3330
NOW新闻台,http://api.mytv666.top/api/hk.php?id=3031623934646639653139313537643561326432643463343838643631316161267469643d77696e74763132332669643d3331
NOW财经台,http://api.mytv666.top/api/hk.php?id=3661316466353339303037343231613961326631373132343166326638666563267469643d77696e74763132332669643d3332
HOY国际财经台,http://api.mytv666.top/api/hk.php?id=3361386235376664363161336266633233643533366564313661313737346630267469643d77696e74763132332669643d3336
HOYTV,http://api.mytv666.top/api/hk.php?id=3363613361353930343765376664626230343135323066643833303864633037267469643d77696e74763132332669643d3337
HOY资讯台,http://api.mytv666.top/api/hk.php?id=3730346462313931396337363365323339383532646232633966303331633463267469643d77696e74763132332669643d3338
华文电影,#genre#
美亚电影台,http://t.061899.xyz/tl/js/tw.php?id=mydyyy
CCM,http://t.061899.xyz/tl/168.php?id=tyjd
天映频道,http://t.061899.xyz/tl/168.php?id=typd
POPC,https://fr-us7.jdiptv.cc/live/popc.m3u8
粤语片,http://lxajh.top/tv/douyu.php?id=1226741
 ,#genre#
极限,http://live.urren.net:80/live/511ba6a20c5a09fc7265b6daf4c8cb0d.flv
happy,http://live.urren.net:80/live/be823ee679245171aabf699fea12c459.flv
香蕉,http://live.urren.net:80/live/f1654015ec409c28d6383b8104b3e26f.flv
惊艳,http://live.urren.net:80/live/94fd8c630ba1003fa4ffd3fd44cab771.flv
潘朵拉,http://live.urren.net:80/live/d81a89ad883720f5bf1692d364d1ecad.flv
彩虹电影,http://live.urren.net:80/live/ed5f3ad2d10a01652e6704261dbbdb10.flv
K频道,http://live.urren.net:80/live/4e76cf8e755ed79ba0bef10b957fd3bc.flv
E频道,http://live.urren.net:80/live/ebf84805823ae080f2f6c82e5ee65ccb.flv
松视3,http://live.urren.net:80/live/a66f75576ebba55a7658bb09a89744ef.flv
松视1,http://live.urren.net:80/live/b5547df166b3d02d3815bae3ec1e4f77.flv
pigo,http://163.181.88.171:80/live.jnjyapp.cn/live/814ac040ecc3e47bed461e49d257170d.flv
NOW,#genre#
爆谷,http://push-rtmp-hs-spe-f5.douyincdn.com/live/vhNli7a2uwqrSArlhBpDjs0wLosrFVLkMnb9OJ2Hzj14qlP0TO.flv
星影,http://push-rtmp-hs-spe-f5.douyincdn.com/live/yU8AAUm9MpL5qwiSyewAkms5LtKjQp9G9LEk5mnLosrF1EgdRk.flv
爆谷台,http://kkk.888.3116598.xyz/api.php?n=smart&id=eEV8zR&tk=zJT5XRYu5eVf
星影台,http://kkk.888.3116598.xyz/api.php?n=smart&id=zXZuYd&tk=zJT5XRYu5eVf
now爆谷台,http://j.s.bkpcp.top/js/nowbgt
now星影台,http://j.s.bkpcp.top/js/nowxyt
Now爆谷台,http://kkk.888.3116598.xyz/api.php?n=smart&id=GLlds2&tk=zJT5XRYu5eVf
Now星影台,http://kkk.888.3116598.xyz/api.php?n=smart&id=FhqzG5&tk=zJT5XRYu5eVf
NOW爆谷台,http://kkk.888.3116598.xyz/api.php?n=smart&id=lBtpzL&tk=zJT5XRYu5eVf
NOW星影台,http://kkk.888.3116598.xyz/api.php?n=smart&id=JaMXBj&tk=zJT5XRYu5eVf
NOW新闻台,http://cdn.163189.xyz/163189/now
