✈️TG频道@stymei1,#genre#
更新时间2025.8.15,https://alimov2.a.kwimgs.com/upic/2025/07/20/17/BMjAyNTA3MjAxNzQyNTNfNDI0MDI5NTBfMTY5OTk4NzA2MTAxXzFfMw==_b_Bd8e9829f65ea4b8962c69f768c0c35c3.mp4
TG频道@stymei1,https://alimov2.a.kwimgs.com/upic/2025/07/20/17/BMjAyNTA3MjAxNzQyNTNfNDI0MDI5NTBfMTY5OTk4NzA2MTAxXzFfMw==_b_Bd8e9829f65ea4b8962c69f768c0c35c3.mp4
https://t.me/stymei1,https://alimov2.a.kwimgs.com/upic/2025/07/20/17/BMjAyNTA3MjAxNzQyNTNfNDI0MDI5NTBfMTY5OTk4NzA2MTAxXzFfMw==_b_Bd8e9829f65ea4b8962c69f768c0c35c3.mp4



🇨🇳央视直播,#genre#
CCTV1,http://111.29.9.35:6610/000000001000/1000000001000018602/index.m3u8?channel-id=ystenlive&Contentid=1000000001000018602&livemode=1&stbId=3
CCTV1,http://p.ytelc.com/169l/_jy/mg25.php?id=cctv1
CCTV1,http://43.138.196.212/mi0gu.php?id=cctv1
CCTV1,http://xg.52sw.top/play/kzb/play.php?id=cctv1
CCTV1,http://nn.7x9d.cn/xzc2.php?ua=TW96aWxsYS81LjAgKFdpbmRvd3MgTlQgNi4xOyBXaW42NDsgeDY0KSBBcHBsZVdlYktpdC81MzcuMzYgKEtIVE1MLCBsaWtlIEdlY2tvKSBDaHJvbWUvMTA2LjAuMC4wIFNhZmFyaS81MzcuMzY=&hls=aHR0cDovLzYxLjE2OS40Ny4xMDA6MTAwODEvaGxzLzEvaW5kZXgubTN1OA==
CCTV2,http://111.29.9.34:6610/000000001000/1000000001000012442/index.m3u8?channel-id=ystenlive&Contentid=1000000001000012442&livemode=1&stbId=3
CCTV2,http://p.ytelc.com/169l/_jy/mg25.php?id=cctv2
CCTV2,http://43.138.196.212/111.php?id=cctv2
CCTV2,http://43.138.196.212/mi0gu.php?id=cctv2
CCTV2,http://120.76.248.139/live/bfgd/4200000061.m3u8
CCTV2,http://148.135.93.213/live.php?id=CCTV2
CCTV2,http://xg.52sw.top/play/kzb/play.php?id=cctv2
CCTV2,http://nn.7x9d.cn/xzc2.php?ua=TW96aWxsYS81LjAgKFdpbmRvd3MgTlQgNi4xOyBXaW42NDsgeDY0KSBBcHBsZVdlYktpdC81MzcuMzYgKEtIVE1MLCBsaWtlIEdlY2tvKSBDaHJvbWUvMTA2LjAuMC4wIFNhZmFyaS81MzcuMzY=&hls=aHR0cDovLzYxLjE2OS40Ny4xMDA6MTAwODEvaGxzLzIvaW5kZXgubTN1OA==
CCTV3,http://111.29.9.38:6610/000000001000/1000000001000011218/index.m3u8?channel-id=ystenlive&Contentid=1000000001000011218&livemode=1&stbId=3
CCTV3,http://43.138.196.212/111.php?id=cctv3
CCTV3,http://43.138.196.212/mi0gu.php?id=cctv3
CCTV3,http://p.ytelc.com/169l/_jy/mg25.php?id=cctv3
CCTV3,http://xg.52sw.top/play/kzb/play.php?id=cctv3
CCTV3,http://nn.7x9d.cn/xzc2.php?ua=TW96aWxsYS81LjAgKFdpbmRvd3MgTlQgNi4xOyBXaW42NDsgeDY0KSBBcHBsZVdlYktpdC81MzcuMzYgKEtIVE1MLCBsaWtlIEdlY2tvKSBDaHJvbWUvMTA2LjAuMC4wIFNhZmFyaS81MzcuMzY=&hls=aHR0cDovLzYxLjE2OS40Ny4xMDA6MTAwODEvaGxzLzMvaW5kZXgubTN1OA==
CCTV4,http://111.29.9.40:6610/000000001000/5000000005000030093/index.m3u8?channel-id=bestzb&Contentid=5000000005000030093&livemode=1&stbId=3
CCTV4,http://148.135.93.213/live.php?id=CCTV4
CCTV4,http://p.ytelc.com/169l/_jy/mg25.php?id=cctv4
CCTV4,http://43.138.196.212/111.php?id=cctv4
CCTV4,http://43.138.196.212/mi0gu.php?id=cctv4
CCTV4,http://xg.52sw.top/play/kzb/play.php?id=cctv4
CCTV4,http://nn.7x9d.cn/xzc2.php?ua=TW96aWxsYS81LjAgKFdpbmRvd3MgTlQgNi4xOyBXaW42NDsgeDY0KSBBcHBsZVdlYktpdC81MzcuMzYgKEtIVE1MLCBsaWtlIEdlY2tvKSBDaHJvbWUvMTA2LjAuMC4wIFNhZmFyaS81MzcuMzY=&hls=aHR0cDovLzYxLjE2OS40Ny4xMDA6MTAwODEvaGxzLzQvaW5kZXgubTN1OA==
CCTV5,http://43.138.196.212/111.php?id=cctv5
CCTV5,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=bestzb&Contentid=5000000010000016619&livemode=1&stbId=yu&mode=1&$4M
CCTV5,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000004794&livemode=1&stbId=yu&mode=1&$4M
CCTV5,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265005&livemode=1&stbId=yu&mode=1&$6M
CCTV5,http://xg.52sw.top/play/kzb/play.php?id=cctv5
CCTV5,http://nn.7x9d.cn/xzc2.php?ua=TW96aWxsYS81LjAgKFdpbmRvd3MgTlQgNi4xOyBXaW42NDsgeDY0KSBBcHBsZVdlYktpdC81MzcuMzYgKEtIVE1MLCBsaWtlIEdlY2tvKSBDaHJvbWUvMTA2LjAuMC4wIFNhZmFyaS81MzcuMzY=&hls=aHR0cDovLzYxLjE2OS40Ny4xMDA6MTAwODEvaGxzLzUvaW5kZXgubTN1OA==
CCTV5+,http://xg.52sw.top/play/kzb/play.php?id=cctv5p
CCTV5+,http://148.135.93.213/live.php?id=CCTV5p
CCTV5+,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227567/1.m3u8?HlsProfileId=
CCTV5+,http://111.43.126.240:9003/hls/18/index.m3u8
