提示,#genre#
免费分享,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=tv7cDS&tk=cl177bPI6scY
不要赞助,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=rtB2th&tk=cl177bPI6scY
香港,#genre#
TVB生活台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=eKt7EY&tk=cl177bPI6scY
TVB星河(国),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=p3zCG4&tk=cl177bPI6scY
TVB功夫(国),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=OpQXZp&tk=cl177bPI6scY
Now爆谷台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=hPyWl5&tk=cl177bPI6scY
Now星影台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=mTCSXb&tk=cl177bPI6scY
Now华剧台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=C3hQ3Z&tk=cl177bPI6scY
Now剧集台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=lH1KzX&tk=cl177bPI6scY
Now紫金国际,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ym6qbh&tk=cl177bPI6scY
HUB娱家台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=k2chq6&tk=cl177bPI6scY
HUB都会台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ku5mDj&tk=cl177bPI6scY
CHC家庭影院,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=4gVPA4&tk=cl177bPI6scY
CHC动作电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Q9UN5C&tk=cl177bPI6scY
CHC影迷电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=TzvBWk&tk=cl177bPI6scY
极限电影台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=D9EjMb&tk=cl177bPI6scY
凤凰卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=zov2z6&tk=cl177bPI6scY
凤凰资讯,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Xk4CaU&tk=cl177bPI6scY
凤凰香港,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=25NqvK&tk=cl177bPI6scY
翡翠台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=53p6ZA&tk=cl177bPI6scY
翡翠台 backup,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ktkWWA&tk=cl177bPI6scY
无线新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=f7Hefc&tk=cl177bPI6scY
TVB J 2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=LIzzZq&tk=cl177bPI6scY
明珠台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=tiCydk&tk=cl177bPI6scY
HOY资讯台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=wRQR2b&tk=cl177bPI6scY
RHK 31,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=GKrMqs&tk=cl177bPI6scY
VIUTV1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Ee7mmC&tk=cl177bPI6scY
RHK 32,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=d1caf5&tk=cl177bPI6scY
Viu6,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ozqjh6&tk=cl177bPI6scY
大陆,#genre#
中国|CCTV-1 综合 HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=eI5CPK&tk=cl177bPI6scY
中国|CCTV-2 财经,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=lMS4K8&tk=cl177bPI6scY
