配置：720P
源减掉 一半
以下数据最低3天会挂
以下数据弹出广告，或者其他内容
我们专业给你做套路的，也是给你拿走的，给你减掉一半的节目，
不要在我这里指望拿全套节目，。我这招阴招，
我还有更绝的招，计谋很多，让你后面更不知道会发生什么
如果你的资源被盗，不要来找我黑软技术，，我们专业强盗10年如果你的资源被盗，
我们一样收益满贯，如果盗走我们资源，你的下场只有挂，黑软来搞你的，你不怕你就拿。弹窗广告你要小心拉，请不要收藏源，你以为真能这样检了跑路了，你想错了，，
如果你的资源被盗，不要来找我黑软技术，，我们专业强盗10年如果你的资源被盗，
我们一样收益满贯，如果盗走我们资源，你的下场只有挂，黑软来搞你的，你不怕你就拿。弹窗广告你要小心拉，请不要收藏源，你以为真能这样检了跑路了，你想错了，，
如果你的资源被盗，不要来找我黑软技术，，我们专业强盗10年如果你的资源被盗，
我们一样收益满贯，如果盗走我们资源，你的下场只有挂，黑软来搞你的，你不怕你就拿。弹窗广告你要小心拉，请不要收藏源，你以为真能这样检了跑路了，你想错了，，
如果你的资源被盗，不要来找我黑软技术，，我们专业强盗10年如果你的资源被盗，
我们一样收益满贯，如果盗走我们资源，你的下场只有挂，黑软来搞你的，你不怕你就拿。弹窗广告你要小心拉，请不要收藏源，你以为真能这样检了跑路了，你想错了，，
如果你的资源被盗，不要来找我黑软技术，，我们专业强盗10年如果你的资源被盗，
我们一样收益满贯，如果盗走我们资源，你的下场只有挂，黑软来搞你的，你不怕你就拿。弹窗广告你要小心拉，请不要收藏源，你以为真能这样检了跑路了，你想错了，，
如果你的资源被盗，不要来找我黑软技术，，我们专业强盗10年如果你的资源被盗，
我们一样收益满贯，如果盗走我们资源，你的下场只有挂，黑软来搞你的，你不怕你就拿。弹窗广告你要小心拉，请不要收藏源，你以为真能这样检了跑路了，你想错了，，
如果你的资源被盗，不要来找我黑软技术，，我们专业强盗10年如果你的资源被盗，
我们一样收益满贯，如果盗走我们资源，你的下场只有挂，黑软来搞你的，你不怕你就拿。弹窗广告你要小心拉，请不要收藏源，你以为真能这样检了跑路了，你想错了，，
如果你的资源被盗，不要来找我黑软技术，，我们专业强盗10年如果你的资源被盗，
我们一样收益满贯，如果盗走我们资源，你的下场只有挂，黑软来搞你的，你不怕你就拿。弹窗广告你要小心拉，请不要收藏源，你以为真能这样检了跑路了，你想错了，，
如果你的资源被盗，不要来找我黑软技术，，我们专业强盗10年如果你的资源被盗，
我们一样收益满贯，如果盗走我们资源，你的下场只有挂，黑软来搞你的，你不怕你就拿。弹窗广告你要小心拉，请不要收藏源，你以为真能这样检了跑路了，你想错了，，
如果你的资源被盗，不要来找我黑软技术，，我们专业强盗10年如果你的资源被盗，
我们一样收益满贯，如果盗走我们资源，你的下场只有挂，黑软来搞你的，你不怕你就拿。弹窗广告你要小心拉，请不要收藏源，你以为真能这样检了跑路了，你想错了，，
如果你的资源被盗，不要来找我黑软技术，，我们专业强盗10年如果你的资源被盗，
我们一样收益满贯，如果盗走我们资源，你的下场只有挂，黑软来搞你的，你不怕你就拿。弹窗广告你要小心拉，请不要收藏源，你以为真能这样检了跑路了，你想错了，，
如果你的资源被盗，不要来找我黑软技术，，我们专业强盗10年如果你的资源被盗，
我们一样收益满贯，如果盗走我们资源，你的下场只有挂，黑软来搞你的，你不怕你就拿。弹窗广告你要小心拉，请不要收藏源，你以为真能这样检了跑路了，你想错了，，
如果你的资源被盗，不要来找我黑软技术，，我们专业强盗10年如果你的资源被盗，
我们一样收益满贯，如果盗走我们资源，你的下场只有挂，黑软来搞你的，你不怕你就拿。弹窗广告你要小心拉，请不要收藏源，你以为真能这样检了跑路了，你想错了，，
如果你的资源被盗，不要来找我黑软技术，，我们专业强盗10年如果你的资源被盗，
我们一样收益满贯，如果盗走我们资源，你的下场只有挂，黑软来搞你的，你不怕你就拿。弹窗广告你要小心拉，请不要收藏源，你以为真能这样检了跑路了，你想错了，，
如果你的资源被盗，不要来找我黑软技术，，我们专业强盗10年如果你的资源被盗，我们专业强盗10年如果你的资源被盗，
我们一样收益满贯，您免费的，只有一个死路一条，还是走正式版把，不然挂了可怜，请不要收藏源，你会挂的，你以为真能这样检了跑路了，你想错了，，你还要投靠我的，离开本软件你死定了
如果你的资源被盗，不要来找我黑软技术，，我们专业强盗10年如果你的资源被盗，我们专业强盗10年如果你的资源被盗，
我们一样收益满贯，您免费的，只有一个死路一条，还是走正式版把，不然挂了可怜，请不要收藏源，你会挂的，你以为真能这样检了跑路了，你想错了，，你还要投靠我的，离开本软件你死定了
如果你的资源被盗，不要来找我黑软技术，，我们专业强盗10年如果你的资源被盗，我们专业强盗10年如果你的资源被盗，
我们一样收益满贯，您免费的，只有一个死路一条，还是走正式版把，不然挂了可怜，请不要收藏源，你会挂的，你以为真能这样检了跑路了，你想错了，，你还要投靠我的，离开本软件你死定了
如果你的资源被盗，不要来找我黑软技术，，我们专业强盗10年如果你的资源被盗，我们专业强盗10年如果你的资源被盗，
我们一样收益满贯，您免费的，只有一个死路一条，还是走正式版把，不然挂了可怜，请不要收藏源，你会挂的，你以为真能这样检了跑路了，你想错了，，你还要投靠我的，离开本软件你死定了
如果你的资源被盗，不要来找我黑软技术，，我们专业强盗10年如果你的资源被盗，不要来找我黑软技术，，我们专业强盗10年如果你的资源被盗，不要来找我黑软技术，，我们专业强盗10年如果你的资源被盗，不要来找我黑软技术，，我们专业强盗10年如果你的资源被盗，不要来找我黑软技术，，我们专业强盗10年如果你的资源被盗，不要来找我黑软技术，，我们专业强盗10年如果你的资源被盗，不要来找我黑软技术，，我们专业强盗10年如果你的资源被盗，不要来找我黑软技术，，我们专业强盗10年如果你的资源被盗，不要来找我黑软技术，，我们专业强盗10年如果你的资源被盗，不要来找我黑软技术，，我们专业强盗10年如果你的资源被盗，不要来找我黑软技术，，我们专业强盗10年如果你的资源被盗，不要来找我黑软技术，，我们
不光收费的，还是免费的TV,影视仓一样搞你，东西给我们白嫖，。。。。不光收费的，还是免费的TV,影视仓一样搞你，东西给我们白嫖，。。。。不光收费的，还是免费的TV,影视仓一样搞你，东西给我们白嫖，。。。。不光收费的，还是免费的TV,影视仓一样搞你，东西给我们白嫖，。。。。不光收费的，还是免费的TV,影视仓一样搞你，东西给我们白嫖，。。。。不光收费的，还是免费的TV,影视仓一样搞你，东西给我们白嫖，。。。。不光收费的，还是免费的TV,影视仓一样搞你，东西给我们白嫖，。。。。不光收费的，还是免费的TV,影视仓一样搞你，东西给我们白嫖，。。。。不光收费的，还是免费的TV,影视仓一样搞你，东西给我们白嫖，。。。。不光收费的，还是免费的TV,影视仓一样搞你，东西给我们白嫖，。。。。不光收费
给哪一些免费用户警告：你们做的APK千万不要到我手上，到我手上，这里的节目就是你们的下场，我们专业盗，无论你在厉害，加密+加壳一样搞你，只要我拿到手，不出三天，你的节目到这里了，我会告诉你吗，不可能，
和我们专业盗，，我们就是黑客技术，
给哪一些免费用户警告：你们做的APK千万不要到我手上，到我手上，这里的节目就是你们的下场，我们专业盗，无论你在厉害，加密+加壳一样搞你，只要我拿到手，不出三天，你的节目到这里了，我会告诉你吗，不可能，
和我们专业盗，，我们就是黑客技术，
给哪一些免费用户警告：你们做的APK千万不要到我手上，到我手上，这里的节目就是你们的下场，我们专业盗，无论你在厉害，加密+加壳一样搞你，只要我拿到手，不出三天，你的节目到这里了，我会告诉你吗，不可能，
和我们专业盗，，我们就是黑客技术，
和我们专业盗，，我们就是黑客技术，
给哪一些免费用户警告：你们做的APK千万不要到我手上，到我手上，这里的节目就是你们的下场，我们专业盗，无论你在厉害，加密+加壳一样搞你，只要我拿到手，不出三天，你的节目到这里了，我会告诉你吗，不可能，
和我们专业盗，，我们就是黑客技术，给哪一些免费用户警告：你们做的APK千万不要到我手上，到我手上，这里的节目就是你们的下场，我们专业盗，无论你在厉害，加密+加壳一样搞你，只要我拿到手，不出三天，你的节目到这里了，我会告诉你吗，不可能，
和我们专业盗，，我们就是黑客技术，
给哪一些免费用户警告：你们做的APK千万不要到我手上，到我手上，这里的节目就是你们的下场，我们专业盗，无论你在厉害，加密+加壳一样搞你，只要我拿到手，不出三天，你的节目到这里了，我会告诉你吗，不可能，
和我们专业盗，，我们就是黑客技术，
给哪一些免费用户警告：你们做的APK千万不要到我手上，到我手上，这里的节目就是你们的下场，我们专业盗，无论你在厉害，加密+加壳一样搞你，只要我拿到手，不出三天，你的节目到这里了，我会告诉你吗，不可能，
和我们专业盗，，我们就是黑客技术，
给哪一些免费用户警告：你们做的APK千万不要到我手上，到我手上，这里的节目就是你们的下场，我们专业盗，无论你在厉害，加密+加壳一样搞你，只要我拿到手，不出三天，你的节目到这里了，我会告诉你吗，不可能，
和我们专业盗，，我们就是黑客技术，
领取源出来自己搞，你不挂算我输，软件脱离源，必须挂，你还想看精彩内容，算了吧，，你还是老老实实看软件，否则更新后，不对版，你这里领取都挂光了
领取源出来自己搞，你不挂算我输，软件脱离源，必须挂，你还想看精彩内容，算了吧，，你还是老老实实看软件，否则更新后，不对版，你这里领取都挂光了
领取QQ群，打开软件，看视频扫进群就可以了，这里给出来全部虚构的，
领取QQ群，打开软件，看视频扫进群就可以了，这里给出来全部虚构的，
领取QQ群，打开软件，看视频扫进群就可以了，这里给出来全部虚构的，
领取QQ群，打开软件，看视频扫进群就可以了，这里给出来全部虚构的，
你要搞我的可以。1 源会挂的，2不要公开 3你会害死大家一起挂的，4你一个人看就可以，不相信直接给你挂源，不怕我投放广告你就来，不怕我搞你弹出广告，
我就不信了，所有资源全部随机的，你拿，你不怕死你就拿
数据随时更变全部的源已经加入了广告，你不怕死你就搞源。等我启动了广告不要说，我没和你说过
领取QQ群，打开软件，看视频扫进群就可以了，这里给出来全部虚构的，  
邵氏🌸TV,#genre#
马永贞,https://vip.ffzy-play7.com/20221206/8109_3c4ca01d/2000k/hls/mixed.m3u8
江湖三女侠,https://vip.ffzy-play7.com/20221128/7573_ff6822fe/2000k/hls/mixed.m3u8
春满乾坤,https://txmov2.a.kwimgs.com/upic/2023/02/24/12/BMjAyMzAyMjQxMjQ3MTlfNzM5MzQzNzIyXzk2ODk4NDM2NTM5XzBfMw==_b_B705c05974775757af5e519aecf31a47b.mp4
燕娘,https://txmov2.a.kwimgs.com/upic/2023/02/24/13/BMjAyMzAyMjQxMzAzNDhfNzM5MzQzNzIyXzk2ODk5NDA1MDIwXzBfMw==_b_B94dcf8e3323a1c8f112ee23c522a2008.mp4
太极拳,https://txmov2.a.kwimgs.com/upic/2023/02/24/12/BMjAyMzAyMjQxMjU3NDVfNzM5MzQzNzIyXzk2ODk5MDUyNDkyXzBfMw==_b_Be6d4606d4158a6521dea25ea1582f3e2.mp4
杀绝,https://txmov2.a.kwimgs.com/bs3/video-hls/5236842032270991245_hlsb.m3u8
楚留香,https://vip.ffzy-play7.com/20230215/14808_0ccf3503/2000k/hls/mixed.m3u8
至尊一剑,https://vip.lz-cdn1.com/20220404/971_1e60b636/1200k/hls/mixed.m3u8
红粉动江湖,https://vip.lz-cdn1.com/20220404/921_fa90aa31/1200k/hls/mixed.m3u8
龙虎斗,https://vip.lz-cdn7.com/20221225/12879_23530ab9/2000k/hls/mixed.m3u8
赌城大亨之新哥传奇,https://vip1.lz-cdn1.com/20220522/6319_3a3c45a8/1200k/hls/mixed.m3u8
南北少林,https://vip.ffzy-play7.com/20221208/8888_0506d313/2000k/hls/mixed.m3u8
济公,https://vip.ffzy-play7.com/20230201/12988_7e8795e3/2000k/hls/mixed.m3u8
审死官,https://vip.kuaikan-play1.com/20230308/ICEhFBxg/index.m3u8
爱的世界,https://vip.ffzy-play7.com/20230409/21720_88b19912/2000k/hls/mixed.m3u8
师兄撞鬼,https://vip.ffzy-play6.com/20221207/10610_200b5bd4/2000k/hls/mixed.m3u8
回魂夜,https://vip.ffzy-online2.com/20230403/30714_a34010ca/2000k/hls/mixed.m3u8
锦衣卫,https://vip.ffzy-play6.com/20221206/10351_793f7267/2000k/hls/mixed.m3u8
多情剑客无情剑,https://vip1.lz-cdn7.com/20230129/13868_df0c16d3/2000k/hls/mixed.m3u8
梁山伯与祝英台,https://vip.ffzy-play7.com/20221209/9092_7a2e8346/2000k/hls/mixed.m3u8
射雕英雄传,https://vip.ffzy-play7.com/20221227/9986_8397df12/2000k/hls/mixed.m3u8
洪拳与咏春,https://vip.ffzy-play7.com/20221207/8378_6ec961f5/2000k/hls/mixed.m3u8
大决斗,https://vip.ffzy-play6.com/20221206/10275_772add75/2000k/hls/mixed.m3u8
童子功,https://vip.ffzy-play7.com/20221207/8487_f61f2b73/2000k/hls/mixed.m3u8
神刀,https://vip.ffzy-play6.com/20221207/10784_c3be01db/2000k/hls/mixed.m3u8
王昭君,https://vip.ffzy-play7.com/20230512/24676_8a8a1859/2000k/hls/mixed.m3u8
千门八将,https://vip.ffzy-play6.com/20221207/10758_557b8a7a/2000k/hls/mixed.m3u8
神剑震江湖,https://vip.ffzy-play6.com/20221128/9123_205917d1/2000k/hls/mixed.m3u8
椰林春恋,https://vip.ffzy-play6.com/20221128/9232_ca357977/2000k/hls/mixed.m3u8
报仇,https://vip.ffzy-play6.com/20221206/10248_14ad320f/2000k/hls/mixed.m3u8
神打,https://txmov2.a.kwimgs.com/upic/2023/02/24/12/BMjAyMzAyMjQxMjUyNTJfNzM5MzQzNzIyXzk2ODk4NzY0NDg2XzBfMw==_b_B395b52a73a5dccbe43ff3f6a0fd8761d.mp4
阴阳刀,https://txmov2.a.kwimgs.com/upic/2023/02/24/13/BMjAyMzAyMjQxMzEyNDBfNzM5MzQzNzIyXzk2ODk5OTE4MjkyXzBfMw==_b_B3f6c60a9c77cdb7fa0485d4e4f9df23b.mp4
红辣椒,https://txmov2.a.kwimgs.com/bs3/video-hls/5237405003330718204_hlsb.m3u8
倾城之恋,https://vip.ffzy-play7.com/20221206/8132_bdf58781/2000k/hls/mixed.m3u8
女人心,https://vip.ffzy-play7.com/20221206/8125_311c0b3c/2000k/hls/mixed.m3u8
天蚕变,https://vip.ffzy-play6.com/20221128/9001_f6e00070/2000k/hls/mixed.m3u8
三笑,https://vip.ffzy-play6.com/20221128/9102_a4a99108/2000k/hls/mixed.m3u8
赤脚小子,https://vip.ffzy-play7.com/20221228/10082_0a921549/2000k/hls/mixed.m3u8
金衣大侠,https://vip.ffzy-play7.com/20221128/7587_339701b6/2000k/hls/mixed.m3u8
飞燕金刀,https://vip.ffzy-play7.com/20221208/8580_cc26d2cb/2000k/hls/mixed.m3u8
武林风云,https://s6.bfzycdn.com/video/wulinfengyun/HD/index.m3u8
五虎屠龙,https://vip.ffzy-play6.com/20221207/10657_ed26a233/2000k/hls/mixed.m3u8
冰天侠女,https://yzzy.play-cdn4.com/20220611/19046_621aa95a/1000k/hls/index.m3u8
南北妈打,https://yzzy.play-cdn2.com/20220428/16622_606ede4b/1000k/hls/index.m3u8
求爱敢死队,https://vip.ffzy-play7.com/20221207/8446_3d4d8a88/2000k/hls/mixed.m3u8
松4台🌸TV_88,#genre#
心跳加速1号,https://kdy-oss.oss01-cn-lasa-xzns-d01-a.cloud.ningsuan.com.cn/kodbox/202507/24/dYINZ_yOkRrhw?response-content-disposition=inline%3Bfilename%3Dbandicam%25202025-07-24%252004-16-26-419.mp4&OSSAccessKeyId=FfDrPsUMS4h3sKnf&Expires=1753372799&Signature=u7cQX%2BgrRw%2BJQJFVCUnm%2Bw0HePI%3D
心跳加速2号,https://kdy-oss.oss01-cn-lasa-xzns-d01-a.cloud.ningsuan.com.cn/kodbox/202507/24/CWKc5_yOkSEZA?response-content-disposition=inline%3Bfilename%3Dbandicam%25202025-07-24%252004-29-42-443.mp4&OSSAccessKeyId=FfDrPsUMS4h3sKnf&Expires=1753372799&Signature=hSOlb9yDGgV%2BVy1INQvDwUM5qKk%3D
极限松4台,https://kdy-oss.oss01-cn-lasa-xzns-d01-a.cloud.ningsuan.com.cn/kodbox/202507/23/THMCG_yJoJxGA?response-content-disposition=inline%3Bfilename%3DS4-1.mp4&OSSAccessKeyId=FfDrPsUMS4h3sKnf&Expires=1753372799&Signature=l%2FXoY6bHnWcVmtMrL0B%2B9XvXcFc%3D
歌曲🌸TV,#genre# 
汪明荃30首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5202502102851767269_hlsb.m3u8
 梅朵40首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5215449953961824145_hlsb.m3u8
 张茜42首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5251478751616846395_hlsb.m3u8
 甄妮40首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5199405879311116082_hlsb.m3u8
 林志炫34首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5253449075409106514_hlsb.m3u8
 金海心38首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5202783577818793385_hlsb.m3u8
 邓丽君经典歌曲50首珍藏版,https://txmov2.a.kwimgs.com/bs3/video- hls/5225583052113602018_hlsb.m3u8
 毛阿敏40首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5196028179371386236_hlsb.m3u8
 李翊君20首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5189835729521538666_hlsb.m3u8
 许蒿30首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5246693673328160378_hlsb.m3u8
 张杰40首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5252886123455427055_hlsb.m3u8
 陶喆30首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5239938277375381611_hlsb.m3u8
 林俊杰31首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5231212549905475206_hlsb.m3u8
 陈慧娴30首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5218827651929954317_hlsb.m3u8
 王力宏16首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5205035380900810284_hlsb.m3u8
 林忆莲30首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5250071375165662691_hlsb.m3u8
 腾格尔30首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5242471550986018227_hlsb.m3u8
 汤潮40首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5204472429700768764_hlsb.m3u8
 陈淑桦32首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5207850128833175307_hlsb.m3u8
 冷漠40首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5212916677664919326_hlsb.m3u8
 梦然40首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5228679277594646633_hlsb.m3u8
 卓依婷40首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5252041701152345508_hlsb.m3u8
 姜育恒40首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5228116320942620413_hlsb.m3u8
 童安格40首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5251760219003853218_hlsb.m3u8
 魏佳艺40首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5226427471582302532_hlsb.m3u8
 孟庭苇塘14首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5210664900039596920_hlsb.m3u8
 刘若英42首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5221923876251083359_hlsb.m3u8
 林依轮10首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5209257503535513363_hlsb.m3u8
