臺灣 Taiwan,#genre#
AXN,http://xtvantsc.xyz/Smart.php?id=axn_twn
CINEMAX,http://xtvantsc.xyz/Smart.php?id=cinemax_twn
EYE戲劇,http://xtvantsc.xyz/Smart.php?id=eyetvxiju_twn
EYE旅遊,http://xtvantsc.xyz/Smart.php?id=eyetvtravel_twn
HBO,http://xtvantsc.xyz/Smart.php?id=hbohd_twn
HBO Family,http://xtvantsc.xyz/Smart.php?id=fyi_twn
好萊塢電影台,http://xtvantsc.xyz/Smart.php?id=hollywoodmovies_twn
MTV Live,http://xtvantsc.xyz/Smart.php?id=mtvhd_twn
TLC旅遊生活,http://xtvantsc.xyz/Smart.php?id=tlc_twn
東森新聞,http://xtvantsc.xyz/Smart.php?id=ettvnews
TVBS HD,http://xtvantsc.xyz/Smart.php?id=tvbs
TVBS新聞台,http://xtvantsc.xyz/Smart.php?id=tvbs_n
TVBS歡樂台,http://xtvantsc.xyz/Smart.php?id=tvbshuanle_twn
三立台灣台,http://xtvantsc.xyz/Smart.php?id=sanlitaiwan
三立戲劇台,http://xtvantsc.xyz/Smart.php?id=sanlixiju_twn
三立綜合台,http://xtvantsc.xyz/Smart.php?id=sanlizhonghe
中天亞洲台,http://xtvantsc.xyz/Smart.php?id=ctiasia_twn
中天娱樂,http://xtvantsc.xyz/Smart.php?id=ctient
中天新聞HD,http://xtvantsc.xyz/Smart.php?id=ctinews
中天綜合,http://xtvantsc.xyz/Smart.php?id=ctizhonghe
亞洲旅遊台,http://xtvantsc.xyz/Smart.php?id=asiatravel_twn
亞洲美食,http://xtvantsc.xyz/Smart.php?id=afc_twn
八大戲劇,http://xtvantsc.xyz/Smart.php?id=badadrama
八大第一,http://xtvantsc.xyz/Smart.php?id=badafirst
八大綜合,http://xtvantsc.xyz/Smart.php?id=badazhonghe
公視,http://xtvantsc.xyz/Smart.php?id=ctv_taiwan
民視,http://xtvantsc.xyz/Smart.php?id=ftvhd_taiwan
民視第一台,http://xtvantsc.xyz/Smart.php?id=lunghuajingdian_twn
民視台灣台,http://xtvantsc.xyz/Smart.php?id=ftvtaiwan_twn
民視新聞台,http://xtvantsc.xyz/Smart.php?id=ftvnew_taiwan
台視,http://xtvantsc.xyz/Smart.php?id=ttv_taiwan
台視新聞台,http://xtvantsc.xyz/Smart.php?id=ttvnews_twn
中視,http://xtvantsc.xyz/Smart.php?id=zhongshihd_twn
中視新聞台,http://xtvantsc.xyz/Smart.php?id=zhongshinews_twn
中視經典,http://xtvantsc.xyz/Smart.php?id=zhongshi_twn
華視,http://xtvantsc.xyz/Smart.php?id=ctshd_twn
華藝綜合,http://xtvantsc.xyz/Smart.php?id=weishichinese_twn
大愛一台,http://xtvantsc.xyz/Smart.php?id=daai_twn
寰宇新聞台,http://xtvantsc.xyz/Smart.php?id=huanyuxinwen_twn
寰宇財經台,http://xtvantsc.xyz/Smart.php?id=huanyutaiwan_twn
年代新聞台,http://xtvantsc.xyz/Smart.php?id=niandainews_twn
愛爾達影劇,http://xtvantsc.xyz/Smart.php?id=eltayingju_twn
愛爾達體育 1,http://xtvantsc.xyz/Smart.php?id=eltasport_twn
愛爾達體育 2,http://xtvantsc.xyz/Smart.php?id=eltasport2_twn
愛爾達體育 3,http://xtvantsc.xyz/Smart.php?id=eltasport3_twn
ELEVEN 1,http://xtvantsc.xyz/Smart.php?id=golfchannel_twn
博斯網球,http://xtvantsc.xyz/Smart.php?id=bositennis_twn
博斯運動1,http://xtvantsc.xyz/Smart.php?id=bosisport1_twn
博斯運動2,http://xtvantsc.xyz/Smart.php?id=bosisport2_twn
博斯高球1,http://xtvantsc.xyz/Smart.php?id=bosigolf1_twn
博斯高球2,http://xtvantsc.xyz/Smart.php?id=bosigolf2_twn
探索亞洲,http://xtvantsc.xyz/Smart.php?id=discoverytwn_twn
探索動力,http://xtvantsc.xyz/Smart.php?id=discoveryturbo_twn
國家地理,http://xtvantsc.xyz/Smart.php?id=natgeohd_twn
野生動物,http://xtvantsc.xyz/Smart.php?id=natgeowild_twn
動物星球,http://xtvantsc.xyz/Smart.php?id=animalplanet_twn
時尚,http://xtvantsc.xyz/Smart.php?id=fashiontv_twn
Discovery Asia,http://xtvantsc.xyz/Smart.php?id=discoverytwn_twn
Discovery HD,http://xtvantsc.xyz/Smart.php?id=discoveryhd_twn
東森戲劇,http://xtvantsc.xyz/Smart.php?id=ettvdrama
東森洋片,http://xtvantsc.xyz/Smart.php?id=ettvwestern
東森綜合,http://xtvantsc.xyz/Smart.php?id=ettvzhonghe
東森財經新聞,http://xtvantsc.xyz/Smart.php?id=ettvcaijing_twn
東森電影,http://xtvantsc.xyz/Smart.php?id=ettvmovie
緯來日本台,http://xtvantsc.xyz/Smart.php?id=videolandjapan
緯來體育台,http://xtvantsc.xyz/Smart.php?id=videolandsport
美亞電影,http://xtvantsc.xyz/Smart.php?id=meiyamovie_twn
BBC World News,http://xtvantsc.xyz/Smart.php?id=bbcnews_twn
Bloomberg News,http://xtvantsc.xyz/Smart.php?id=bloomberg_twn
Fox News,http://xtvantsc.xyz/Smart.php?id=foxnews_twn
阿里郎,http://xtvantsc.xyz/Smart.php?id=arirang_twn
CN卡通,http://xtvantsc.xyz/Smart.php?id=momo1_twn
靖天卡通台,http://xtvantsc.xyz/Smart.php?id=jingtiancartoon_twn
靖天國際台,http://xtvantsc.xyz/Smart.php?id=jingtianintl_twn
非凡新聞台,http://xtvantsc.xyz/Smart.php?id=feifannews_twn
龍祥時代,http://xtvantsc.xyz/Smart.php?id=lungxiangtime_twn
龍華偶像,http://xtvantsc.xyz/Smart.php?id=lunghuaidol_twn
龍華戲劇,http://xtvantsc.xyz/Smart.php?id=lunghuaxiju_twn
龍華洋片,http://xtvantsc.xyz/Smart.php?id=lunghuawestern_twn
龍華經典,http://xtvantsc.xyz/Smart.php?id=lunghuajingdian_twn
龍華電影,http://xtvantsc.xyz/Smart.php?id=xingwei_movie
馬來西亞 Malaysia,#genre#
TV1,http://xtvantsc.xyz/Smart.php?id=TV1
TV1(備用),http://xtvantsc.xyz/Smart.php?id=TV1_backup
TV2,http://xtvantsc.xyz/Smart.php?id=TV2
TV3,http://xtvantsc.xyz/Smart.php?id=TV3
TV3(備用),http://xtvantsc.xyz/Smart.php?id=tv3_twn
NTV7,http://xtvantsc.xyz/Smart.php?id=NTV7
TV8,http://xtvantsc.xyz/Smart.php?id=TV8
TV9,http://xtvantsc.xyz/Smart.php?id=TV9
Warna,http://xtvantsc.xyz/Smart.php?id=Warna-O
Warna(備用),http://xtvantsc.xyz/Smart.php?id=Warna
Ria,http://xtvantsc.xyz/Smart.php?id=Ria-0
Ria(備用),http://xtvantsc.xyz/Smart.php?id=Ria49
Ria-3,http://xtvantsc.xyz/Smart.php?id=Ria_quanjia
Al-Hijrah,http://xtvantsc.xyz/Smart.php?id=Alhijrah
Al-Hijrah(備用),http://xtvantsc.xyz/Smart.php?id=Alhijrah_backup
Awani,http://xtvantsc.xyz/Smart.php?id=Awani
Bernama,http://xtvantsc.xyz/Smart.php?id=Bernama
