AKTV公告,#genre#
温馨提醒,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8
接口免费,https://gcwbndali.v.myalicdn.com/gcwbnd/ipanda1000_2/index.m3u8
拒绝收费,http://8.138.7.223/【公众号：榴芒电视】/cctv1.m3u8
如果已收,https://cccimg.com/down.php/a2edaf1d6c0d503f8f7b0b21a3aad670.mp4
申请退费,https://gitee.com/kdsb/lm/raw/master/ad.mp4
更新2025-6-20,https://gitee.com/kdsb/lm/raw/master/ad.mp4
已运行589天,https://gitee.com/kdsb/lm/raw/master/ad.mp4

HK频道,#genre#
翡-翠台,https://s1.m16tv.cfd/aktv/CH-0/AKTV.m3u8
翡-翠综合台(北美),https://s1.m16tv.cfd/aktv/CH-17/AKTV.m3u8
翡-翠剧集台(北美),https://s1.m16tv.cfd/aktv/CH-18/AKTV.m3u8
翡-翠台,https://s2.m16tv.cfd/aktv/CH-0/AKTV.m3u8
翡-翠综合台(北美),https://s2.m16tv.cfd/aktv/CH-17/AKTV.m3u8
翡-翠剧集台(北美),https://s2.m16tv.cfd/aktv/CH-18/AKTV.m3u8

明-珠台,https://s1.m16tv.cfd/aktv/CH-2/AKTV.m3u8
明-珠剧集台(北美),https://s1.m16tv.cfd/aktv/CH-19/AKTV.m3u8
明-珠剧集台(北美),https://s2.m16tv.cfd/aktv/CH-19/AKTV.m3u8
明-珠台,https://s2.m16tv.cfd/aktv/CH-2/AKTV.m3u8

無-線新聞台,https://s1.m16tv.cfd/aktv/CH-1/AKTV.m3u8
美-亞電影台(HK),https://s1.m16tv.cfd/aktv/hk/AKTV.m3u8
無-線新聞台,https://s2.m16tv.cfd/aktv/CH-1/AKTV.m3u8
美-亞電影台(HK),https://s2.m16tv.cfd/aktv/hk/AKTV.m3u8
POPC,https://s1.m16tv.cfd/aktv/popc/AKTV.m3u8

鳳-凰衛視中文台,https://s1.m16tv.cfd/aktv/CH-3/AKTV.m3u8
鳳-凰衛視資訊台,https://s1.m16tv.cfd/aktv/CH-4/AKTV.m3u8
鳳-凰衛視香港台,https://s1.m16tv.cfd/aktv/CH-5/AKTV.m3u8
鳳-凰衛視中文台,https://s2.m16tv.cfd/aktv/CH-3/AKTV.m3u8
鳳-凰衛視資訊台,https://s2.m16tv.cfd/aktv/CH-4/AKTV.m3u8
鳳-凰衛視香港台,https://s2.m16tv.cfd/aktv/CH-5/AKTV.m3u8
天-映电影,https://s1.m16tv.cfd/aktv2/CH-3/AKTV.m3u8
天-映电影,https://s2.m16tv.cfd/aktv2/CH-3/AKTV.m3u8
WW频道,#genre#
中-天新闻台,https://s1.m16tv.cfd/zhongtian/CH-0/AKTV.m3u8
中-天新闻台,https://s2.m16tv.cfd/zhongtian/CH-0/AKTV.m3u8
中-視,https://s2.m16tv.cfd/taiwan/CH-3/AKTV.m3u8
中-視經典台,https://s2.m16tv.cfd/taiwan/CH-5/AKTV.m3u8
台-視,https://s2.m16tv.cfd/taiwan/CH-2/AKTV.m3u8
民-視,https://s2.m16tv.cfd/taiwan/CH-1/AKTV.m3u8
民-視第一台,https://s2.m16tv.cfd/taiwan/CH-0/AKTV.m3u8
民-視綜藝台,https://s2.m16tv.cfd/taiwan/CH-4/AKTV.m3u8
東-森新聞,https://s2.m16tv.cfd/zhongtian/CH-1/AKTV.m3u8
中-視,https://s1.m16tv.cfd/taiwan/CH-3/AKTV.m3u8
中-視經典台,https://s1.m16tv.cfd/taiwan/CH-5/AKTV.m3u8
