半小时后关闭,#genre#
台視HD,http://45.196.238.194:9200/mqitv?proxy=true&id=live1047
中視HD,http://45.196.238.194:9200/mqitv?proxy=true&id=live1048
華視HD,http://45.196.238.194:9200/mqitv?proxy=true&id=live1049
民視HD,http://45.196.238.194:9200/mqitv?proxy=true&id=live1050
公視,http://45.196.238.194:9200/mqitv?proxy=true&id=live1201
人間衛視,http://45.196.238.194:9200/mqitv?proxy=true&id=live1198
大愛電視,http://45.196.238.194:9200/mqitv?proxy=true&id=live1216
好消息GOOD TV,http://45.196.238.194:9200/mqitv?proxy=true&id=live1669
Trace Sport Stars,http://45.196.238.194:9200/mqitv?proxy=true&id=live1003
DISCOVERY,http://45.196.238.194:9200/mqitv?proxy=true&id=live1002
旅遊生活,http://45.196.238.194:9200/mqitv?proxy=true&id=live1005
動物星球,http://45.196.238.194:9200/mqitv?proxy=true&id=live1004
亞洲旅遊,http://45.196.238.194:9200/mqitv?proxy=true&id=live1219
MOMO親子台,http://45.196.238.194:9200/mqitv?proxy=true&id=live1007
東森幼幼HD,http://45.196.238.194:9200/mqitv?proxy=true&id=live1008
龍華卡通台,http://45.196.238.194:9200/mqitv?proxy=true&id=live1670
緯來綜合HD,http://45.196.238.194:9200/mqitv?proxy=true&id=live1044
八大第一HD,http://45.196.238.194:9200/mqitv?proxy=true&id=live1043
八大綜合HD,http://45.196.238.194:9200/mqitv?proxy=true&id=live1019
三立台灣HD,http://45.196.238.194:9200/mqitv?proxy=true&id=live1021
三立都會HD,http://45.196.238.194:9200/mqitv?proxy=true&id=live1020
韓國娛樂台,http://45.196.238.194:9200/mqitv?proxy=true&id=live1024
東森綜合HD,http://45.196.238.194:9200/mqitv?proxy=true&id=live1041
超視HD,http://45.196.238.194:9200/mqitv?proxy=true&id=live1180
中天綜合HD,http://45.196.238.194:9200/mqitv?proxy=true&id=live1022
中天娛樂HD,http://45.196.238.194:9200/mqitv?proxy=true&id=live1023
東風衛視,http://45.196.238.194:9200/mqitv?proxy=true&id=live1195
MUCH TV,http://45.196.238.194:9200/mqitv?proxy=true&id=live1189
東森戲劇HD,http://45.196.238.194:9200/mqitv?proxy=true&id=live1042
八大戲劇HD,http://45.196.238.194:9200/mqitv?proxy=true&id=live1057
TVBS歡樂HD,http://45.196.238.194:9200/mqitv?proxy=true&id=live1018
緯來戲劇,http://45.196.238.194:9200/mqitv?proxy=true&id=live1186
龍華戲劇台,http://45.196.238.194:9200/mqitv?proxy=true&id=live1671
龍華日韓劇,http://45.196.238.194:9200/mqitv?proxy=true&id=live1672
龍華偶像劇,http://45.196.238.194:9200/mqitv?proxy=true&id=live1673
緯來日本HD,http://45.196.238.194:9200/mqitv?proxy=true&id=live1026
Taiwan Plus,http://45.196.238.194:9200/mqitv?proxy=true&id=live1674
年代新聞,http://45.196.238.194:9200/mqitv?proxy=true&id=live1192
東森新聞HD,http://45.196.238.194:9200/mqitv?proxy=true&id=live1014
中天新聞,http://45.196.238.194:9200/mqitv?proxy=true&id=live1675
民視新聞,http://45.196.238.194:9200/mqitv?proxy=true&id=live1204
三立新聞HD,http://45.196.238.194:9200/mqitv?proxy=true&id=live1016
TVBS新聞HD,http://45.196.238.194:9200/mqitv?proxy=true&id=live1052
TVBS HD,http://45.196.238.194:9200/mqitv?proxy=true&id=live1668
非凡新聞HD,http://45.196.238.194:9200/mqitv?proxy=true&id=live1013
非凡商業HD,http://45.196.238.194:9200/mqitv?proxy=true&id=live1012
東森財經HD,http://45.196.238.194:9200/mqitv?proxy=true&id=live1017
寰宇新聞,http://45.196.238.194:9200/mqitv?proxy=true&id=live1222
壹新聞,http://45.196.238.194:9200/mqitv?proxy=true&id=live1676
Bloomberg News,http://45.196.238.194:9200/mqitv?proxy=true&id=live1066
NHK世界HD,http://45.196.238.194:9200/mqitv?proxy=true&id=live1027
鏡電視新聞台,http://45.196.238.194:9200/mqitv?proxy=true&id=live1031
好萊塢電影HD,http://45.196.238.194:9200/mqitv?proxy=true&id=live1025
緯來電影HD,http://45.196.238.194:9200/mqitv?proxy=true&id=live1183
龍華電影台,http://45.196.238.194:9200/mqitv?proxy=true&id=live1677
HBO,http://45.196.238.194:9200/mqitv?proxy=true&id=live1029
AXN,http://45.196.238.194:9200/mqitv?proxy=true&id=live1054
CINEMAX HD,http://45.196.238.194:9200/mqitv?proxy=true&id=live1030
AMC 電影台,http://45.196.238.194:9200/mqitv?proxy=true&id=live1032
寵物頻道,http://45.196.238.194:9200/mqitv?proxy=true&id=live1040
緯來育樂HD,http://45.196.238.194:9200/mqitv?proxy=true&id=live1045
緯來體育HD,http://45.196.238.194:9200/mqitv?proxy=true&id=live1011
博斯運動一,http://45.196.238.194:9200/mqitv?proxy=true&id=live1678
momo綜合台,http://45.196.238.194:9200/mqitv?proxy=true&id=live1225
DAZN 1,http://45.196.238.194:9200/mqitv?proxy=true&id=live1069
DAZN 2,http://45.196.238.194:9200/mqitv?proxy=true&id=live1072
廈門衛視,http://45.196.238.194:9200/mqitv?proxy=true&id=live1033
CCTV4-中央衛視,http://45.196.238.194:9200/mqitv?proxy=true&id=live1034
海峽衛視,http://45.196.238.194:9200/mqitv?proxy=true&id=live1035
浙江衛視,http://45.196.238.194:9200/mqitv?proxy=true&id=live1036
東方衛視,http://45.196.238.194:9200/mqitv?proxy=true&id=live1037
湖南衛視,http://45.196.238.194:9200/mqitv?proxy=true&id=live1038
鳯凰衛視資訊,http://45.196.238.194:9200/mqitv?proxy=true&id=live1666
鳯凰衛視中文,http://45.196.238.194:9200/mqitv?proxy=true&id=live1213
