

极速央卫,#genre#
CCTV1,http://110.177.144.22:9003/hls/1/index.m3u8
CCTV2,http://110.177.144.22:9003/hls/2/index.m3u8
CCTV3,http://110.177.144.22:9003/hls/3/index.m3u8
CCTV4,http://110.177.144.22:9003/hls/4/index.m3u8
CCTV5,http://110.177.144.22:9003/hls/5/index.m3u8
CCTV5+,http://110.177.144.22:9003/hls/6/index.m3u8
CCTV6,http://110.177.144.22:9003/hls/7/index.m3u8
CCTV7,http://110.177.144.22:9003/hls/8/index.m3u8
CCTV8,http://110.177.144.22:9003/hls/9/index.m3u8
CCTV9,http://110.177.144.22:9003/hls/10/index.m3u8
CCTV10,http://110.177.144.22:9003/hls/11/index.m3u8
CCTV11,http://110.177.144.22:9003/hls/12/index.m3u8
CCTV12,http://110.177.144.22:9003/hls/13/index.m3u8
CCTV13,http://110.177.144.22:9003/hls/14/index.m3u8
CCTV14,http://110.177.144.22:9003/hls/15/index.m3u8
CCTV15,http://110.177.144.22:9003/hls/16/index.m3u8
CCTV16,http://110.177.144.22:9003/hls/17/index.m3u8
CCTV17,http://110.177.144.22:9003/hls/18/index.m3u8
安徽卫视,http://110.177.144.22:9003/hls/21/index.m3u8
湖南卫视,http://110.177.144.22:9003/hls/33/index.m3u8
江苏卫视,http://110.177.144.22:9003/hls/35/index.m3u8
山西卫视,http://110.177.144.22:9003/hls/19/index.m3u8
北京卫视,http://110.177.144.22:9003/hls/20/index.m3u8
重庆卫视,http://110.177.144.22:9003/hls/22/index.m3u8
福建卫视,http://110.177.144.22:9003/hls/24/index.m3u8
甘肃卫视,http://110.177.144.22:9003/hls/25/index.m3u8
广东卫视,http://110.177.144.22:9003/hls/26/index.m3u8
广西卫视,http://110.177.144.22:9003/hls/27/index.m3u8
海南卫视,http://110.177.144.22:9003/hls/28/index.m3u8
河南卫视,http://110.177.144.22:9003/hls/30/index.m3u8
黑龙江卫视,http://110.177.144.22:9003/hls/31/index.m3u8
湖北卫视,http://110.177.144.22:9003/hls/32/index.m3u8
江西卫视,http://110.177.144.22:9003/hls/36/index.m3u8
辽宁卫视,http://110.177.144.22:9003/hls/37/index.m3u8
吉林卫视,http://110.177.144.22:9003/hls/34/index.m3u8


河北卫视,http://110.177.144.22:9003/hls/29/index.m3u8





央卫咪咕,#genre#
CCTV-01咪咕,http://go.bkpcp.top/mg/cctv1
CCTV-02咪咕,http://go.bkpcp.top/mg/cctv2
CCTV-03咪咕,http://go.bkpcp.top/mg/cctv3
CCTV-04咪咕,http://go.bkpcp.top/mg/cctv4
CCTV-05咪咕,http://go.bkpcp.top/mg/cctv5
CCTV-5+咪咕,http://go.bkpcp.top/mg/cctv5p
CCTV-06咪咕,http://go.bkpcp.top/mg/cctv6
CCTV-07咪咕,http://go.bkpcp.top/mg/cctv7
CCTV-08咪咕,http://go.bkpcp.top/mg/cctv8
CCTV-09咪咕,http://go.bkpcp.top/mg/cctv9
CCTV-10咪咕,http://go.bkpcp.top/mg/cctv10
CCTV-11咪咕,http://go.bkpcp.top/mg/cctv11
CCTV-12咪咕,http://go.bkpcp.top/mg/cctv12
CCTV-13咪咕,http://go.bkpcp.top/mg/cctv13
CCTV-14咪咕,http://go.bkpcp.top/mg/cctv14
CCTV-15咪咕,http://go.bkpcp.top/mg/cctv15
CCTV-16咪咕,http://go.bkpcp.top/mg/cctv16
CCTV-17咪咕,http://go.bkpcp.top/mg/cctv17
cct4欧洲咪咕,http://go.bkpcp.top/mg/cctv4o
cct4美洲咪咕,http://go.bkpcp.top/mg/cctv4m
CGTN-西咪咕,http://go.bkpcp.top/mg/cgtne
CGTN-阿咪咕,http://go.bkpcp.top/mg/cgtna
CGTN-法咪咕,http://go.bkpcp.top/mg/cgtnf
北京卫视咪咕,http://go.bkpcp.top/mg/bjws
东方卫视咪咕,http://go.bkpcp.top/mg/dfws
浙江卫视咪咕,http://go.bkpcp.top/mg/zjws
江苏卫视咪咕,http://go.bkpcp.top/mg/jsws
湖南卫视咪咕,http://go.bkpcp.top/mg/hunws
广东卫视咪咕,http://go.bkpcp.top/mg/gdws
深圳卫视咪4k,http://go.bkpcp.top/mg/szws
山东卫视咪咕,http://go.bkpcp.top/mg/sdws
河南卫视咪咕,http://go.bkpcp.top/mg/hnws
江西卫视咪咕,http://go.bkpcp.top/mg/jxws
湖北卫视咪咕,http://go.bkpcp.top/mg/hubws
海南卫视咪咕,http://go.bkpcp.top/mg/hinws
陕西卫视咪咕,http://go.bkpcp.top/mg/sxws
兵团卫视咪咕,http://go.bkpcp.top/mg/btws
黑龙江视咪咕,http://go.bkpcp.top/mg/hljws




欣赏频道,#genre#
粤语戏曲频道,http://tl.061833.xyz/tl/null-15
粤语长片频道,http://tl.061833.xyz/tl/null-10
Plus综合频道,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_j2.flv
pₒₚc电影频道,https://fr-us7.jdiptv.cc/live/popc.m3u8
pₒₚc电影频道,http://push-rtmp-hs-spe-f5.douyincdn.com/live/xiangjiaogepopc.flv
pₒₚc电影频道,http://tl.061833.xyz/tl/popc
Now爆谷频道,http://push-rtmp-hs-spe-f5.douyincdn.com/live/vhNli7a2uwqrSArlhBpDjs0wLosrFVLkMnb9OJ2Hzj14qlP0TO.flv
Now星影频道,http://push-rtmp-hs-spe-f5.douyincdn.com/live/yU8AAUm9MpL5qwiSyewAkms5LtKjQp9G9LEk5mnLosrF1EgdRk.flv
中天新闻频道,https://smart.pendy.dpdns.org/Smart.php?id=ctinews
有线新闻频道,http://api.mg.itv888.cn:8080/hls/5e12ccd9191/index.m3u8
有线新闻频道,https://smart.pendy.dpdns.org/Smart.php?id=hoycaijing_twn
无线新闻频道,https://edge.163189.xyz/163189/wxxw
无线新闻频道,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_wxxw.flv
无线新闻频道,http://erp.giihgtidg.com:8080/live/wxxw01.m3u8
Now新闻频道,http://cdn.163189.xyz/163189/now
凤凰中文频标,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_fhzw.flv
凤凰资讯频高,https://edge.163189.xyz/163189/fhzx
凤凰资讯频高,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_fhzx.flv
凤凰香港频高,https://edge.163189.xyz/163189/fhhk
凤凰香港频高,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_fhxg.flv
无线翡翠频道,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_jade.flv
无线翡翠频道,http://push-rtmp-hs-spe-f5.douyincdn.com/live/xiangjiaoge15131132145.flv
无线翡翠频道,http://erp.giihgtidg.com:8080/live/jade01.m3u8
无线明珠频道,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_mz.flv
有线综合频道,https://edge.163189.xyz/163189/hoy
广东珠江频道,http://push-rtmp-hs-spe-f5.douyincdn.com/live/96a6703f0ad8736352c2be0e6f5630fb.flv
广东体育频道,http://push-rtmp-hs-spe-f5.douyincdn.com/live/guangdong_ty.flv
广东新闻频道,http://push-rtmp-hs-spe-f5.douyincdn.com/live/guangdong_xw.flv
广东民生频道,http://push-rtmp-hs-spe-f5.douyincdn.com/live/guangdong_ms.flv
广东影视频道,http://push-rtmp-hs-spe-f5.douyincdn.com/live/guangdong_ys.flv
寰宇新闻频道,http://push-rtmp-hs-spe-f5.douyincdn.com/live/hyxw01.flv
东森新闻频道,http://push-rtmp-hs-spe-f5.douyincdn.com/live/dsxw01.flv
民视新闻频道,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_mstw.flv
东森超视频道,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_dscs.flv
东森综合频道,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_dszh.flv
中天亚洲频道,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_ztyz.flv
八大第一频道,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_bddy.flv
八大综合频高,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_bdzh.flv
