秒开,#genre# 
凤凰卫视中文台,http://t.061899.xyz/tl/js/js.php?id=fhwszwt
凤凰卫视资讯台,http://t.061899.xyz/tl/js/js.php?id=fhwszxt
凤凰卫视香港台,http://t.061899.xyz/tl/js/js.php?id=fhwsxgt
TVB翡翠台,http://t.061899.xyz/tl/js/js.php?id=tvbfct
TVB无线新闻台,http://t.061899.xyz/tl/js/js.php?id=tvbwxxwt
TVB Plus,http://t.061899.xyz/tl/js/js.php?id=tvbplus
TVB明珠台,http://t.061899.xyz/tl/js/js.php?id=tvbmzt
香港有线新闻台,http://t.061899.xyz/tl/js/js.php?id=xgyxxwt
香港有线18台,http://t.061899.xyz/tl/js/js.php?id=18xgyxt
香港有线18台(备),http://t.061899.xyz/tl/js/js.php?id=18xgyxtb
NOW直播台,http://t.061899.xyz/tl/js/js.php?id=nowzbt
NOW新闻台,http://t.061899.xyz/tl/js/js.php?id=nowxwt
NOW财经台,http://t.061899.xyz/tl/js/js.php?id=nowcjt
ViuTV,http://t.061899.xyz/tl/js/js.php?id=viutv
ViuTV6,http://t.061899.xyz/tl/js/js.php?id=6viutv
HOY国际财经台,http://t.061899.xyz/tl/js/js.php?id=hoygjcjt
HOY资讯台,http://t.061899.xyz/tl/js/js.php?id=hoyzxt
HOY TV,http://t.061899.xyz/tl/js/js.php?id=hoytv
港台电视31,http://t.061899.xyz/tl/js/js.php?id=31gtds
港台电视32,http://t.061899.xyz/tl/js/js.php?id=32gtds
中天新闻台,http://t.061899.xyz/tl/js/js.php?id=ztxwt
东森新闻台,http://t.061899.xyz/tl/js/js.php?id=dsxwt
东森财经新闻台,http://t.061899.xyz/tl/js/js.php?id=dscjxwt
中视新闻台,http://t.061899.xyz/tl/js/js.php?id=zsxwt
台视新闻台,http://t.061899.xyz/tl/js/js.php?id=tsxwt
三立新闻台,http://t.061899.xyz/tl/js/js.php?id=slxwt
民视新闻台,http://t.061899.xyz/tl/js/js.php?id=msxwt
华视新闻台,http://t.061899.xyz/tl/js/js.php?id=hsxwt
镜电视新闻台,http://t.061899.xyz/tl/js/js.php?id=jdsxwt
寰宇新闻台,http://t.061899.xyz/tl/js/js.php?id=hyxwt
寰宇新闻台湾台,http://t.061899.xyz/tl/js/js.php?id=hyxwtwt
TVBS新闻台,http://t.061899.xyz/tl/js/js.php?id=tvbsxwt
TVBS HD,http://t.061899.xyz/tl/js/js.php?id=tvbshd
中视HD,http://t.061899.xyz/tl/js/js.php?id=hdzs
台视HD,http://t.061899.xyz/tl/js/js.php?id=hdts
民视HD,http://t.061899.xyz/tl/js/js.php?id=hdms
华视HD,http://t.061899.xyz/tl/js/js.php?id=hdhs
三立台湾台,http://t.061899.xyz/tl/js/js.php?id=sltwt
緯來體育台,http://t.061899.xyz/tl/js/js.php?id=wltyt
纬来日本台,http://t.061899.xyz/tl/js/js.php?id=wlrbt
纬来育乐台,http://t.061899.xyz/tl/js/js.php?id=wlylt
DAZN 1,http://t.061899.xyz/tl/js/js.php?id=1dazn
DAZN 2,http://t.061899.xyz/tl/js/js.php?id=2dazn
爱尔达体育1台,http://t.061899.xyz/tl/js/js.php?id=1aedtyt
爱尔达体育2台,http://t.061899.xyz/tl/js/js.php?id=2aedtyt
爱尔达体育3台,http://t.061899.xyz/tl/js/js.php?id=3aedtyt
爱尔达体育4台,http://t.061899.xyz/tl/js/js.php?id=4aedtyt
大爱一台,http://t.061899.xyz/tl/js/js.php?id=dayt
大爱二台,http://t.061899.xyz/tl/js/js.php?id=daet
