#This file is automatically generated by https://freetv.fun and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Afghanistan,#genre#
LCN TV,https://stream1.freetv.fun/gln-tv-1.m3u8
LCN TV,https://stream1.freetv.fun/jcn-tv-1.m3u8
LCN TV,https://stream1.freetv.fun/cpn-tv-1.m3u8
Africa,#genre#
Canal 2 Africa,https://stream1.freetv.fun/canal-2-2.m3u8
Canal 2 Africa,https://stream1.freetv.fun/canal-2-4.m3u8
DIASPORA24 ( Africa ) ,https://stream1.freetv.fun/diaspora-24-1.m3u8
GHANA TV,https://stream1.freetv.fun/gandan-tv-1.m3u8
GTV (GHANA),https://stream1.freetv.fun/gvtv-1.m3u8
GTV (GHANA),https://stream1.freetv.fun/sgtv-2.m3u8
GTV (GHANA),https://stream1.freetv.fun/gtv-1.m3u8
GTV (GHANA),https://stream1.freetv.fun/fgtv-1.m3u8
GTV (GHANA),https://stream1.freetv.fun/ugtv-1.m3u8
GTV (GHANA),https://stream1.freetv.fun/ugtv-2.m3u8
Kalsan TV Somali,https://stream1.freetv.fun/kalsan-tv-1.m3u8
R2TV Africa,https://stream1.freetv.fun/tvi-africa-1.m3u8
Sudan TV,https://stream1.freetv.fun/sun-rtv-1.m3u8
Sudan TV,https://stream1.freetv.fun/sudan-tv-2.m3u8
Sudan TV[geo-blocked],https://stream1.freetv.fun/sukan-tv-1.m3u8
TFM Senegal,https://stream1.freetv.fun/tfm-1.m3u8
TV Continental,https://stream1.freetv.fun/continent-e-1.ctv
Telecongo,https://stream1.freetv.fun/tele-congo-1.m3u8
Universal Somali TV ,https://stream1.freetv.fun/universal-somali-tv-1.m3u8
Vision TV 4 Africa,https://stream1.freetv.fun/vision-4-1.m3u8
Albania,#genre#
Alb Music,https://stream1.freetv.fun/hallo-music-2.m3u8
Alb Music,https://stream1.freetv.fun/alb-music-1.m3u8
KTV Kohavision Albania,https://stream1.freetv.fun/kohavision-1.m3u8
KTV Kohavision Albania,https://stream1.freetv.fun/kohavision-2.m3u8
Kanali 7 News,https://stream1.freetv.fun/kairali-news-1.m3u8
RTV 21 HD Albania,https://stream1.freetv.fun/rtv-1.m3u8
RTV 21 HD Albania,https://stream1.freetv.fun/rtv-21-albania-1.m3u8
RTV 21 HD Albania,https://stream1.freetv.fun/rtv-2.m3u8
Super Sport 3 HD[geo-blocked],https://stream1.freetv.fun/supersports-3-1.ctv
Super Sport 4 HD[geo-blocked],https://stream1.freetv.fun/supersports-4-1.ctv
TVSH ALBANIA,https://stream1.freetv.fun/tv7-albania-1.m3u8
Tip TV,https://stream1.freetv.fun/tptv-1.m3u8
Tip TV,https://stream1.freetv.fun/tptv-4.m3u8
Tip TV,https://stream1.freetv.fun/top-tv-1.m3u8
Vizion Plus Albania,https://stream1.freetv.fun/vizion-plus-al-1.m3u8
Algeria,#genre#
Elheddaf TV,https://stream1.freetv.fun/el-heddaf-tv-1.m3u8
Ennahar TV[geo-blocked],https://stream1.freetv.fun/vendhar-tv-1.m3u8
Lindex TV,https://stream1.freetv.fun/line-tv-1.m3u8
Argentina,#genre#
America TV,https://stream1.freetv.fun/mta8-america-1.m3u8
America TV,https://stream1.freetv.fun/america-teve-1.m3u8
America TV,https://stream1.freetv.fun/tv-life-america-1.m3u8
America TV,https://stream1.freetv.fun/motoamerica-tv-1.m3u8
America TV[geo-blocked],https://stream1.freetv.fun/cctv-4-america-2.m3u8
America TV,https://stream1.freetv.fun/racing-america-1.m3u8
America TV,https://stream1.freetv.fun/outdoor-america-1.m3u8
