🇨🇳央视IPTV,#genre#
CCTV1,http://221.205.204.69:9003/hls/1/index.m3u8$线路1
CCTV1,http://www.li0580.top:4022/udp/233.50.201.118:5140$线路2
CCTV1,http://www.li0580.top:4022/udp/233.50.201.222:5140$线路3
CCTV1,http://www.li0580.top:4022/udp/233.50.200.130:5140$线路4
CCTV1,http://www.li0580.top:4022/udp/233.50.200.143:5140$线路5
CCTV1,http://www.li0580.top:4022/udp/233.50.200.99:5140$线路6
CCTV1,http://www.li0580.top:4022/udp/233.50.201.1:5140$线路7
CCTV1,http://taolinhz.3322.org:4000/udp/233.50.201.222:5140$线路8
CCTV1,http://taolinhz.3322.org:4000/udp/233.50.201.118:5140$线路9
CCTV1,http://taolinhz.3322.org:4000/udp/233.50.200.130:5140$线路10
CCTV1,http://taolinhz.3322.org:4000/udp/233.50.200.143:5140$线路11
CCTV1,http://taolinhz.3322.org:4000/udp/233.50.200.99:5140$线路12
CCTV1,http://taolinhz.3322.org:4000/udp/233.50.201.1:5140$线路13
CCTV1,http://36.24.185.17:8888/rtp/233.50.201.118:5140$线路14
CCTV1,http://36.24.185.17:8888/rtp/233.50.201.222:5140$线路15
CCTV1,http://101.96.156.51:41097/rtp/239.254.200.45:8008$线路16
CCTV1,http://113.120.46.204:8123/udp/239.21.1.120:5002$线路17
CCTV1,http://58.32.33.197:4022/rtp/239.45.3.145:5140$线路18
CCTV1,http://123.130.148.116:8888/rtp/239.253.248.77:8000$线路19
CCTV1,http://116.233.38.0:8888/udp/239.45.3.145:5140$线路20
CCTV1,http://218.88.106.231:10086/rtp/239.93.0.184:5140$线路21
CCTV1,http://42.92.195.230:10000/rtp/239.255.30.101:8231$线路22
CCTV1,http://27.154.96.43:3386/rtp/239.61.3.61:9884$线路23
CCTV1,http://123.174.106.183:8888/rtp/239.1.1.7:8007$线路24
CCTV1,http://124.227.196.214:9988/rtp/239.81.0.102:4056$线路25
CCTV1,http://218.81.49.40:10010/rtp/239.45.3.145:5140$线路26
CCTV1,http://222.95.140.66:58888/udp/239.49.8.19:9614$线路27
CCTV1,http://171.107.72.140:4000/udp/239.81.0.102:4056$线路28
CCTV1,http://27.19.29.186:999/rtp/239.254.96.96:8550$线路29
CCTV1,http://122.189.103.39:8888/rtp/228.0.0.1:6108$线路30
CCTV1,http://118.77.119.46:8999/rtp/226.0.2.153:9136$线路31
CCTV1,http://118.77.119.46:8999/rtp/226.0.2.16:8040$线路32
CCTV1,http://211.92.28.211:3136/rtp/225.0.4.74:7980$线路33
CCTV1,http://222.83.161.190:9003/rtp/239.81.0.102:4056$线路34
CCTV1,http://219.141.44.171:8188/udp/238.255.2.91:5999$线路35
CCTV1,http://180.165.4.254:7088/rtp/239.45.3.145:5140$线路36
CCTV1,http://180.213.170.24:8188/rtp/239.5.1.4:5000$线路37
CCTV1,http://221.224.197.251:9901/tsfile/live/0001_1.m3u8?key=txiptv$线路38
CCTV1,http://60.163.104.63:9999/rtp/233.50.200.143:5140$线路39
CCTV1,http://60.163.104.63:9999/rtp/233.50.201.109:5140$线路40
CCTV1,http://60.163.104.63:9999/rtp/233.50.200.191:5140$线路41
