声明,#genre#
制作不易,https://d.kstore.dev/download/8165/%E6%89%93%E8%B5%8F%E7%A0%81.mp4
免费观看,https://d.kstore.dev/download/8165/%E6%89%93%E8%B5%8F%E7%A0%81.mp4
爱扒就扒,https://d.kstore.dev/download/8165/%E6%89%93%E8%B5%8F%E7%A0%81.mp4
爱拿就拿,https://d.kstore.dev/download/8165/%E6%89%93%E8%B5%8F%E7%A0%81.mp4
不必纠结,https://d.kstore.dev/download/8165/%E6%89%93%E8%B5%8F%E7%A0%81.mp4
微信公众号 呛口唯美小辣椒,https://vd2.bdstatic.com/mda-mb5qq1ic4yvekk6r/v2-hknm/sc/mda-mb5qq1ic4yvekk6r.mp4
QQ群262361818,https://vd4.bdstatic.com:443/mda-mipn4ccctdasgr2r/fhd/cae_h264_nowatermark/1632498915227563300/mda-mipn4ccctdasgr2r.mp4
QQ群533797000,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg197E4gUozOqwrwU.mp4
免费观看,https://vd3.bdstatic.com/mda-pdm08zc1ggjx4ycx/sc/bd265_cae_visr_v5/1682123201087649318/mda-pdm08zc1ggjx4ycx.mp4
禁止外传,https://vd3.bdstatic.com/mda-pdi9u02n4u3dxcpz/sc/bd265_cae_visr_v5/1682208259591287320/mda-pdi9u02n4u3dxcpz.mp4
禁止商用https://vd3.bdstatic.com/mda-pdjam1wd9d8uay3n/sc/bd265_cae_visr_v5/1682158319858313890/mda-pdjam1wd9d8uay3n.mp4

央视,#genre#
CCTV1综合,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/1200/index.m3u8?msisdn=20251026140029325b9e62ca544b9cb451129fd783e3e7&mdspid=&spid=699004&netType=0&sid=2201057821&pid=2028597139&timestamp=20251026140029&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=106.13.250.90&SecurityKey=20251026140029&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=4bc7716419c07e43199d36610dce17f5&ddCalcu=54fbe7c2178e70c1d60411696c30d79e9413
CCTV2财经,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv2hd/1500/index.m3u8?msisdn=2025102614002929f91a80fb5b4b17b6a3ea180a679932&mdspid=&spid=699004&netType=0&sid=5500346945&pid=2028597139&timestamp=20251026140029&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=631780532&ParentNodeID=-99&assertID=5500346945&client_ip=106.13.250.90&SecurityKey=20251026140029&promotionId=&mvid=5101064231&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=6231e04e9f95356be22c253eb61efed9&ddCalcu=96d2ee32f11ee01064bee93f5925c32526eb
CCTV3综艺,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=202510261400295cc8e8992c6c4231acb6244e8dd8f58e&mdspid=&spid=699004&netType=0&sid=5500212864&pid=2028597139&timestamp=20251026140029&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=106.13.250.90&SecurityKey=20251026140029&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=a589ac97ce5b2e5dd32db732caca2850&ddCalcu=0a55e882294aa0cca9c72c3e75bbd22e35dd
