香港频道,#genre#
翡翠台,https://live.catvod.com/catvod_com.php?id=jade_twn&token=1622bbeaf346cd454cadd09f3aaf7ce582546f73ed67115aa484155a4631ba6d%3A1757743831
翡翠台 backup,https://live.catvod.com/catvod_com.php?id=Jade_xue&token=a51d284af67cb51ff8ac7030235623e364603b5c328446fab9a5e7f222af4540%3A1757743831
iNews 新闻台,https://live.catvod.com/catvod_com.php?id=inews_twn&token=c4148bfae2d6da544471348e3e6414fbc88a3f6f4b3d373edd31c91037e16f36%3A1757743831
J 2,https://live.catvod.com/catvod_com.php?id=j2_twn&token=7031adea5df45b71345fddbeff67d949a6e149544d7d4c4b238eae9c1e39f361%3A1757743831
珍珠台,https://live.catvod.com/catvod_com.php?id=pearl_twn&token=be1a9497e23a44d444221aee713ddfcb7808cf95212b7cbf2441d7626749fe22%3A1757743831
凤凰香港,https://live.catvod.com/catvod_com.php?id=hkphoenix_twn&token=c6cb4fc0e972f9eef3785e1391c672e61a65e9e65c4ea3cc35cb814c02fdc21e%3A1757743831
HOY资讯台,https://live.catvod.com/catvod_com.php?id=hoycaijing_twn&token=8aa44bfeecc251ea15bfc71cbe414c8baa2fd50443bae17ca506d8fcf103e259%3A1757743831
RHK 31,https://live.catvod.com/catvod_com.php?id=rhk31_twn&token=33934b9276e021c07ba6a395d601f2bd6919a8d51dfeab40c44c189f2cdcbd84%3A1757743831
VIUTV1,https://live.catvod.com/catvod_com.php?id=viu1_twn&token=14488ae0390b52c43329de6c9f3989493e94f64c09cdbb25ab8141a5eb8e1a05%3A1757743831
RHK 32,https://live.catvod.com/catvod_com.php?id=rhk32_twn&token=17225117955c72331332f556529c45c7f6b6fedcf06b86248a1517848a21417b%3A1757743831
凤凰卫视,https://live.catvod.com/catvod_com.php?id=phoenixtv_hd&token=4f6af7b67bfe8f96bf275554b01c14d8a533e1af9d5ae04e7b86b99637706d80%3A1757743831
凤凰资讯,https://live.catvod.com/catvod_com.php?id=phoenixinfo_hd&token=4e5d5f7d36d9f0a128127859f6d75b236130fd8330758dd5df175ccdb43913eb%3A1757743831
Viu6,https://live.catvod.com/catvod_com.php?id=viusix_twn&token=ad09afe2dc3e4755307ce7ac1abb85f36449ec481604bfc869b7b37f3b4126a9%3A1757743831
央视频道,#genre#
