湖南频道,#genre#
湖南卫视,http://39.134.240.4/PLTV/2/224/3221226132/index.m3u8
湖南都市,http://39.134.240.4/PLTV/2/224/3221226146/index.m3u8
湖南电视剧,http://39.134.240.4/PLTV/2/224/3221226138/index.m3u8
湖南经视,http://39.134.240.4/PLTV/2/224/3221226036/index.m3u8
湖南国际,http://39.134.240.4/PLTV/2/224/3221226194/index.m3u8
湖南爱晚,http://39.134.240.4/PLTV/2/224/3221226192/index.m3u8
湖南娱乐,http://39.134.240.4/PLTV/2/224/3221226144/index.m3u8
湖南电影,http://39.134.240.4/PLTV/2/224/3221226140/index.m3u8



湖南经视,http://183.215.116.134:6610/180000001001/00000001000000000002000000113182/main.m3u8?IASHttpSessionId=OTT
湖南电视剧,http://183.215.116.134:6610/180000001001/00000001000000000007000000001245/main.m3u8?IASHttpSessionId=OTT
湖南电影,http://183.215.116.134:6610/180000001001/00000001000000000007000000001246/main.m3u8?IASHttpSessionId=OTT
湖南娱乐,http://183.215.116.134:6610/180000001001/00000001000000000007000000001248/main.m3u8?IASHttpSessionId=OTT
湖南国际,http://183.215.116.134:6610/180000001001/00000001000000001001000000000045/main.m3u8?IASHttpSessionId=OTT
湖南爱晚,http://183.215.116.134:6610/180000001001/00000001000000000008000000047425/main.m3u8?IASHttpSessionId=OTT
湖南都市,http://183.215.116.134:6610/180000001001/00000001000000001001000000000041/main.m3u8?IASHttpSessionId=OTT
湖南都市,http://183.215.116.134:6610/180000001001/00000001000000000007000000001249/main.m3u8?IASHttpSessionId=OTT
金鹰纪实,http://183.215.116.134:6610/180000001001/00000001000000000016000000007228/main.m3u8?IASHttpSessionId=ottrrs


央视+4K,#genre#
CCTV4K,http://183.215.116.134:6610/180000001001/32023092211020848462000290559536/main.m3u8?IASHttpSessionId=OTT
CCTV16,http://fjcm-2117.live.iptv.darwinchow.com/PLTV/88888888/224/3221227162/index.m3u8
CCTV16,http://183.215.116.134:6610/180000001001/00000001000000000085000000178450/main.m3u8?IASHttpSessionId=OTT


世界地理,http://183.215.116.134:6610/180000001001/00000001000000000091000000244805/main.m3u8?IASHttpSessionId=OTT


凤凰卫视中文台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/fhwszwt-012346789.flv
凤凰资讯,http://push-rtmp-hs-spe-f5.douyincdn.com/live/fhwszxt-012346789.flv
凤凰香港,http://push-rtmp-hs-spe-f5.douyincdn.com/live/fhwsxgt-012346789.flv

凤凰卫视中文台,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰卫视中文台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw



凤凰卫视中文台,http://s1.an94tv.cfd/aktv/CH-3/AKTV.m3u8
凤凰资讯,http://s1.an94tv.cfd/aktv/CH-4/AKTV.m3u8
凤凰香港,http://s1.an94tv.cfd/aktv/CH-5/AKTV.m3u8







凤凰卫视中文台,http://203.205.191.53/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯,http://203.205.191.53/qctv.fengshows.cn/live/0701pin72.m3u8






CHC动作电影,http://183.215.116.134:6610/180000001001/00000001000000000050000000448842/main.m3u8?IASHttpSessionId=OTT
CHC影迷电影,http://183.215.116.134:6610/180000001001/00000001000000000050000000448841/main.m3u8?IASHttpSessionId=OTT
CHC家庭影院,http://183.215.116.134:6610/180000001001/00000001000000000050000000448840/main.m3u8?IASHttpSessionId=OTT
CHC动作电影,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000050000000448842/main.m3u8?stbid=
CHC家庭影院,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000050000000448840/main.m3u8?stbid=
CHC影迷电影,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000050000000448841/main.m3u8?stbid=
世界地理,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000091000000244805/main.m3u8?stbid=

CCTV1,http://39.134.240.4/PLTV/2/224/3221226134/index.m3u8
CCTV2,http://39.134.240.4/PLTV/2/224/3221226188/index.m3u8
CCTV3,http://39.134.240.4/PLTV/2/224/3221226190/index.m3u8
CCTV4,http://39.134.240.4/PLTV/2/224/3221225829/index.m3u8
CCTV5,http://39.134.240.4/PLTV/2/224/3221225827/index.m3u8
CCTV5+,http://39.134.240.4/PLTV/2/224/3221225811/index.m3u8
