央视频道,#genre#
CCTV1,http://ott.mobaibox.com/PLTV/4/224/3221228581/index.m3u8$央视
CCTV2,http://ott.mobaibox.com/PLTV/3/224/3221228094/index.m3u8$央视
CCTV3,http://ott.mobaibox.com/PLTV/3/224/3221228499/index.m3u8$央视
CCTV4,http://ott.mobaibox.com/PLTV/3/224/3221228091/index.m3u8$央视
CCTV5,http://ott.mobaibox.com/PLTV/3/224/3221228502/index.m3u8$央视
CCTV5+,http://ott.mobaibox.com/PLTV/3/224/3221228176/index.m3u8$央视
CCTV6,http://ott.mobaibox.com/PLTV/3/224/3221228516/index.m3u8$央视
CCTV7,http://ott.mobaibox.com/PLTV/3/224/3221227626/index.m3u8$央视
CCTV8,http://ott.mobaibox.com/PLTV/3/224/3221228578/index.m3u8$央视
CCTV9,http://ott.mobaibox.com/PLTV/3/224/3221227614/index.m3u8$央视
CCTV10,http://ott.mobaibox.com/PLTV/3/224/3221227620/index.m3u8$央视
CCTV11,http://ott.mobaibox.com/PLTV/3/224/3221227720/index.m3u8$央视
CCTV12,http://ott.mobaibox.com/PLTV/3/224/3221227637/index.m3u8$央视
CCTV13,http://ott.mobaibox.com/PLTV/3/224/3221228224/index.m3u8$央视
CCTV14,http://ott.mobaibox.com/PLTV/3/224/3221227693/index.m3u8$央视
CCTV15,http://ott.mobaibox.com/PLTV/3/224/3221227723/index.m3u8$央视
CCTV16,http://ott.mobaibox.com/PLTV/3/224/3221228168/index.m3u8$央视
CCTV17,http://ott.mobaibox.com/PLTV/3/224/3221227592/index.m3u8$央视
央视台球,http://ott.mobaibox.com/PLTV/3/224/3221228683/index.m3u8$央视


卫视频道,#genre#
吉林卫视,http://ott.mobaibox.com/PLTV/3/224/3221228130/index.m3u8$卫视
辽宁卫视,http://ott.mobaibox.com/PLTV/3/224/3221227485/index.m3u8$卫视
广东卫视,http://ott.mobaibox.com/PLTV/1/224/3221227476/index.m3u8$卫视
深圳卫视,http://ott.mobaibox.com/PLTV/3/224/3221227555/index.m3u8$卫视
浙江卫视,http://ott.mobaibox.com/PLTV/3/224/3221227491/index.m3u8$卫视
湖南卫视,http://ott.mobaibox.com/PLTV/3/224/3221227482/index.m3u8$卫视
北京卫视,http://ott.mobaibox.com/PLTV/3/224/3221227508/index.m3u8$卫视
湖北卫视,http://ott.mobaibox.com/PLTV/3/224/3221227479/index.m3u8$卫视
黑龙江卫视,http://ott.mobaibox.com/PLTV/3/224/3221227514/index.m3u8$卫视
安徽卫视,http://ott.mobaibox.com/PLTV/3/224/3221227558/index.m3u8$卫视
重庆卫视,http://ott.mobaibox.com/PLTV/3/224/3221228133/index.m3u8$卫视
东方卫视,http://ott.mobaibox.com/PLTV/3/224/3221227511/index.m3u8$卫视
东南卫视,http://ott.mobaibox.com/PLTV/3/224/3221227670/index.m3u8$卫视
甘肃卫视,http://ott.mobaibox.com/PLTV/3/224/3221227568/index.m3u8$卫视
广西卫视,http://ott.mobaibox.com/PLTV/3/224/3221228183/index.m3u8$卫视
贵州卫视,http://ott.mobaibox.com/PLTV/3/224/3221228136/index.m3u8$卫视
海南卫视,http://ott.mobaibox.com/PLTV/3/224/3221228139/index.m3u8$卫视
河北卫视,http://ott.mobaibox.com/PLTV/3/224/3221228106/index.m3u8$卫视
河南卫视,http://ott.mobaibox.com/PLTV/3/224/3221228221/index.m3u8$卫视
江苏卫视,http://ott.mobaibox.com/PLTV/3/224/3221228097/index.m3u8$卫视
江西卫视,http://ott.mobaibox.com/PLTV/3/224/3221228109/index.m3u8$卫视
青海卫视,http://ott.mobaibox.com/PLTV/3/224/3221227554/index.m3u8$卫视
山东卫视,http://ott.mobaibox.com/PLTV/3/224/3221227517/index.m3u8$卫视
四川卫视,http://ott.mobaibox.com/PLTV/3/224/3221228171/index.m3u8$卫视
三沙卫视,http://ott.mobaibox.com/PLTV/3/224/3221228626/index.m3u8$卫视
天津卫视,http://ott.mobaibox.com/PLTV/3/224/3221227488/index.m3u8$卫视
新疆卫视,http://ott.mobaibox.com/PLTV/3/224/3221228290/index.m3u8$卫视
云南卫视,http://ott.mobaibox.com/PLTV/3/224/3221227571/index.m3u8$卫视
内蒙古卫视,http://ott.mobaibox.com/PLTV/3/224/3221227557/index.m3u8$卫视
厦门卫视,http://ott.mobaibox.com/PLTV/3/224/3221227604/index.m3u8$卫视
陕西卫视,http://ott.mobaibox.com/PLTV/3/224/3221227583/index.m3u8$卫视
