漫长的季节,#genre#
第01集,https://vip.ffzy-online5.com/20230422/10921_214e81bf/index.m3u8
央視台球,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024172403.m3u8
風雲音樂,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024163303.m3u8
風雲劇場,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024171703.m3u8
第一劇場,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024171803.m3u8
懷舊劇場,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024171903.m3u8
第06集,https://vip.ffzy-online5.com/20230425/11036_b5c67b49/index.m3u8
第07集,https://svipsvip.ffzy-online5.com/20230426/11061_61d0ce79/index.m3u8
第08集,https://svipsvip.ffzy-online5.com/20230427/11092_6c5ab56b/index.m3u8
第09集,https://svipsvip.ffzy-online5.com/20230428/11123_5a60ecba/index.m3u8
衛生健康,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024165203.m3u8
女性时尚,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024172203.m3u8
風雲足球,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2012514203.m3u8
央視文化,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024172303.m3u8
電視指南,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024172503.m3u8
高爾夫網球,http://119.176.28.185/outlivecloud-cdn.ysp.cctv.cn/ysp/2024166203.m3u8
CCTV1,http://t.061899.xyz/tl/dq.php?id=cctv1
CCTV2,http://t.061899.xyz/tl/dq.php?id=cctv2
CCTV3,http://t.061899.xyz/tl/dq.php?id=cctv3
CCTV4,http://t.061899.xyz/tl/dq.php?id=cctv4
CCTV5,http://t.061899.xyz/tl/dq.php?id=cctv5
第12集,https://svipsvip.ffzy-online5.com/20230501/11223_c41d280c/index.m3u8
亮剑️️,#genre#
第01集,https://vip.ffzy-play1.com/20230113/51806_72d20784/2000k/hls/mixed.m3u8
第02集,https://vip.ffzy-play1.com/20230113/51805_af533edb/2000k/hls/mixed.m3u8
第03集,https://vip.ffzy-play1.com/20230113/51807_0da1f48c/2000k/hls/mixed.m3u8
第04集,https://vip.ffzy-play1.com/20230113/51808_a7b33163/2000k/hls/mixed.m3u8
第05集,https://vip.ffzy-play1.com/20230113/51810_2431c74a/2000k/hls/mixed.m3u8
第06集,https://vip.ffzy-play1.com/20230113/51809_5ea2d77d/2000k/hls/mixed.m3u8
第07集,https://vip.ffzy-play1.com/20230113/51811_9de91146/2000k/hls/mixed.m3u8
第08集,https://vip.ffzy-play1.com/20230113/51813_6979dace/2000k/hls/mixed.m3u8
第09集,https://vip.ffzy-play1.com/20230113/51814_3a76dcf1/2000k/hls/mixed.m3u8
第10集,https://vip.ffzy-play1.com/20230113/51812_5d88f883/2000k/hls/mixed.m3u8
第11集,https://vip.ffzy-play1.com/20230113/51815_d5911146/2000k/hls/mixed.m3u8
第12集,https://vip.ffzy-play1.com/20230113/51817_15691c0c/2000k/hls/mixed.m3u8
第13集,https://vip.ffzy-play1.com/20230113/51816_75465ff8/2000k/hls/mixed.m3u8
第14集,https://vip.ffzy-play1.com/20230113/51818_accc32b6/2000k/hls/mixed.m3u8
第15集,https://vip.ffzy-play1.com/20230113/51820_125a3336/2000k/hls/mixed.m3u8
