

公告,#genre#
至尊TV,http://101.35.147.216:807/d/hcy/Fn1hUpZZUN9NSflllz6dM-or7gp59VCJT/zz.mp4
微信号：viptv222,http://101.35.147.216:807/d/hcy/Fn1hUpZZUN9NSflllz6dM-or7gp59VCJT/zz.mp4
播放卡顿切换线路,http://101.35.147.216:807/d/hcy/Fn1hUpZZUN9NSflllz6dM-or7gp59VCJT/zz.mp4
欢迎您的使用,http://101.35.147.216:807/d/hcy/Fn1hUpZZUN9NSflllz6dM-or7gp59VCJT/zz.mp4

中央频道,#genre#
CCTV1,http://mg.qqnb.top/zb2.php?id=cctv1
CCTV2,http://mg.qqnb.top/zb2.php?id=cctv2
CCTV3,http://mg.qqnb.top/zb2.php?id=cctv3
欢迎赞赏,http://101.35.147.216:807/d/hcy/Fn1hUpZZUN9NSflllz6dM-or7gp59VCJT/zz.mp4
CCTV4,http://mg.qqnb.top/zb2.php?id=cctv4#http://mg.qqnb.top/zb2.php?id=cctv4a#http://mg.qqnb.top/zb2.php?id=cctv4o
CCTV5,http://mg.qqnb.top/zb2.php?id=cctv5
CCTV5+,http://mg.qqnb.top/zb2.php?id=cctv5p
CCTV6,http://mg.qqnb.top/zb2.php?id=cctv6
CCTV7,http://mg.qqnb.top/zb2.php?id=cctv7
CCTV8,http://mg.qqnb.top/zb2.php?id=cctv8
CCTV9,http://mg.qqnb.top/zb2.php?id=cctv9
CCTV10,http://mg.qqnb.top/zb2.php?id=cctv10
CCTV11,http://mg.qqnb.top/zb2.php?id=cctv11
CCTV12,http://mg.qqnb.top/zb2.php?id=cctv12
CCTV13,http://mg.qqnb.top/zb2.php?id=cctv13
CCTV14,http://mg.qqnb.top/zb2.php?id=cctv14
CCTV15,http://mg.qqnb.top/zb2.php?id=cctv15
CCTV17,http://mg.qqnb.top/zb2.php?id=cctv17
CCTV发现之旅,http://mg.qqnb.top/zb2.php?id=fxzl
CCTV老故事,http://mg.qqnb.top/zb2.php?id=lgs
CCTV中学生,http://mg.qqnb.top/zb2.php?id=zxs
CGTN,http://mg.qqnb.top/zb2.php?id=cgtn
CGTN纪录,http://mg.qqnb.top/zb2.php?id=cgtnjl
CGTN西班牙语,http://mg.qqnb.top/zb2.php?id=cgtne
CGTN法语,http://mg.qqnb.top/zb2.php?id=cgtnf
CGTN阿拉伯语,http://mg.qqnb.top/zb2.php?id=cgtna
CGTN俄语,http://mg.qqnb.top/zb2.php?id=cgtnr

卫视频道,#genre#
欢迎赞赏,http://101.35.147.216:808/d/hcy/Fn1hUpZZUN9NSflllz6dM-or7gp59VCJT/zz.mp4
广东卫视4K,http://xxwx.yoesun.com/xxw/%E5%8D%AB%E8%A7%864K.php?id=gd4k
深圳卫视4K,http://xxwx.yoesun.com/xxw/%E5%8D%AB%E8%A7%864K.php?id=sz4k
北京卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226719/1.m3u8#http://go.bkpcp.top/mg/bjws
东方卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226734/1.m3u8#http://go.bkpcp.top/mg/dfws
浙江卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226690/1.m3u8#http://go.bkpcp.top/mg/zjws
江苏卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226692/1.m3u8#http://go.bkpcp.top/mg/jsws
湖南卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226698/1.m3u8#http://go.bkpcp.top/mg/hunws
深圳卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226688/1.m3u8
天津卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226686/1.m3u8
安徽卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226664/1.m3u8#http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226655/1.m3u8
山东卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226693/1.m3u8#http://go.bkpcp.top/mg/sdws
辽宁卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226689/1.m3u8
河北卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226684/1.m3u8
河南卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226668/1.m3u8#http://go.bkpcp.top/mg/hnws
江西卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226682/1.m3u8#http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226726/1.m3u8#http://go.bkpcp.top/mg/jxws
四川卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226659/1.m3u8
重庆卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226680/1.m3u8
贵州卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226672/1.m3u8
湖北卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226713/1.m3u8#http://go.bkpcp.top/mg/hubws
东南卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226670/1.m3u8
海南卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226679/1.m3u8#http://go.bkpcp.top/mg/hinws
黑龙江视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226716/1.m3u8#http://go.bkpcp.top/mg/hljws
北京纪实,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226656/1.m3u8#http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226658/1.m3u8
广东卫视,http://go.bkpcp.top/mg/gdws
深圳卫视4k,http://go.bkpcp.top/mg/szws
陕西卫视,http://go.bkpcp.top/mg/sxws
兵团卫视,http://go.bkpcp.top/mg/btws

港澳台,#genre#
凤凰中文,http://203.205.191.53/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯,http://203.205.191.53/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港,http://203.205.191.53/qctv.fengshows.cn/live/0701phk72.m3u8
凤凰中文台HD,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰中文台
凤凰资讯台HD,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰资讯台
凤凰香港台HD,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰香港台
凤凰电影,http://iot-mqqt.111yao.cn:8080/live/diyp_fhdy.m3u8
星空国际,http://iot-mqqt.111yao.cn:8080/live/diyp_starmovies.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
澳视澳门,http://103.233.191.134:1935/ch1/ch1.live/playlist.m3u8
澳亚卫视,http://cdn9.163189.xyz/live/as/stream.m3u8
莲花卫视,http://8.138.7.223/tv/lotustv.m3u8
莲花卫视（备用）,http://live-hls.macaulotustv.com/lotustv/macaulotustv.m3u8
TVB无线新闻,http://cdn9.163189.xyz/smt1.1.php?id=inews_twn
TVB无线新闻（备用）,http://qwt.zhibotv.top:2016/全网通.php?id=无线新闻台
TVB无线星河,http://cdn9.163189.xyz/smt1.1.php?id=Xinhe
TVB娱乐新闻,http://ali.hlspull.yximgs.com/live/6425965d63a08c85ca806bfcc8c75cf4.flv
TVB翡翠台,http://cdn9.163189.xyz/smt1.1.php?id=jade_twn
TVB翡翠台（备用）,http://qwt.zhibotv.top:2016/全网通.php?id=翡翠台
TVB翡翠台4K,http://cdn.163189.xyz/live/fct4k/stream.m3u8
华丽翡翠台,http://cdn9.163189.xyz/smt1.1.php?id=Tvbjade
TVB明珠台,http://cdn9.163189.xyz/smt1.1.php?id=pearl_twn
TVB J1,http://cdn3.163189.xyz/live/j1/stream.m3u8
TVB Plus,http://cdn.163189.xyz/live/tvbp/stream.m3u8
千禧经典,http://cdn9.163189.xyz/smt3.1.1.php?id=Tvbclassic
星空卫视,http://iot-mqqt.111yao.cn:8080/live/diyp_xingkong.m3u8
星光影视,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
环球电视,http://utv1.hqtvzb.com:9999/hls/world.m3u8
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w99771165.m3u8
民视,rtmp://f13h.mine.nu/sat/tv051
台视,rtmp://f13h.mine.nu/sat/tv071
中视,rtmp://f13h.mine.nu/sat/tv091
华视,rtmp://f13h.mine.nu/sat/tv111
台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8
中天新闻,http://qwt.zhibotv.top:2016/全网通.php?id=中天新闻
中天娱乐,https://gdfire2.67890123.cn:8088/live/ztxw201.m3u8
华视新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv052
中视新闻,http://198.16.100.186:8278/zhongshinews_twn/playlist.m3u8?tid=MD0D3377711133777111&ct=19249&tsum=ffaee3fe7040c96643b3c7f12bf2de8d
三立新闻,http://live4play.uk/livehttpplay?channel_id=10126
三立综合,http://live4play.uk/livehttpplay?channel_id=12038
三立都会,http://live4play.uk/livehttpplay?channel_id=20100
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
非凡新闻,rtmp://f13h.mine.nu/sat/tv581
寰宇新闻,http://qwt.zhibotv.top:2016/全网通.php?id=寰宇新闻
年代新闻,http://198.16.100.186:8278/niandainews_twn/playlist.m3u8?tid=MBCB9184423891844238&ct=19249&tsum=ac0331d98099429b19c53fe6d20972ec
东森新闻,https://gdfire2.67890123.cn:8088/live/dsxw01.m3u8
东森超视,rtmp://f13h.mine.nu/sat/tv331
东森财经,http://live4play.uk/livehttpplay?channel_id=20078
东森电影,http://mytv.cdn.com.mp/live/dsdy/stream.m3u8#http://live4play.uk/livehttpplay?channel_id=20077
东森综合,http://live4play.uk/livehttpplay?channel_id=20104
东森洋片,http://live4play.uk/livehttpplay?channel_id=20080
东森戏剧,http://live4play.uk/livehttpplay?channel_id=20072
美亚电影,http://ali.hlspull.yximgs.com/live/awei_mydy.flv
民视新闻台,http://live4play.uk/livehttpplay?channel_id=20097
