央视,#genre#
CCTV1,http://api.mytv666.top/api/fh6.php?t=央视频道&id=CCTV1
CCTV2,http://api.mytv666.top/api/fh6.php?t=央视频道&id=CCTV2
CCTV3,http://api.mytv666.top/api/fh6.php?t=央视频道&id=CCTV3
CCTV4,http://api.mytv666.top/api/fh6.php?t=央视频道&id=CCTV4
CCTV5,http://api.mytv666.top/api/fh6.php?t=央视频道&id=CCTV5
CCTV5p,http://api.mytv666.top/api/fh6.php?t=央视频道&id=CCTV5p
CCTV6,http://api.mytv666.top/api/fh6.php?t=央视频道&id=CCTV6
CCTV7,http://api.mytv666.top/api/fh6.php?t=央视频道&id=CCTV7
CCTV8,http://api.mytv666.top/api/fh6.php?t=央视频道&id=CCTV8
CCTV9,http://api.mytv666.top/api/fh6.php?t=央视频道&id=CCTV9
CCTV10,http://api.mytv666.top/api/fh6.php?t=央视频道&id=CCTV10
CCTV11,http://api.mytv666.top/api/fh6.php?t=央视频道&id=CCTV11
CCTV12,http://api.mytv666.top/api/fh6.php?t=央视频道&id=CCTV12
CCTV13,http://api.mytv666.top/api/fh6.php?t=央视频道&id=CCTV13
CCTV14,http://api.mytv666.top/api/fh6.php?t=央视频道&id=CCTV14
CCTV15,http://api.mytv666.top/api/fh6.php?t=央视频道&id=CCTV15
CCTV16,http://api.mytv666.top/api/fh6.php?t=央视频道&id=CCTV16
CCTV17,http://api.mytv666.top/api/fh6.php?t=央视频道&id=CCTV17
CCTV少儿,http://api.mytv666.top/api/fh6.php?t=少儿频道&id=CCTV少儿
CCTV5,http://api.mytv666.top/api/fh6.php?t=体育频道&id=CCTV5
CCTV5+,http://api.mytv666.top/api/fh6.php?t=体育频道&id=CCTV5+
CCTV16,http://api.mytv666.top/api/fh6.php?t=体育频道&id=CCTV16
央视频道,#genre#
CGTN英语,http://api.mytv666.top/api/fh6.php?t=央视频道&id=CGTN英语
CGTN记录,http://api.mytv666.top/api/fh6.php?t=央视频道&id=CGTN记录
CGTN西语,http://api.mytv666.top/api/fh6.php?t=央视频道&id=CGTN西语
CGTN法语,http://api.mytv666.top/api/fh6.php?t=央视频道&id=CGTN法语
CGTN阿语,http://api.mytv666.top/api/fh6.php?t=央视频道&id=CGTN阿语
CGTN俄语,http://api.mytv666.top/api/fh6.php?t=央视频道&id=CGTN俄语
卫视,#genre#
北京卫视,http://api.mytv666.top/api/fh6.php?t=卫视频道&id=北京卫视
湖南卫视,http://api.mytv666.top/api/fh6.php?t=卫视频道&id=湖南卫视
浙江卫视,http://api.mytv666.top/api/fh6.php?t=卫视频道&id=浙江卫视
江苏卫视,http://api.mytv666.top/api/fh6.php?t=卫视频道&id=江苏卫视
广东卫视,http://api.mytv666.top/api/fh6.php?t=卫视频道&id=广东卫视
大湾区卫视,http://api.mytv666.top/api/fh6.php?t=卫视频道&id=大湾区卫视
东方卫视,http://api.mytv666.top/api/fh6.php?t=卫视频道&id=东方卫视
东南卫视,http://api.mytv666.top/api/fh6.php?t=卫视频道&id=东南卫视
辽宁卫视,http://api.mytv666.top/api/fh6.php?t=卫视频道&id=辽宁卫视
深圳卫视,http://api.mytv666.top/api/fh6.php?t=卫视频道&id=深圳卫视
天津卫视,http://api.mytv666.top/api/fh6.php?t=卫视频道&id=天津卫视
安徽卫视,http://api.mytv666.top/api/fh6.php?t=卫视频道&id=安徽卫视
河北卫视,http://api.mytv666.top/api/fh6.php?t=卫视频道&id=河北卫视
重庆卫视,http://api.mytv666.top/api/fh6.php?t=卫视频道&id=重庆卫视
吉林卫视,http://api.mytv666.top/api/fh6.php?t=卫视频道&id=吉林卫视
